 Eval |               m |               H |               s |          ObjVal
  163 |         0.46434 |        -0.43382 |        31.38483 |         0.61672
  164 |         0.46393 |        -0.43381 |        31.34441 |         0.26225
  165 |         0.46426 |        -0.43389 |        31.38233 |         0.26955
  166 |         0.46432 |        -0.43395 |        31.39998 |         0.27755
  167 |         0.46440 |        -0.43404 |        31.42519 |         0.37569
  168 |         0.46406 |        -0.43379 |        31.35220 |         0.41228
  169 |         0.46404 |        -0.43381 |        31.36356 |         0.41871
  170 |         0.46420 |        -0.43385 |        31.38251 |         0.36815
  171 |         0.46423 |        -0.43388 |        31.39134 |         0.29801
  172 |         0.46414 |        -0.43384 |        31.37176 |         0.42971
  173 |         0.46416 |        -0.43385 |        31.38173 |         0.37549
  174 |         0.46420 |        -0.43387 |        31.38370 |         0.30999
  175 |         0.46405 |        -0.43376 |        31.35529 |         0.28680
  176 |         0.46415 |        -0.43383 |        31.38276 |         0.33269
  177 |         0.46429 |        -0.43386 |        31.39645 |         0.46181
  178 |         0.46410 |        -0.43382 |        31.37178 |         0.28305
  179 |         0.46415 |        -0.43381 |        31.37544 |         0.28036
  180 |         0.46409 |        -0.43380 |        31.37263 |         0.41058
  181 |         0.46417 |        -0.43384 |        31.38004 |         0.46713
  182 |         0.46415 |        -0.43381 |        31.37907 |         0.25763
  183 |         0.46412 |        -0.43382 |        31.37724 |         0.30779
