all_infected,daily new cases,hospitalized,recovered,"deceased, cumul.",daily deceased,susceptible,latent,R0,Rc_t
487.944998554348,56.980831888982,15.1637146296067,766.572882301817,4.02415259742807,0.285881722654518,159740.841680176,136.4856112141,1.25986461871974,1.25001139501469
500.110408963827,58.095194505288,15.7424540054722,812.216784674971,4.31003432008259,0.29658818791722,159682.778538047,139.373999085934,1.25089783303981,1.2406636127144
512.108121576131,59.187249709659,16.3210688370767,859.109733584409,4.60662250799981,0.307286680671873,159623.631055169,142.206976187764,1.24229417268009,1.2316739545458
523.913726729361,60.2410695888814,16.8989462645434,907.237911339389,4.91390918867168,0.317965875587813,159563.436855007,144.971150884285,1.23399638355626,1.22298573929743
535.732889435957,61.4855470223752,17.4754796644211,956.58632977958,5.23187506425949,0.328615080088611,159502.004673385,147.848347997522,1.22651951728322,1.2151075886814
547.541954881022,62.6921974755126,18.0501308740615,1007.14084672994,5.5604901443481,0.339225140731407,159439.371798119,150.769697834729,1.21972691200176,1.20790368083739
559.381481412194,63.9281053022912,18.6224414815195,1058.89020036033,5.89971528507951,0.349787948682075,159375.508514424,153.746260117984,1.21362733037401,1.20138181941218
571.300801045143,65.2052864322227,19.1919875302168,1111.82637921092,6.24950323376159,0.360295793017048,159310.37312404,156.797000659613,1.20823980473402,1.19555983922667
583.35076417397,66.5286485032759,19.7583573729188,1165.94476879235,6.60979902677863,0.370741114871831,159243.91903638,159.94042675459,1.20357764016023,1.19044981542654
595.585554503862,67.9050914351362,20.3211450223417,1221.24432878272,6.98054014165047,0.381116447551815,159176.092761594,163.196474517236,1.1996535758182,1.18606316065973
608.062481439519,69.3415158171779,20.8799493648811,1277.72780121669,7.36165658920228,0.391415451122786,159106.833920119,166.586078180233,1.196479685439,1.18241052546546
620.843991141778,70.8471905609913,21.4345320378643,1335.4020666243,7.75307204032507,0.401639856289989,159036.073021231,170.131283670795,1.19406799601203,1.17950239134214
634.004619533796,72.4394719826448,21.9854750371081,1394.27927035864,8.15471189661505,0.411810207193648,158963.724041248,173.855171057816,1.19242978239887,1.17734831594918
647.630933185929,74.1377874214168,22.5343456865895,1454.37893392073,8.5665221038087,0.421961077199045,158889.682512476,177.782035780032,1.19157290761846,1.17595429181344
661.814381955018,75.9556531752655,23.0832347483216,1515.72917724971,8.98848318100775,0.432133299424699,158813.830976363,181.936831658714,1.19149851352672,1.17531952506721
676.649746197997,77.9052832440202,23.6344267796483,1578.36696295132,9.42061648043245,0.442369745110501,158736.03995315,186.3469233352,1.1922053040383,1.17544067561603
692.228365504336,79.992033848107,24.1902677070723,1642.33800774798,9.86298622554295,0.452713896434258,158656.173205229,191.036563228538,1.19367990738069,1.17630239836641
708.657610247764,82.2405487498422,24.7531054072432,1707.69659785796,10.3157001219772,0.463209145106767,158574.04674518,196.044300265178,1.19593246175876,1.17791211239138
725.816693454387,84.4311109933533,25.3252712089687,1774.50541649958,10.778909267084,0.473897986816317,158489.700469988,201.214536262284,1.19858214204709,1.17989394212248
743.816686959606,86.8020190808174,25.9090206707292,1842.83354408836,11.2528072539003,0.48482129379299,158402.955671369,206.643483578507,1.20168039819824,1.18229644004316
762.707184893571,89.2963218977816,26.5065247124637,1912.75454675839,11.7376285476933,0.496018849269294,158313.691127513,212.348394052898,1.20518186921621,1.1850732310284
782.532531778026,91.9131068448328,27.1199197999604,1984.3462878695,12.2336473969626,0.507530077701253,158221.786490755,218.340046094521,1.20903586613026,1.18817276192874
803.33764582258,94.6573655720608,27.7513341253489,2057.6910093193,12.7411774746638,0.519394353086859,158127.116416509,224.629647480618,1.2131952179323,1.19154696560206
825.171408609437,97.5375554758225,28.4028970176105,2132.87540765518,13.2605718277507,0.531651106378607,158029.547102925,231.231555713014,1.21762095235745,1.19515582387627
848.070901573819,100.546448902639,29.0767420389415,2209.99071248706,13.7922229341293,0.544339836651982,157928.951979044,238.149185050569,1.22225775153092,1.19894338973628
872.118213663718,103.73364812562,29.7750060519021,2289.13270868613,14.3365627707813,0.557500171922053,157825.154876931,245.426045798999,1.22711920225643,1.2029209822893
897.394065983697,107.102707688966,30.4998390475503,2370.40206388319,14.8940629427033,0.571172120321465,157717.976086238,253.094068826181,1.23221074339625,1.20709182956631
923.94285139677,110.622909330174,31.2534168079306,2453.90501567997,15.4652350630248,0.585396122770856,157607.266640668,261.149090344861,1.23747948507858,1.21140223085178
951.831674832059,114.322919995647,32.0379330069019,2539.75371611756,16.0506311857956,0.600212830957883,157492.848924871,269.612582504036,1.24290422208139,1.21582935948043
981.124225381294,118.205316640312,32.8555877354269,2628.06626937768,16.6508440167535,0.61566297584168,157374.54275196,278.501469351994,1.24845789841662,1.22034466402725
1011.88598907344,122.277944679508,33.7085838992964,2718.9667873892,17.2665069925952,0.631787327127341,157252.160094444,287.834071968273,1.25411521882315,1.22492128675315
1044.18311532867,126.547572106648,34.5991260725502,2812.58544591349,17.8982943197226,0.648626720603588,157125.506156511,297.628763857778,1.25985123999267,1.22953269419724
1078.08279753562,131.021416643056,35.5294260004769,2909.05855362899,18.5469210403261,0.666222986716647,156994.378934796,307.904287825548,1.26564195621599,1.23415324763944
1113.65461285746,135.708216745703,36.5018300380231,3008.52873206614,19.2131440270428,0.684621990704382,156858.567818087,318.679641191479,1.27146432740794,1.23875822005588
1150.97197057173,140.618655975883,37.5189653958556,3111.14540833705,19.8977660177472,0.703874638700913,156717.851795469,329.974238309856,1.27729632202375,1.24332382418519
