S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178907	93	128	43	48	40	6	1	0	267	0	0	239	0	0	0	46	46	313	0	179533	0	0
178810	97	183	54	46	43	5	1	0	292	0	2	385	374	3	69	171	60	369	0	17590	0	95
178718	120	196	69	39	53	6	2	0	325	0	5	454	110	0	20	391	85	400	0	17925	0	89
178622	126	231	78	46	57	6	2	0	357	0	8	548	357	3	19	576	111	435	0	18355	0	93
178517	133	268	80	52	60	5	4	0	402	0	12	628	111	0	19	2026	137	465	0	18750	0	100
178408	147	284	103	58	65	4	5	0	443	0	16	665	260	1	15	2827	154	512	0	21410	0	104
178314	159	289	114	64	70	6	6	0	494	0	17	686	265	1	23	2918	186	522	0	43314	0	93
178247	137	289	125	77	69	7	8	0	552	0	22	741	254	1	22	3057	200	512	0	43500	0	61
178146	134	289	149	85	80	6	8	1	608	0	27	765	109	0	22	3203	221	530	0	21056	0	96
178009	166	304	152	87	83	8	7	2	680	0	35	829	309	2	28	3725	255	552	0	21177	0	128
177909	174	297	169	89	77	14	11	2	750	0	41	872	259	0	19	4437	251	580	0	22293	0	94
177774	177	329	172	96	83	14	11	2	827	0	48	843	314	2	27	4338	265	617	0	22544	0	128
177640	199	337	192	100	74	15	12	1	908	0	55	881	249	2	25	4848	269	660	0	23209	0	127
177545	183	327	217	104	78	18	11	2	987	1	60	888	272	1	30	4854	287	651	0	45170	0	89
177447	180	323	223	105	79	22	13	2	1076	1	62	902	268	0	25	3641	292	653	0	45712	0	95
177325	180	347	220	100	78	24	14	3	1173	1	68	891	109	0	38	3986	323	640	0	21920	0	115
177210	195	339	217	107	75	30	14	3	1270	1	72	889	122	1	30	4685	319	658	0	22411	0	110
177083	191	352	223	108	73	30	16	2	1374	1	80	873	297	3	32	4946	315	678	0	22936	0	119
176944	194	376	222	105	86	33	17	2	1469	1	84	882	127	5	19	5319	330	703	0	23172	0	135
176821	186	389	222	110	89	36	18	3	1568	1	90	901	270	0	39	5616	347	703	0	24637	0	117
176696	177	402	229	118	98	31	19	3	1663	3	94	919	114	2	32	5274	348	726	0	45761	0	121
176586	172	394	239	127	101	28	18	4	1764	3	97	918	292	4	34	6431	363	716	0	46714	0	106
176431	190	396	250	126	110	32	18	4	1870	3	103	892	336	2	25	6430	376	746	0	25230	0	149
176283	207	378	262	132	118	35	16	5	1979	4	114	895	248	1	34	6658	374	774	0	25118	0	137
176119	220	401	258	138	111	37	14	5	2103	7	120	908	254	0	43	7345	400	779	0	25031	0	160
175952	247	411	285	125	111	33	14	4	2220	7	124	905	331	6	38	6681	383	843	0	25473	0	162
175769	273	447	281	126	111	34	16	4	2338	7	127	923	130	2	35	7420	411	877	0	26386	0	179
175613	276	462	275	126	126	36	16	5	2462	8	128	905	252	2	35	7254	414	903	0	47492	0	152
175465	279	459	278	125	136	36	16	5	2591	8	135	885	335	4	40	7255	424	905	0	47583	0	141
175260	267	522	281	139	134	40	14	4	2720	10	142	860	349	0	44	7065	447	950	0	25607	0	197
175040	294	557	293	132	139	43	16	5	2853	12	149	833	249	3	44	6557	483	991	0	25195	0	212
174844	311	555	305	137	152	43	16	5	2997	13	155	850	280	4	46	7435	513	1006	0	24609	0	189
174637	321	574	322	133	155	45	16	5	3148	14	163	853	280	2	48	8232	516	1050	0	25924	0	197
174398	318	643	334	136	142	48	19	6	3310	14	165	857	276	0	48	7827	511	1129	0	27291	0	235
174218	306	632	357	158	165	50	23	6	3433	14	171	859	135	2	53	7325	543	1148	0	47676	0	175
174025	299	628	370	165	163	56	26	6	3605	15	175	854	208	1	52	7393	540	1167	0	47798	0	189
173779	315	646	387	170	182	54	28	6	3768	16	182	848	300	3	63	7836	574	1208	0	26170	0	238
173539	325	682	382	166	191	54	29	6	3956	19	184	839	263	5	60	8867	592	1237	0	26371	0	238
173279	344	696	413	172	205	53	31	7	4125	19	189	859	281	4	62	8947	640	1274	0	26950	0	256
173013	379	735	413	195	191	56	34	6	4299	21	191	870	258	1	56	9165	651	1352	0	26927	0	262
172727	416	756	426	193	199	58	33	6	4499	23	197	855	326	7	64	9070	642	1439	0	28514	0	281
172496	403	752	424	206	224	60	33	6	4702	25	202	874	281	4	64	7525	658	1444	0	48104	0	222
172236	386	787	443	210	224	65	30	8	4908	28	208	870	269	3	79	8127	705	1440	0	48316	0	252
171908	412	818	468	225	229	57	31	7	5132	31	215	886	292	3	58	9970	732	1508	0	27969	0	320
171625	408	862	485	225	231	56	33	5	5354	32	217	866	306	2	85	10043	767	1533	0	28033	0	278
171321	432	870	520	244	232	63	32	4	5562	34	219	871	129	9	65	10161	784	1609	0	28415	0	302
170984	458	909	543	235	244	66	31	4	5796	37	226	866	258	5	62	9989	796	1690	0	28127	0	329
170630	466	962	564	248	245	61	32	6	6044	40	235	878	295	8	79	9647	811	1767	0	28801	0	342
170351	442	973	583	264	251	66	30	8	6284	43	238	884	371	6	94	9932	877	1732	0	48841	0	270
170066	439	964	599	279	255	73	26	10	6532	46	244	848	311	1	67	11603	897	1738	0	51222	0	279
169758	458	947	617	287	258	77	25	9	6800	48	249	867	322	4	86	12223	926	1743	0	48497	0	300
169455	480	945	618	281	259	86	27	6	7075	49	252	880	340	0	77	11576	950	1746	0	49227	0	296
169150	468	945	612	282	288	85	28	6	7358	53	258	872	153	6	78	10960	956	1752	0	48475	0	296
168832	459	968	623	284	294	80	26	8	7638	56	265	862	276	6	98	12436	991	1743	0	48130	0	310
168463	477	1031	616	287	289	82	24	10	7925	58	271	846	296	5	69	12007	941	1865	0	49226	0	361
168181	456	1014	605	293	290	85	24	11	8230	61	283	847	262	3	89	11663	957	1810	0	79749	0	267
167931	441	966	621	290	305	84	29	8	8506	61	291	858	286	5	89	11680	984	1752	0	80574	0	243
167620	445	935	650	295	323	95	30	9	8773	63	295	891	338	9	96	11684	1034	1739	0	48727	0	305
167298	457	944	657	285	311	93	28	9	9081	66	304	887	256	6	89	9640	989	1786	0	48406	0	312
166992	448	977	629	275	296	92	31	8	9410	66	309	871	281	5	83	10410	971	1777	0	46650	0	301
166691	439	960	643	274	304	92	30	9	9710	67	314	848	294	4	89	10192	977	1765	0	47001	0	294
166381	446	975	625	282	302	91	33	9	10002	68	319	864	351	4	79	11422	998	1756	0	47458	0	305
166150	426	929	599	279	284	88	38	9	10335	69	327	874	329	9	87	10359	951	1692	0	79628	0	224
165910	385	893	597	285	298	95	38	9	10617	72	334	856	323	1	97	8740	955	1636	0	79349	0	231
165646	398	858	584	301	303	97	37	11	10883	75	340	834	254	3	87	9970	994	1584	0	46181	0	257
165315	446	870	565	285	293	102	37	10	11189	77	344	863	308	4	78	12198	978	1620	0	48144	0	326
164995	484	874	563	288	281	115	39	7	11459	80	348	833	260	7	73	12353	959	1685	0	49097	0	317
164706	477	884	580	281	286	113	38	6	11723	85	354	869	266	5	80	12466	960	1699	0	48939	0	282
164420	470	869	567	303	278	113	38	7	12013	89	366	809	282	7	79	12529	953	1685	0	49547	0	275
