S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178890	123	124	68	54	32	7	3	0	230	2	0	239	0	0	0	60	60	351	0	179531	0	0
178812	92	204	65	61	26	8	4	0	259	2	0	390	368	1	72	104	58	402	0	17616	0	76
178708	118	228	72	69	35	8	5	0	285	2	3	457	255	1	13	366	64	471	0	17773	0	100
178620	135	216	91	70	53	9	6	0	323	2	8	550	359	4	22	1310	90	490	0	18663	0	84
178501	162	249	94	65	57	9	7	0	375	2	12	624	268	1	31	1670	136	507	0	19384	0	113
178408	165	267	104	52	67	13	8	0	431	2	16	659	262	1	23	2333	166	510	0	20859	0	89
178313	141	301	118	56	80	12	8	0	484	3	17	675	111	0	20	2429	193	523	0	42953	0	94
178228	132	301	130	60	88	15	9	0	545	3	22	741	252	3	26	3063	215	520	0	43504	0	79
178103	156	315	140	67	93	18	10	0	602	3	26	750	284	1	25	4222	258	541	0	21614	0	121
177976	161	330	151	78	100	20	11	0	669	3	34	806	310	3	29	4364	287	564	0	22177	0	117
177850	179	328	167	89	107	22	13	0	736	3	39	855	308	1	39	5484	322	583	0	22467	0	120
177726	189	332	185	104	108	25	11	0	801	5	47	829	269	4	33	6139	365	589	0	23686	0	116
177590	195	366	191	97	98	26	11	1	898	5	55	871	247	1	28	6409	376	608	0	25725	0	129
177484	182	373	216	106	93	28	10	1	975	7	58	882	273	4	28	5768	395	613	0	46392	0	103
177389	166	358	217	124	98	30	10	2	1071	8	60	905	338	0	30	6446	403	600	0	46760	0	92
177259	170	371	216	126	94	32	11	1	1181	8	64	891	315	1	42	6161	400	620	0	24799	0	124
177119	201	356	233	127	90	38	12	1	1280	8	68	883	124	1	26	6861	386	671	0	24806	0	136
176996	209	352	230	126	95	38	12	1	1391	8	75	853	132	2	30	6384	380	682	0	24986	0	116
176854	191	398	225	122	105	37	13	1	1500	8	79	874	122	2	24	6577	375	716	0	24966	0	138
176698	198	421	234	120	109	39	12	2	1602	10	88	890	267	0	45	7360	397	736	0	25819	0	147
176588	188	415	238	126	117	35	16	2	1705	11	92	892	173	0	43	6546	398	737	0	47271	0	106
176484	164	412	251	130	116	34	15	1	1817	13	96	885	299	3	33	5349	376	746	0	46767	0	100
176340	179	402	272	129	115	30	15	1	1932	14	104	881	260	1	43	6622	396	746	0	23570	0	136
176195	177	394	273	145	120	31	16	1	2055	14	112	872	103	1	32	5925	384	772	0	24815	0	137
176031	198	406	262	135	126	35	14	3	2191	16	116	906	307	2	50	6070	400	776	0	24017	0	161
175887	217	397	256	127	131	32	17	2	2332	16	119	871	282	4	43	6299	395	782	0	24523	0	140
175705	242	425	267	133	127	32	20	1	2444	16	121	892	274	3	37	5549	399	847	0	25184	0	180
175547	246	438	276	128	129	39	19	2	2570	17	122	884	105	2	44	5786	432	843	0	46282	0	157
175389	238	459	262	127	145	40	19	2	2705	17	130	859	348	4	41	5504	438	852	0	46212	0	148
