S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178882	108	111	50	49	52	9	2	0	270	0	0	239	0	0	0	65	65	316	0	179533	0	0
178817	83	175	46	42	50	10	3	0	306	0	1	393	369	3	81	157	73	336	0	17625	0	64
178738	94	191	59	40	52	13	4	0	338	0	4	460	257	0	14	421	84	369	0	17874	0	76
178649	102	208	69	48	64	13	4	0	368	0	8	550	299	1	15	524	98	410	0	18378	0	85
178556	109	229	87	49	68	13	4	1	405	0	12	627	327	7	21	1163	118	441	0	18816	0	89
178437	138	253	96	55	71	14	4	1	447	1	16	659	267	4	16	1512	144	487	0	20103	0	115
178351	127	277	113	64	67	13	4	1	498	1	17	678	261	3	27	1914	174	491	0	42549	0	84
178258	126	284	125	72	80	14	7	1	543	1	22	751	255	1	22	2056	220	488	0	42751	0	88
178151	155	262	138	85	83	14	10	1	606	1	27	759	276	0	18	2697	243	504	0	20600	0	102
178051	157	262	145	90	88	15	13	1	675	1	35	825	304	2	32	3298	276	494	0	20758	0	91
177947	152	296	141	89	86	17	14	1	751	1	38	876	260	0	29	3915	292	503	0	21356	0	101
177833	159	302	161	98	86	17	14	0	817	1	45	849	319	2	23	4300	310	527	0	22394	0	106
177704	181	321	166	100	84	15	13	1	895	2	51	889	250	1	21	4163	310	570	0	23052	0	123
177617	162	319	187	103	87	14	18	1	966	3	56	889	267	2	22	4229	321	569	0	44622	0	80
177515	154	327	190	105	80	18	17	2	1063	3	59	906	272	0	30	4666	314	577	0	45735	0	97
177388	150	359	186	111	71	22	17	2	1158	4	65	889	253	1	21	5312	295	621	0	23913	0	121
177263	153	373	194	102	80	23	14	4	1253	5	69	878	271	3	28	5332	294	645	0	23409	0	120
177125	175	357	213	109	80	24	14	4	1350	7	75	869	128	1	25	4894	290	682	0	23447	0	132
176993	181	375	211	116	84	24	13	4	1445	9	78	879	284	5	31	5585	317	687	0	23082	0	129
176859	188	373	209	115	85	26	13	3	1567	10	85	888	187	1	35	6367	324	685	0	25266	0	127
176740	191	379	223	103	92	25	18	2	1661	10	89	900	114	3	31	5561	327	704	0	46408	0	115
176620	190	367	234	106	97	26	19	2	1768	10	94	887	119	0	31	6070	350	689	0	46373	0	115
176487	186	385	240	93	97	24	22	2	1886	10	101	899	334	1	30	7654	359	688	0	25081	0	125
176355	180	394	251	96	100	26	20	3	1985	12	111	870	252	3	28	7185	355	712	0	26293	0	122
176192	213	387	260	106	109	28	14	3	2086	19	116	888	249	2	35	6652	374	743	0	25649	0	160
176037	226	386	278	110	119	29	12	3	2193	20	120	871	170	3	42	7642	388	772	0	24725	0	150
175883	231	405	275	118	119	30	13	2	2314	21	122	888	282	0	38	7839	409	782	0	26775	0	152
175746	229	417	267	117	137	33	13	1	2428	21	124	873	307	3	37	7771	430	783	0	47810	0	135
175608	214	421	266	121	153	34	14	1	2546	22	133	847	273	7	31	6735	412	811	0	47755	0	129
175422	224	450	275	126	144	33	15	1	2682	22	139	843	173	1	47	8137	462	805	0	26699	0	179
175244	245	466	282	119	148	31	14	2	2812	23	147	819	272	4	32	7704	444	861	0	26280	0	171
175080	256	481	293	121	144	30	13	2	2934	24	155	820	284	2	38	7060	465	873	0	25848	0	155
174892	261	518	289	133	142	32	13	2	3062	25	164	834	117	0	33	5953	446	942	0	25186	0	177
174686	276	533	298	140	144	38	15	3	3208	26	166	860	274	1	49	7187	479	965	0	24897	0	199
174538	249	528	324	146	141	35	21	3	3350	26	172	847	319	5	46	7091	502	942	0	47564	0	143
174371	231	531	344	152	145	40	21	4	3494	26	174	842	195	2	38	6378	485	979	0	47147	0	165
