S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178925	102	109	54	36	49	6	3	0	249	0	0	239	0	0	0	56	56	303	0	179533	0	0
178854	93	159	58	29	45	6	3	0	285	0	1	389	369	3	78	1113	72	321	0	17631	0	70
178775	102	177	63	32	48	7	2	1	322	0	4	457	256	1	13	1311	81	350	0	18882	0	76
178701	114	195	64	39	49	7	3	1	352	0	8	550	301	2	15	1805	99	372	0	19208	0	70
178617	116	214	80	45	51	8	2	1	386	1	12	627	114	0	14	2642	110	406	0	19902	0	79
178511	124	243	89	51	54	10	2	1	431	1	16	657	261	1	22	2741	137	436	0	21516	0	102
178430	127	237	110	58	61	10	4	1	476	1	18	684	109	2	17	2819	154	453	0	43270	0	80
178348	117	257	118	64	57	11	6	1	530	1	23	747	260	1	19	4494	195	435	0	44747	0	76
178250	123	267	125	71	58	10	6	1	591	2	29	763	108	0	21	5793	218	442	0	23469	0	91
178127	146	276	147	80	66	10	7	1	634	2	37	823	364	2	19	6087	241	491	0	23699	0	114
178016	161	289	158	73	72	13	7	1	698	3	42	872	309	0	24	6493	254	519	0	24450	0	106
177879	173	334	153	79	71	13	8	1	770	3	49	850	266	2	18	5434	241	590	0	24634	0	129
177754	187	357	171	81	69	14	6	1	832	5	56	891	98	1	22	6009	265	620	0	24307	0	118
177670	177	335	197	86	74	13	7	1	907	6	60	886	117	2	21	6163	271	618	0	46659	0	79
177564	159	355	213	86	83	12	8	1	984	6	62	891	277	1	24	5774	278	638	0	46533	0	103
177431	170	357	198	95	95	13	7	2	1090	7	68	883	108	0	29	6439	277	658	0	24449	0	124
177313	178	355	220	105	91	14	6	3	1168	7	73	889	129	1	36	4992	284	685	0	24570	0	112
177169	202	353	239	105	92	17	9	3	1259	7	78	867	290	2	33	4662	317	700	0	23223	0	139
177026	218	366	230	108	100	16	6	3	1369	10	81	883	289	2	25	5179	318	726	0	23176	0	138
176859	214	420	239	105	91	24	8	2	1473	10	88	895	326	1	29	4907	321	780	0	24065	0	160
176746	186	440	243	100	96	24	13	3	1580	10	92	903	279	1	39	5169	314	788	0	45331	0	109
176623	172	433	267	114	98	24	13	3	1678	11	97	904	294	1	38	6030	353	768	0	46259	0	117
176453	200	445	268	121	102	25	13	2	1791	11	102	887	327	2	29	5382	364	810	0	24874	0	163
176279	227	443	265	127	112	23	12	1	1922	12	110	868	254	2	37	5414	375	834	0	23643	0	166
176091	267	443	279	141	121	28	9	1	2022	15	116	904	243	1	37	5913	397	891	0	23521	0	183
175907	270	467	305	140	121	27	10	1	2150	15	120	879	277	3	45	6707	410	930	0	24981	0	180
175711	282	494	311	149	135	29	11	2	2272	15	122	904	271	3	43	6764	411	1000	0	25680	0	193
175536	274	509	298	150	154	31	13	2	2428	15	123	911	248	1	52	6136	431	998	0	46987	0	173
175365	263	543	289	149	158	37	15	3	2566	15	130	881	344	5	48	6347	468	986	0	46874	0	165
175128	270	600	305	160	163	37	15	3	2700	15	137	862	175	3	52	6651	505	1045	0	25149	0	229
174895	320	605	319	154	177	38	18	2	2847	15	143	852	269	4	45	6459	527	1104	0	24717	0	226
174665	349	614	351	164	179	38	18	1	2988	16	150	830	282	4	50	5975	562	1151	0	24566	0	222
174428	361	644	361	173	174	41	19	1	3156	17	158	845	277	0	57	6399	584	1189	0	24208	0	228
174167	369	687	377	186	177	44	19	2	3327	18	160	867	325	3	58	6979	603	1256	0	25757	0	258
173940	345	725	396	184	192	51	22	2	3491	18	167	862	315	4	57	6587	629	1286	0	47159	0	220
173713	322	740	404	196	198	52	21	4	3693	20	170	832	371	5	63	6393	623	1310	0	47316	0	223
173439	348	744	413	203	220	57	20	4	3886	23	176	846	296	5	70	8430	682	1323	0	25123	0	268
173140	394	756	435	206	241	58	23	4	4073	25	178	840	270	6	72	8455	713	1400	0	26956	0	296
172844	423	776	455	211	247	61	26	4	4279	25	182	877	343	7	60	8497	739	1460	0	26389	0	291
172509	447	846	468	205	246	65	26	4	4506	27	184	884	250	4	65	10424	758	1545	0	26981	0	332
172180	468	884	480	209	247	69	28	3	4747	28	190	857	316	6	76	10961	777	1608	0	29861	0	323
171918	447	877	522	224	247	69	28	5	4971	30	195	876	294	6	83	11370	803	1611	0	49951	0	256
171640	434	885	538	214	251	71	28	6	5230	32	204	878	311	5	68	10892	780	1641	0	50714	0	268
171265	463	953	567	218	257	66	28	6	5464	35	211	857	282	5	76	11238	823	1729	0	29328	0	367
170917	494	997	579	246	260	69	29	5	5687	36	214	849	239	4	64	10427	857	1817	0	29464	0	341
170561	527	1016	599	255	258	76	27	6	5950	39	219	843	337	7	75	10158	870	1888	0	28763	0	352
170165	537	1087	631	254	270	81	31	4	6208	40	225	852	266	4	81	9224	894	1997	0	28470	0	389
169755	579	1099	671	270	275	80	33	5	6489	44	233	864	303	6	101	9828	947	2060	0	28358	0	399
169436	536	1129	658	288	299	84	33	5	6784	45	236	868	356	5	96	9469	969	2058	0	48948	0	309
169116	500	1135	685	312	302	88	33	4	7069	47	242	837	324	5	92	9161	997	2058	0	50547	0	313
168722	550	1108	715	322	322	88	34	5	7369	49	249	872	332	9	104	11026	1037	2102	0	47588	0	385
168361	589	1095	697	318	317	89	36	5	7720	52	254	873	347	5	93	11711	1043	2098	0	47987	0	350
168030	558	1114	686	325	333	90	38	5	8042	54	258	871	317	6	89	11961	1088	2056	0	48417	0	323
167643	535	1165	691	335	342	93	35	7	8363	60	264	858	256	6	97	12192	1102	2094	0	48798	0	378
167262	546	1175	702	344	340	94	34	8	8697	61	270	851	281	4	85	13073	1082	2153	0	49384	0	374
166958	523	1115	721	345	349	93	36	10	9036	64	283	845	279	6	112	12784	1114	2068	0	80258	0	291
166689	485	1076	701	346	361	96	38	9	9375	66	291	834	298	3	102	12723	1118	1985	0	80988	0	262
166320	508	1047	713	338	384	107	42	9	9700	69	296	860	279	4	110	12899	1164	1975	0	50001	0	362
165970	494	1094	698	323	355	106	44	10	10066	70	303	850	273	3	108	11797	1124	1990	0	49547	0	343
165595	519	1103	690	309	342	108	52	10	10423	71	311	831	278	5	106	12508	1132	1991	0	48498	0	365
165266	502	1074	699	314	338	109	51	11	10780	74	315	825	288	4	105	11572	1109	1978	0	49182	0	324
164921	504	1081	722	319	338	109	51	11	11079	78	320	834	348	7	98	11265	1134	1990	0	48378	0	339
164661	468	1059	687	318	322	109	53	12	11436	79	329	845	328	10	93	11297	1102	1914	0	79564	0	252
164383	429	1036	657	329	330	110	57	10	11775	84	333	835	304	1	104	12103	1130	1818	0	80210	0	270
164091	410	979	672	343	339	108	52	12	12098	89	340	850	253	5	77	11683	1103	1800	0	48528	0	284
163785	431	945	665	320	343	102	51	12	12440	94	345	860	318	2	101	12493	1088	1769	0	47810	0	301
163461	455	952	646	304	322	116	51	9	12772	96	349	859	250	5	83	12593	1049	1797	0	49359	0	317
