S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178898	128	136	37	29	41	9	2	0	250	3	0	239	0	0	0	65	65	317	0	179530	0	0
178834	120	172	39	36	41	7	2	0	277	3	2	393	368	1	76	664	60	357	0	17857	0	61
178759	111	202	51	43	43	9	2	0	305	3	5	459	113	1	12	1181	72	389	0	18304	0	71
178686	106	224	57	43	50	9	3	0	343	3	9	551	302	1	16	1247	77	415	0	19094	0	69
178603	108	236	66	52	61	9	4	0	378	3	13	625	265	1	26	1678	107	429	0	19132	0	79
178510	126	229	89	54	61	11	7	0	426	3	17	658	182	2	20	2488	134	443	0	20896	0	89
178438	121	236	113	52	68	11	8	0	465	3	18	686	260	0	20	2709	155	454	0	43226	0	70
178360	122	222	130	59	69	10	11	0	524	3	23	755	249	1	24	3813	165	458	0	44184	0	73
178276	129	229	134	67	74	10	11	0	574	3	26	771	280	1	25	3999	196	458	0	21803	0	80
178174	136	236	149	68	75	8	10	0	639	4	34	829	302	2	25	5312	206	476	0	22925	0	93
178083	134	249	155	67	73	11	10	0	708	5	38	870	260	2	28	6461	236	463	0	23551	0	87
177983	126	268	168	67	76	10	12	0	773	5	45	844	265	2	26	6097	245	482	0	24641	0	92
177895	130	266	180	70	71	12	14	0	838	5	52	872	101	2	23	6423	255	488	0	24997	0	80
177799	126	289	173	71	70	16	16	0	912	6	55	876	269	2	25	6714	266	495	0	46543	0	92
177714	133	258	169	85	82	14	17	0	997	7	57	900	265	0	18	6085	259	499	0	46992	0	82
177616	123	272	176	85	76	16	20	0	1078	7	64	885	253	1	35	6048	279	489	0	24357	0	90
177508	139	285	177	84	73	19	20	0	1151	8	69	879	113	1	27	5241	281	516	0	24262	0	103
177389	152	304	186	84	70	20	19	0	1222	9	78	861	134	1	20	5208	279	556	0	23312	0	110
177272	161	312	175	92	78	20	21	0	1312	9	81	872	290	2	17	5180	267	592	0	23291	0	112
177140	172	342	167	100	76	27	21	1	1390	10	87	887	259	1	27	4417	274	631	0	24038	0	126
177048	164	347	168	94	79	23	22	2	1485	11	90	898	110	1	39	3305	270	627	0	44696	0	89
176955	159	328	189	98	75	24	22	2	1571	14	96	897	284	1	32	3326	282	613	0	44368	0	88
176818	178	345	188	101	81	22	22	2	1660	15	101	899	261	0	23	2990	291	646	0	22086	0	132
176676	194	342	192	116	89	23	18	3	1752	18	110	881	246	1	29	3455	285	689	0	21619	0	134
176516	230	349	192	124	94	25	16	3	1848	20	116	910	248	0	43	3845	320	710	0	21611	0	156
176369	239	358	220	123	97	23	16	2	1945	21	120	888	270	4	36	4984	339	737	0	22213	0	142
176232	231	392	215	122	100	24	17	2	2054	21	123	910	274	4	34	5635	347	754	0	24353	0	134
176100	214	420	212	116	116	34	16	1	2154	24	126	898	242	1	36	6009	367	761	0	46466	0	127
175941	216	444	220	110	125	34	14	1	2266	27	135	868	336	4	35	6255	388	775	0	46410	0	149
175759	222	465	235	118	135	36	14	1	2380	27	141	857	174	2	40	6284	415	810	0	24630	0	176
175591	252	454	261	119	140	39	12	2	2486	28	149	831	264	2	37	6827	425	852	0	24427	0	159
175436	261	451	274	119	141	43	8	2	2609	32	157	844	288	3	47	7334	454	843	0	24913	0	146
175263	261	485	287	111	138	43	11	2	2735	32	165	848	343	1	41	7572	467	869	0	25555	0	164
175077	262	522	269	116	132	45	11	4	2896	33	166	852	275	3	45	7281	449	908	0	26542	0	185
174922	248	505	286	132	151	42	12	2	3028	33	172	853	137	5	43	6994	467	909	0	47586	0	150
174760	243	502	305	131	157	48	14	3	3163	33	174	835	371	2	35	5914	464	936	0	47156	0	160
174580	260	501	312	138	173	49	14	2	3289	35	180	852	287	0	49	6854	492	955	0	25141	0	173
174389	263	528	319	138	177	47	16	2	3438	35	181	840	272	3	39	7169	479	1009	0	25200	0	189
174177	261	575	323	141	181	48	17	2	3588	35	185	858	277	5	43	8718	501	1045	0	25467	0	208
173945	312	576	328	154	173	46	18	3	3752	35	191	865	257	3	46	9368	520	1087	0	27054	0	226
173707	329	619	339	152	178	47	19	2	3907	36	198	859	316	1	63	9742	545	1138	0	28522	0	231
173498	317	633	367	148	179	48	21	3	4077	37	205	868	337	4	52	8791	533	1180	0	48823	0	199
173293	311	650	364	154	187	55	23	3	4241	37	215	890	315	2	63	9373	562	1182	0	48910	0	193
173036	317	686	411	151	189	54	21	3	4403	40	222	890	280	3	52	9654	574	1255	0	27977	0	250
172788	339	697	430	155	189	55	24	1	4591	40	224	869	313	1	55	9469	585	1304	0	27960	0	243
172527	357	711	426	175	192	60	26	0	4792	41	226	869	118	4	68	8937	605	1342	0	27722	0	259
172237	377	745	441	185	196	66	25	1	4985	43	232	858	263	3	61	8818	625	1410	0	27017	0	283
171947	412	762	466	189	191	65	28	2	5187	44	240	879	355	4	58	8851	634	1479	0	27925	0	282
171712	367	817	441	214	192	61	26	2	5411	46	244	875	290	4	47	7044	613	1505	0	48165	0	228
171473	355	811	493	221	199	64	28	3	5591	47	248	855	120	0	68	6133	645	1526	0	47236	0	235
171189	399	793	514	225	212	58	29	4	5807	49	254	891	267	3	74	7552	701	1529	0	44948	0	277
170901	418	820	515	228	232	61	34	4	6012	49	259	895	291	2	59	8375	735	1573	0	44943	0	278
170599	433	854	521	238	231	63	35	4	6239	52	264	888	155	5	67	8455	750	1625	0	45677	0	297
170313	442	850	532	248	231	63	32	8	6490	55	269	880	255	4	70	9317	769	1629	0	46217	0	278
170016	432	878	553	263	238	65	32	8	6716	56	276	846	293	2	64	10313	784	1677	0	46859	0	290
169745	422	873	565	269	254	74	33	8	6945	59	286	838	278	4	92	10011	841	1649	0	78528	0	260
169522	406	844	540	253	274	67	35	8	7232	60	292	860	289	2	83	9977	859	1560	0	79351	0	218
169243	419	804	575	250	287	77	41	8	7472	61	296	859	274	5	67	10747	876	1577	0	46873	0	273
168972	415	835	560	247	275	80	42	8	7731	63	305	853	261	1	86	10996	897	1557	0	47648	0	260
168687	420	845	549	243	279	78	43	7	8006	65	311	838	281	5	78	9504	887	1570	0	47826	0	277
168407	424	836	574	247	267	73	44	8	8268	67	318	815	294	6	84	9914	916	1549	0	45964	0	268
168165	422	830	562	249	257	75	45	9	8532	68	319	863	297	3	61	10456	895	1545	0	47669	0	241
167936	393	853	515	257	254	79	44	10	8792	71	329	864	327	4	71	10226	896	1499	0	78861	0	219
167727	354	821	530	268	255	83	41	11	9036	72	335	849	314	1	66	10801	883	1469	0	80411	0	203
167470	352	806	520	266	255	83	39	10	9316	75	341	842	265	1	76	10931	891	1430	0	47632	0	251
167210	360	793	541	257	259	80	41	8	9562	76	346	857	309	1	68	11437	867	1464	0	48002	0	255
166916	400	792	537	274	263	85	44	6	9789	78	349	866	298	7	73	11902	868	1527	0	48647	0	287
166671	410	773	525	268	265	88	43	6	10046	82	356	903	255	3	64	11594	859	1513	0	49080	0	238
