S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178896	120	119	45	38	47	11	4	0	252	1	0	239	0	0	0	63	63	321	0	179532	0	0
178835	88	176	47	44	46	11	5	0	278	1	2	389	369	1	76	642	68	349	0	17839	0	59
178763	93	195	58	42	46	10	6	0	314	1	5	453	259	2	11	964	70	380	0	18347	0	69
178691	110	193	78	46	42	11	6	0	346	1	9	544	298	1	19	1852	94	392	0	19279	0	68
178595	114	224	82	52	57	12	6	0	377	1	13	612	109	1	13	1900	118	429	0	19683	0	92
178500	136	219	103	55	63	12	6	0	421	1	17	656	335	1	21	2227	143	451	0	20793	0	90
178437	125	222	112	61	66	14	7	0	470	1	18	677	261	0	21	2664	154	453	0	43137	0	62
178361	115	237	130	55	72	14	6	0	518	2	23	741	310	1	25	3310	176	453	0	43721	0	71
178264	125	250	121	78	61	15	5	1	583	2	28	749	277	0	16	3961	192	463	0	21848	0	92
178153	139	263	136	74	69	16	6	0	639	2	36	813	361	5	24	4087	218	485	0	21867	0	102
178027	158	276	144	80	76	19	7	1	702	2	41	858	257	3	20	4145	231	529	0	22153	0	121
177938	153	287	140	84	84	22	7	1	765	3	49	846	320	4	25	4160	259	518	0	22307	0	80
177828	167	283	162	88	72	25	9	1	839	3	56	889	97	1	22	4060	271	535	0	23151	0	103
177752	147	296	177	85	69	25	9	1	907	4	61	889	266	0	23	3887	268	540	0	44730	0	71
177672	130	296	178	94	72	24	10	1	988	4	64	907	272	0	25	4230	280	524	0	44964	0	75
177552	137	314	161	107	76	23	9	1	1078	5	70	882	115	1	35	3701	295	532	0	22431	0	114
177455	147	296	172	103	87	23	10	1	1158	5	76	888	179	2	30	3305	298	540	0	21787	0	90
177330	162	307	189	101	86	22	11	1	1235	5	84	875	132	3	30	4806	304	574	0	21495	0	116
177207	181	309	179	109	94	24	11	0	1327	5	87	881	286	1	22	5181	309	598	0	23237	0	119
177089	176	332	187	103	87	26	13	0	1422	5	93	908	271	2	36	6059	318	606	0	24168	0	112
176984	162	340	203	96	94	25	16	0	1510	6	97	910	108	0	32	6190	318	618	0	46156	0	101
176888	147	328	216	107	85	26	17	0	1608	7	104	896	123	1	34	5613	322	604	0	46584	0	89
176764	162	336	218	101	84	23	16	0	1711	8	110	886	268	0	31	5280	344	596	0	23805	0	118
176634	170	341	216	104	89	25	17	0	1810	8	119	865	253	1	23	5742	347	615	0	23838	0	122
176495	205	318	220	115	100	29	14	0	1902	11	124	906	250	2	27	6181	336	665	0	24032	0	134
176352	211	349	236	109	95	28	14	1	1998	12	128	876	271	3	33	6580	343	699	0	24156	0	138
176205	224	371	230	115	97	28	13	2	2104	13	131	893	279	3	35	6826	347	731	0	25609	0	144
176073	211	395	230	119	97	31	18	2	2210	13	134	897	109	1	28	4525	346	755	0	46937	0	129
175924	211	417	232	114	111	33	16	2	2316	15	142	865	276	5	36	4696	364	770	0	45132	0	140
175737	219	449	249	113	121	34	16	2	2429	15	149	853	346	1	34	5503	383	818	0	24662	0	180
175555	254	459	264	108	135	32	17	2	2538	15	154	840	267	2	38	5653	408	861	0	23685	0	176
175392	258	472	280	111	138	34	19	2	2650	16	161	836	273	1	40	5583	431	881	0	23766	0	155
175202	267	510	271	110	135	34	19	3	2795	17	170	858	287	2	43	5584	431	915	0	23755	0	180
175003	260	568	264	119	149	35	20	4	2920	18	173	871	269	2	47	5192	437	978	0	24691	0	195
174828	256	565	290	120	162	41	23	4	3044	19	181	850	138	1	57	5167	470	987	0	45848	0	168
174653	260	562	314	139	158	44	23	5	3173	19	183	831	360	0	43	6169	478	1022	0	46608	0	173
174450	280	573	310	148	179	44	23	5	3310	21	190	851	292	0	50	6093	481	1076	0	24270	0	195
174223	302	578	339	149	192	45	21	5	3463	22	194	830	273	1	44	7189	499	1127	0	24483	0	222
173977	313	620	354	162	198	48	22	6	3612	23	198	861	292	9	56	5931	551	1166	0	25075	0	242
173712	357	649	356	176	189	52	23	6	3785	24	204	866	169	0	62	7630	587	1215	0	24046	0	259
173462	385	672	367	177	194	57	26	4	3954	24	211	846	312	2	70	8643	612	1266	0	26989	0	243
173241	376	678	388	191	192	61	25	6	4130	25	220	857	280	5	57	8729	613	1298	0	47758	0	211
173006	362	699	406	182	208	63	26	5	4318	27	231	860	275	5	57	9809	603	1343	0	49177	0	222
172695	374	780	416	182	214	56	27	3	4518	30	238	856	285	3	64	10826	646	1403	0	29112	0	303
172418	396	818	417	203	216	58	28	3	4704	31	241	849	310	2	61	9660	652	1484	0	29088	0	271
172129	412	842	439	218	229	67	27	4	4891	32	243	862	328	8	70	9852	703	1531	0	27947	0	286
171795	448	858	495	226	231	69	29	3	5095	34	250	876	261	7	60	10060	727	1629	0	27791	0	328
171462	483	871	503	244	236	70	27	4	5337	37	259	891	312	8	71	9368	752	1682	0	28915	0	323
171224	430	900	497	267	229	74	28	4	5578	38	264	882	290	4	70	8802	738	1687	0	48553	0	231
170975	385	896	536	271	227	80	24	6	5821	42	270	859	300	2	80	7574	742	1677	0	49094	0	242
170643	420	896	556	285	244	83	28	5	6053	43	277	867	326	8	85	8534	785	1727	0	45670	0	323
170361	444	892	531	273	235	79	27	4	6359	45	283	862	351	4	79	7904	783	1698	0	45531	0	274
170053	447	909	532	276	249	79	28	5	6620	47	288	848	157	3	75	8418	780	1740	0	45212	0	301
169752	451	921	524	279	268	73	26	7	6889	50	293	838	273	7	96	9480	816	1726	0	45371	0	293
169436	468	910	555	288	267	76	27	8	7151	50	297	814	287	2	79	11163	860	1731	0	47028	0	311
169183	456	880	553	289	269	79	33	9	7425	50	307	801	276	8	95	11395	903	1656	0	79219	0	239
168968	413	887	532	277	264	74	34	8	7710	53	313	816	296	5	78	11338	893	1588	0	79890	0	210
168662	414	871	553	274	287	77	38	9	7976	53	319	843	351	4	79	11868	926	1588	0	48376	0	298
168349	432	880	567	278	287	79	39	8	8234	54	326	849	268	6	83	11936	971	1591	0	48840	0	305
168024	450	910	549	271	284	79	37	7	8534	57	331	850	277	5	75	10900	945	1635	0	48404	0	318
167732	450	913	565	265	267	77	34	9	8824	59	338	834	284	5	84	10753	942	1629	0	47062	0	285
167449	455	908	579	258	274	86	37	10	9073	61	343	845	291	3	68	10542	963	1634	0	47691	0	279
167206	430	887	584	264	258	88	39	10	9353	63	351	837	325	5	85	9227	931	1619	0	78902	0	235
166982	380	875	583	269	270	89	40	6	9617	65	357	808	315	0	84	7315	941	1565	0	78676	0	219
166739	392	814	585	287	259	85	41	7	9895	67	362	822	258	2	70	8896	922	1541	0	45597	0	234
166479	392	792	563	304	265	81	42	8	10170	71	366	817	291	4	74	9646	898	1541	0	46502	0	256
166198	405	808	533	300	249	80	49	6	10463	72	370	840	253	5	69	9158	858	1566	0	46407	0	274
165918	417	821	538	280	255	79	54	4	10718	73	376	861	268	3	82	9668	872	1572	0	45832	0	272
165649	446	794	525	291	239	79	52	6	10989	77	386	816	301	7	87	9874	877	1549	0	46591	0	261
165419	408	807	536	278	250	83	50	8	11226	79	389	806	300	4	71	10715	883	1529	0	79040	0	226
165207	343	822	535	283	252	81	51	9	11471	83	396	821	142	7	70	10786	876	1491	0	79716	0	201
164941	350	800	541	286	263	85	51	10	11715	88	403	837	291	5	71	11955	884	1492	0	47769	0	259
164684	351	816	516	266	256	85	56	11	11996	89	407	858	269	6	83	11946	897	1449	0	48683	0	251
164438	372	802	515	246	255	97	55	10	12244	91	408	814	283	8	85	10294	886	1456	0	48439	0	242
164218	359	773	504	258	260	95	52	11	12497	96	410	819	280	2	73	10038	879	1422	0	47136	0	217
163981	367	755	498	246	263	92	54	12	12755	97	413	824	297	1	94	11265	887	1388	0	47156	0	230
163785	323	746	515	254	252	90	55	9	12982	100	422	848	262	3	81	11217	880	1355	0	79425	0	183
163571	319	731	496	265	249	92	53	10	13218	104	425	861	271	3	75	10549	862	1343	0	79774	0	211
163326	332	729	491	251	230	96	55	9	13475	108	431	867	337	5	55	9001	806	1378	0	47320	0	239
163105	338	698	510	238	242	93	50	9	13696	115	439	855	168	2	66	8829	804	1365	0	46092	0	214
162873	342	696	502	236	224	93	51	10	13945	116	445	884	343	7	70	10004	807	1337	0	46274	0	226
162655	332	710	507	230	219	92	53	8	14158	119	450	839	264	4	68	9150	809	1334	0	46781	0	212
162418	360	692	498	224	232	91	52	6	14385	122	453	812	260	4	56	9555	803	1346	0	46013	0	232
162238	340	652	495	228	231	89	52	6	14617	124	461	781	360	8	74	9413	785	1302	0	77753	0	173
