S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178947	111	98	57	39	32	7	5	0	236	1	0	239	0	0	0	39	39	310	0	179532	0	0
178881	103	153	51	35	23	8	5	0	271	1	2	390	367	1	58	598	51	327	0	17742	0	64
178819	100	174	63	37	23	8	5	0	298	1	5	459	108	0	6	1024	51	359	0	18233	0	58
178747	110	193	73	38	29	7	6	0	320	1	9	551	123	2	12	1606	70	386	0	19079	0	68
178648	117	226	77	40	34	8	8	0	361	1	13	629	265	1	19	3000	98	412	0	20200	0	94
178559	124	246	88	49	43	7	9	0	391	1	16	671	262	2	18	3071	121	445	0	21862	0	85
178487	119	262	105	52	46	8	11	1	423	1	18	685	260	1	20	3224	150	453	0	43605	0	70
178416	116	245	128	63	51	9	10	2	468	2	23	749	250	1	18	3455	180	442	0	43923	0	66
178314	128	254	129	77	49	11	9	3	530	2	27	761	272	2	19	4169	194	463	0	22035	0	98
178194	146	269	139	80	57	12	9	3	587	2	35	825	302	2	21	4287	223	489	0	22123	0	110
178088	162	272	146	74	67	12	10	4	656	2	40	863	249	1	19	4554	229	514	0	22393	0	101
177988	150	294	151	84	67	12	10	4	723	2	48	841	97	2	25	5109	238	530	0	22929	0	92
177867	163	305	167	79	62	16	10	5	799	4	56	863	252	0	23	5209	249	553	0	24416	0	114
177783	156	291	178	89	72	17	9	5	868	5	60	873	271	1	23	4757	260	552	0	45437	0	80
177708	138	284	183	100	79	16	10	5	943	5	62	899	331	1	24	4074	265	545	0	45803	0	73
177599	131	308	170	97	76	19	10	5	1045	5	68	885	257	1	37	4249	286	525	0	22422	0	101
177494	143	287	192	106	79	21	11	4	1119	5	72	875	119	2	30	4544	294	545	0	22319	0	101
177382	156	281	210	105	84	22	11	4	1193	6	79	861	288	2	26	4227	309	560	0	22797	0	105
177272	151	308	185	95	88	27	14	4	1301	6	82	869	285	0	26	5273	309	559	0	22334	0	107
177158	163	317	177	95	89	28	13	5	1393	6	89	893	336	0	32	5621	298	584	0	24425	0	107
177067	159	322	174	87	95	29	16	5	1478	6	95	895	272	0	33	5211	308	574	0	45597	0	86
176968	165	308	190	92	89	31	14	4	1565	7	100	891	281	1	29	4484	302	587	0	46144	0	94
176860	166	317	185	82	96	30	16	4	1663	7	107	899	327	2	29	4912	305	587	0	22654	0	101
176752	155	315	189	97	104	29	13	5	1747	10	117	887	246	1	34	5169	320	582	0	23731	0	98
176610	175	323	192	105	108	30	14	5	1838	11	122	910	110	0	32	5325	329	618	0	23238	0	137
176476	204	318	207	95	114	29	13	4	1934	12	127	882	278	2	40	6082	341	639	0	23737	0	127
176356	204	333	211	104	108	27	13	4	2031	12	130	898	182	1	33	6140	337	663	0	25321	0	116
176225	191	367	205	104	116	27	14	4	2134	13	133	888	253	3	32	6077	348	676	0	46441	0	127
176073	212	368	211	110	120	26	15	3	2237	13	145	860	267	3	31	4892	350	712	0	46249	0	139
175909	214	398	216	120	125	26	15	3	2343	13	151	845	177	1	40	6267	383	731	0	24372	0	157
175746	235	418	229	109	121	31	18	3	2452	13	158	825	322	3	40	5998	383	778	0	24432	0	155
175585	240	446	251	111	117	30	16	2	2555	15	165	829	274	3	33	7017	391	820	0	24163	0	153
175413	253	452	269	116	124	27	15	2	2673	16	173	840	286	4	36	6670	397	859	0	25262	0	164
175229	249	493	269	112	126	28	17	3	2812	17	178	865	273	3	36	6550	387	907	0	25780	0	178
175068	248	487	292	121	141	31	19	5	2920	17	184	866	139	1	40	6316	398	941	0	47001	0	156
174898	255	500	290	124	145	32	15	4	3061	22	187	829	362	0	47	5789	396	965	0	46097	0	167
174691	280	517	289	129	161	34	15	4	3194	25	194	850	295	1	54	6912	424	1001	0	25361	0	199
174487	296	531	300	140	175	38	15	4	3322	26	199	829	260	2	44	7527	456	1039	0	24937	0	201
174247	298	599	304	134	183	41	17	4	3474	27	205	859	281	7	59	6622	485	1091	0	25728	0	234
174010	326	625	318	146	177	40	18	5	3631	28	209	870	258	1	52	6953	509	1141	0	24640	0	232
173753	359	651	344	151	183	43	19	2	3784	29	215	870	322	4	55	8283	533	1217	0	26751	0	251
173528	358	672	353	165	192	49	20	3	3943	29	221	885	278	6	47	7339	543	1266	0	47633	0	216
173305	330	717	369	160	190	57	21	3	4119	30	232	888	272	4	67	7897	575	1269	0	47962	0	211
173021	350	728	419	163	216	52	19	3	4292	33	237	886	276	3	57	7409	603	1344	0	26050	0	278
172747	385	760	429	179	221	53	20	3	4462	34	240	850	307	6	71	8244	676	1371	0	25409	0	268
172473	408	743	463	210	216	62	20	1	4660	35	242	861	276	9	67	7388	707	1415	0	26701	0	272
172176	405	808	470	202	215	68	23	2	4880	35	249	875	259	5	54	8715	701	1490	0	25604	0	292
171829	450	843	482	204	226	68	26	3	5108	36	258	869	309	8	73	8172	723	1576	0	27788	0	335
171598	417	866	449	212	237	69	27	4	5355	37	262	867	294	4	68	8154	741	1536	0	47682	0	224
171369	354	898	477	227	233	76	27	5	5559	41	267	846	302	0	78	8619	753	1539	0	48855	0	223
171079	378	883	515	232	236	83	28	5	5778	41	275	879	272	6	75	8629	758	1597	0	46109	0	282
170775	434	874	532	239	230	84	31	5	6007	42	280	887	352	1	73	8741	783	1641	0	45789	0	294
170462	456	885	533	254	239	85	32	5	6254	45	283	874	148	5	72	9608	796	1688	0	45700	0	308
170181	454	883	543	258	246	75	32	7	6517	48	289	861	168	4	80	11081	818	1673	0	47098	0	273
169878	425	903	577	264	252	79	31	6	6773	51	294	849	291	6	81	11079	820	1711	0	47781	0	297
169623	404	887	568	284	265	77	32	7	7030	52	304	835	276	3	82	10978	852	1665	0	79368	0	243
169385	406	875	548	268	274	75	36	6	7298	53	309	875	297	4	79	9875	843	1639	0	79704	0	233
169118	425	808	569	278	287	80	39	6	7553	54	316	870	343	5	73	11129	837	1649	0	46994	0	259
168816	426	859	542	266	282	83	40	5	7835	54	325	869	259	4	91	10808	864	1634	0	47797	0	293
168534	422	895	527	247	262	82	44	6	8127	56	331	853	273	5	89	10381	865	1614	0	47634	0	275
168226	427	916	539	258	253	80	45	8	8384	60	337	821	296	4	79	10828	876	1642	0	46920	0	301
167937	429	930	532	265	262	81	47	8	8639	62	341	849	286	5	64	10594	881	1665	0	48040	0	284
167719	408	866	553	276	253	80	48	8	8910	63	349	858	350	8	81	9415	869	1615	0	78944	0	211
167501	363	848	553	269	261	82	45	10	9181	66	354	842	304	1	78	9407	875	1546	0	79101	0	212
167257	355	837	561	270	259	81	45	12	9428	68	360	854	256	2	70	10582	862	1546	0	47932	0	237
166985	376	807	547	274	271	83	42	14	9700	72	362	868	291	6	74	11120	873	1527	0	47660	0	269
166674	414	829	535	266	262	92	44	11	9965	74	367	866	308	5	85	11193	879	1563	0	47818	0	305
166412	418	797	545	260	281	93	44	9	10226	75	373	933	255	2	67	10238	861	1577	0	48237	0	255
166132	423	791	534	268	293	88	43	8	10492	78	383	867	276	6	90	12152	894	1546	0	47743	0	269
165918	406	735	540	277	287	89	44	9	10758	81	389	885	307	5	76	12087	878	1500	0	80173	0	207
165693	380	761	497	270	269	91	48	9	11036	82	397	891	134	4	91	11080	882	1434	0	80399	0	215
165446	346	797	493	264	256	97	50	10	11284	86	404	885	281	2	85	11850	927	1376	0	48681	0	241
165184	346	837	479	245	259	90	51	11	11532	89	410	869	321	5	73	11857	929	1378	0	48731	0	256
164968	366	798	498	243	242	95	50	9	11762	91	411	830	279	7	66	10472	907	1385	0	48426	0	214
164716	368	800	502	245	239	92	42	10	12008	97	414	832	273	5	66	9925	875	1413	0	47482	0	248
164479	388	784	482	240	252	93	45	8	12248	98	416	821	302	2	77	10073	872	1412	0	47472	0	232
164257	362	762	503	250	246	78	46	7	12500	101	421	855	319	6	80	9616	869	1378	0	78989	0	214
164061	330	760	491	246	240	84	43	12	12737	103	426	860	276	2	68	10699	870	1324	0	79764	0	190
163838	312	754	487	236	246	75	46	13	12993	104	429	868	173	6	63	8828	812	1344	0	47450	0	219
163631	314	714	484	244	247	69	44	13	13232	106	435	854	323	4	67	9092	788	1328	0	45690	0	202
163389	327	713	473	250	233	69	45	13	13468	108	445	866	294	4	64	9336	778	1332	0	47002	0	232
163152	334	720	477	251	242	68	45	10	13671	113	450	827	279	5	76	9335	808	1329	0	46141	0	231
162923	359	707	482	234	229	67	45	8	13909	116	454	838	262	8	56	9748	791	1332	0	46323	0	226
162732	339	672	502	234	229	70	46	7	14125	118	459	822	365	8	59	9762	793	1299	0	78057	0	187
162587	297	642	479	222	230	71	43	8	14367	121	466	839	269	0	59	9190	769	1215	0	78881	0	139
162386	278	659	458	210	240	70	47	8	14585	124	468	861	261	1	59	9778	760	1202	0	46993	0	197
162183	300	628	433	200	241	66	49	8	14829	124	472	843	277	2	72	8634	700	1217	0	46939	0	201
161976	311	621	437	209	235	66	46	8	15023	128	473	826	277	8	65	8731	711	1214	0	45536	0	205
161761	311	623	432	218	225	69	43	9	15228	132	482	825	317	6	59	9494	709	1212	0	46358	0	207
161576	286	643	419	208	212	68	41	10	15446	136	488	848	247	1	74	8614	687	1190	0	46650	0	178
161407	266	643	400	211	205	67	41	11	15650	139	493	841	340	3	61	8551	696	1137	0	78019	0	165
161242	250	618	408	191	207	65	36	14	15862	141	499	848	279	2	63	9623	666	1109	0	78621	0	159
161057	249	605	425	199	186	70	35	13	16045	145	504	825	286	5	53	10176	687	1082	0	48004	0	177
160883	240	599	421	193	175	66	35	11	16253	148	509	843	304	2	54	10173	680	1049	0	78935	0	169
160728	230	571	407	191	176	64	39	9	16452	150	516	826	236	1	48	9024	654	1024	0	78818	0	148
