S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
156869	112	235	147	84	96	39	26	15	21142	191	577	864	119	1	30	6412	272	467	2	67903	360	66
156775	131	226	158	80	97	45	19	15	21209	196	582	852	308	2	24	4794	259	497	5	67792	360	70
156672	150	241	144	74	90	43	20	15	21300	196	588	842	113	2	22	4621	241	521	7	37931	360	86
156583	144	255	149	79	89	42	18	13	21372	198	591	874	349	2	27	4235	237	539	10	37742	360	72
156492	144	264	160	68	81	42	20	10	21457	198	597	843	265	1	33	4151	238	541	13	37564	360	69
156373	154	282	162	73	83	37	17	9	21539	200	604	833	285	1	23	4979	240	568	17	37833	360	93
156269	148	293	173	80	82	36	11	11	21619	203	608	821	265	3	26	4915	241	582	19	38433	360	99
156175	151	290	162	90	76	31	12	12	21717	203	614	826	264	0	32	4861	254	558	21	66923	360	86
156107	127	291	166	92	77	30	13	11	21799	204	616	845	95	2	22	4057	274	522	22	67077	360	65
155995	126	308	178	87	83	33	14	9	21872	204	624	846	281	6	33	4414	286	543	25	38084	360	104
155899	138	282	186	91	89	35	13	9	21958	204	629	852	284	3	29	5975	290	544	26	38251	360	92
155804	132	279	185	92	94	34	13	8	22052	205	635	848	304	6	32	6412	301	528	27	39086	360	88
155704	144	283	182	91	89	32	14	7	22140	206	641	855	320	4	28	7028	303	532	29	39923	360	97
155613	135	289	176	96	86	30	14	9	22234	207	644	865	104	0	18	7029	285	541	31	40162	360	87
155519	135	303	177	85	75	31	14	10	22329	207	648	882	129	0	27	6969	273	547	31	68487	360	90
155428	143	293	181	96	76	33	13	9	22399	209	653	846	243	1	27	6118	294	541	32	68578	360	88
155325	144	294	188	95	84	35	13	6	22481	209	659	867	268	3	27	6147	318	535	33	39046	360	97
155222	161	292	170	106	83	35	15	5	22571	209	664	838	133	2	25	5620	315	547	37	39584	360	98
155115	166	300	164	100	96	33	18	4	22658	211	668	824	252	3	32	6041	347	530	39	38989	360	103
154988	182	310	174	101	85	34	20	3	22747	211	678	866	234	1	30	4648	343	563	40	39050	360	117
154857	186	335	194	98	84	35	17	3	22825	214	685	900	125	1	26	3710	355	594	42	37602	360	126
154759	164	349	196	81	85	34	20	2	22932	215	696	920	287	1	28	3434	334	595	44	66597	360	86
154676	147	329	203	91	101	34	19	2	23014	215	702	893	295	0	25	3401	347	577	46	66314	360	77
154556	151	331	204	96	111	34	21	1	23105	216	707	896	329	2	31	3476	356	592	47	36733	360	113
154442	141	352	209	96	127	34	20	1	23179	219	713	905	132	3	25	3881	359	620	49	37143	360	108
154300	163	356	223	102	118	32	19	2	23278	222	718	903	255	5	41	5286	355	658	50	37373	360	137
154166	178	356	234	110	117	31	18	1	23376	223	723	909	251	2	27	6529	357	687	52	38869	360	130
154024	199	365	234	120	108	35	17	1	23480	224	726	891	116	4	25	6678	346	732	54	39633	360	138
153896	207	371	229	108	103	36	15	1	23607	227	733	886	326	1	36	5763	345	724	54	67928	360	121
153775	196	387	213	123	90	38	15	1	23731	228	736	903	265	2	38	5927	349	713	55	67638	360	118
153645	188	403	231	113	84	41	12	2	23843	231	740	887	348	0	28	6457	356	716	56	40150	360	125
153475	209	416	224	118	97	39	12	2	23963	233	745	868	270	1	33	6300	351	764	58	39817	360	164
153324	226	421	229	117	111	34	11	2	24076	233	749	859	286	2	36	6681	361	788	60	39904	360	147
153136	229	474	255	113	111	35	13	2	24177	234	754	868	266	3	45	6852	400	830	61	40139	360	181
152959	248	488	253	113	124	35	11	2	24307	235	758	881	260	0	35	6484	408	864	63	39544	360	174
152813	251	473	267	127	134	36	13	2	24415	236	766	862	254	3	42	5004	409	892	65	67774	360	138
152666	239	499	255	140	136	34	13	2	24541	238	770	849	269	1	43	4285	408	908	66	67814	360	143
152451	262	538	259	145	136	35	16	2	24678	238	773	850	298	4	51	6663	457	934	70	38092	360	211
152244	301	527	278	155	140	35	21	1	24813	239	779	834	311	3	42	6887	472	985	72	40210	360	203
152023	326	564	295	158	147	40	26	1	24931	240	782	834	310	5	47	5998	499	1057	75	39955	360	219
151819	313	618	296	169	146	38	27	1	25076	242	788	852	279	6	48	7050	537	1070	75	39471	360	198
151577	341	642	324	174	158	34	33	1	25214	242	793	874	106	1	40	7235	588	1118	77	40878	360	236
151380	315	656	358	196	171	35	31	5	25346	243	797	864	282	5	51	7218	606	1156	78	68383	360	193
151188	312	657	375	188	183	36	30	3	25511	245	805	886	291	5	53	7346	617	1164	80	68627	360	183
150927	335	687	390	181	197	40	29	3	25684	249	811	896	281	2	46	8116	631	1228	81	40871	360	254
150646	400	705	386	179	202	42	32	2	25875	249	815	891	276	6	67	7797	674	1272	83	41243	360	277
150395	404	734	393	187	210	46	34	3	26058	249	820	841	267	3	48	7318	661	1347	84	41116	360	247
150087	420	808	406	209	181	54	39	2	26255	249	823	854	275	5	56	5508	657	1460	85	40265	360	304
149761	458	860	433	204	197	55	37	3	26446	252	827	861	191	4	48	6612	684	1560	86	39600	360	321
149502	446	882	462	223	197	61	39	4	26631	254	832	872	322	2	73	6620	714	1596	87	68050	360	254
149248	421	888	478	242	216	58	42	4	26843	255	838	863	282	5	80	5318	735	1610	87	68611	360	248
148895	445	916	524	261	239	59	44	5	27042	256	847	850	300	3	65	7512	782	1706	88	39955	360	345
148507	502	957	534	268	270	64	40	8	27274	258	851	841	278	3	87	8058	846	1789	89	40910	360	383
148125	531	1022	540	273	270	69	37	10	27539	261	856	832	284	7	94	9236	911	1831	89	41577	360	376
147734	565	1072	564	285	274	64	37	11	27802	264	861	844	281	1	82	10987	945	1916	90	42563	360	386
147302	612	1110	623	308	288	70	34	13	28038	266	869	859	295	1	92	11614	1005	2040	90	44250	360	425
146963	575	1154	637	318	293	71	37	11	28332	268	874	868	342	5	80	11785	1009	2076	91	79351	360	333
146643	541	1175	671	330	287	73	36	10	28619	272	876	849	267	2	101	11090	1055	2058	91	79776	360	316
146233	562	1195	703	337	286	77	35	9	28936	276	884	856	281	7	87	12059	1080	2115	92	48088	360	402
145780	641	1187	716	341	309	86	35	9	29262	279	888	892	292	4	102	12175	1114	2201	92	48692	360	445
145372	672	1199	710	356	330	86	35	10	29588	281	894	860	299	9	113	11311	1151	2237	92	48519	360	399
144932	662	1269	729	333	363	88	40	8	29930	281	898	869	325	3	96	10992	1161	2323	93	48048	360	437
144478	669	1305	775	349	371	96	47	8	30250	281	904	863	334	8	115	10267	1201	2411	93	47630	360	449
144100	626	1332	803	360	378	97	46	9	30588	286	908	892	329	5	113	9258	1220	2422	94	78245	360	372
143739	579	1324	852	376	387	101	47	8	30920	289	911	882	262	3	103	7723	1238	2428	94	78571	360	358
143239	631	1386	843	356	387	106	43	7	31320	294	921	868	290	7	113	9545	1283	2469	94	45250	360	491
