S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178895	114	112	51	41	39	11	4	0	263	3	0	239	0	0	0	52	52	320	0	179530	0	0
178838	90	152	51	46	43	11	4	0	292	3	3	390	370	1	79	535	75	322	0	17579	0	53
178772	101	167	55	53	37	10	4	0	325	3	6	454	257	0	17	871	85	342	0	18394	0	63
178697	112	182	60	46	48	9	4	0	362	3	10	543	300	0	16	1309	100	361	0	18766	0	71
178611	112	209	74	58	57	9	5	0	381	3	14	618	109	0	16	2052	129	395	0	19248	0	82
178508	130	228	77	58	61	10	4	0	434	5	18	651	265	3	21	2610	152	416	0	21371	0	98
178435	123	250	84	64	61	9	5	0	478	5	19	678	263	1	16	2708	176	420	0	43209	0	72
178374	109	258	94	73	63	12	5	0	517	5	23	739	309	1	22	2789	209	405	0	43352	0	57
178280	118	258	108	80	69	14	6	1	567	5	27	758	279	1	19	2922	228	425	0	20818	0	90
178171	133	269	117	80	75	13	6	1	627	6	35	821	188	1	26	3812	254	439	0	21363	0	100
178072	142	274	129	76	77	16	6	1	694	7	39	860	255	3	19	4520	246	474	0	22215	0	95
177958	152	295	128	77	77	17	8	1	767	7	46	834	98	2	25	5036	269	485	0	23539	0	107
177855	152	307	142	81	72	16	6	2	839	8	53	867	254	1	22	5116	262	514	0	23836	0	96
177778	135	287	169	89	80	17	5	1	905	9	58	883	276	0	29	4740	287	495	0	45355	0	71
177703	118	282	179	94	93	19	5	1	970	9	60	905	274	1	23	4526	295	495	0	46041	0	71
177589	123	302	164	94	93	19	6	1	1066	9	67	879	254	1	45	5642	332	469	0	22700	0	105
177477	153	292	177	93	80	21	6	1	1153	9	71	874	124	2	29	6799	361	461	0	24533	0	106
177384	149	285	191	96	84	22	6	1	1229	9	77	856	288	1	15	8172	346	487	0	24911	0	87
177273	162	298	182	95	79	24	8	2	1320	9	81	864	276	5	18	8580	333	515	0	26579	0	106
177170	150	314	166	102	78	27	9	3	1416	9	89	876	262	0	28	7542	316	530	0	27379	0	95
177082	129	323	180	94	88	29	12	3	1491	9	93	884	172	0	33	6560	316	539	0	47148	0	84
176985	129	321	197	104	82	32	13	3	1560	10	97	893	286	2	31	6491	331	547	0	47166	0	93
176883	140	312	198	103	84	27	12	1	1658	11	104	887	328	1	20	6604	322	554	0	24700	0	95
176777	147	296	207	110	91	28	13	1	1741	11	111	875	241	1	24	5922	311	581	0	24775	0	99
176646	171	317	191	103	93	27	12	1	1841	12	119	893	310	0	35	6043	322	592	0	23986	0	126
176514	187	318	228	89	103	27	10	2	1917	14	124	871	279	3	31	4458	320	642	0	24086	0	126
176386	201	332	219	97	97	30	11	2	2018	14	126	898	268	3	27	4360	303	684	0	23830	0	125
176291	169	346	223	92	114	33	13	2	2107	14	129	895	246	1	24	2667	285	705	0	45186	0	92
176153	187	365	208	96	116	34	14	2	2207	14	137	863	272	4	38	4211	303	717	0	44633	0	130
175991	205	383	218	106	114	33	15	2	2308	14	144	841	350	3	35	6743	326	748	0	24590	0	154
175837	227	387	240	113	117	31	13	1	2402	16	149	822	260	3	36	6724	338	790	0	24831	0	149
175692	229	393	270	111	112	32	12	1	2508	17	156	826	265	3	38	6953	363	796	0	24864	0	137
175508	239	445	262	115	109	33	10	2	2629	17	164	846	280	1	29	7290	367	846	0	25103	0	175
175315	254	486	248	124	108	36	10	3	2764	18	167	864	266	0	46	7776	382	884	0	26447	0	190
175176	234	489	253	129	122	36	13	3	2888	18	172	850	134	2	39	7987	387	889	0	47949	0	134
175005	238	505	270	120	129	39	11	4	3018	19	175	837	362	1	39	8131	397	915	0	47984	0	168
174816	262	497	293	127	147	41	13	4	3131	21	181	840	293	1	33	8212	417	963	0	26291	0	184
174611	277	520	298	130	151	40	13	4	3285	21	183	832	271	2	42	6953	426	1003	0	26275	0	202
174398	278	556	314	140	156	46	15	4	3417	21	188	854	277	5	45	4850	439	1066	0	24974	0	207
