S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178939	99	115	49	47	37	6	4	0	236	1	0	239	0	0	0	60	60	297	0	179532	0	0
178860	89	176	47	38	39	7	5	0	270	1	1	392	366	1	72	128	62	339	0	17594	0	78
178789	99	183	66	43	43	7	5	0	293	1	4	457	257	2	8	710	70	376	0	18004	0	68
178710	114	197	77	43	47	8	5	0	323	1	8	551	354	2	16	780	82	409	0	18593	0	73
178602	133	230	96	41	51	10	5	0	352	1	12	629	165	2	15	886	104	462	0	18609	0	103
178502	151	232	109	42	54	9	7	0	410	1	16	664	335	2	21	1609	129	475	0	20091	0	96
178430	140	250	117	50	57	9	7	0	454	2	17	685	261	2	20	1711	154	476	0	42400	0	69
178349	115	274	130	59	66	10	8	0	498	2	22	749	251	0	20	2321	193	469	0	42945	0	76
178255	125	270	138	76	68	10	8	0	554	2	27	768	334	1	20	4283	227	468	0	22033	0	88
178145	141	284	138	78	70	11	8	0	621	2	35	839	135	2	26	4807	254	476	0	22270	0	101
178045	148	289	144	77	72	16	11	0	688	3	40	887	256	0	23	5681	262	495	0	23517	0	95
177962	137	290	153	85	80	16	10	0	749	4	47	857	270	2	29	6172	289	482	0	24139	0	76
177843	150	292	170	87	79	20	11	1	822	4	54	900	250	0	17	6101	284	525	0	25389	0	112
177764	146	282	186	88	71	19	11	1	902	5	58	901	277	2	32	6129	293	510	0	46075	0	74
177676	134	283	187	93	77	19	10	1	986	6	61	920	268	0	27	6710	313	490	0	47003	0	85
177551	149	299	183	86	83	18	9	2	1077	7	69	905	251	1	35	6284	309	518	0	25036	0	118
177448	162	291	208	81	81	24	10	3	1144	8	73	889	268	1	16	5783	307	550	0	24330	0	98
177323	158	329	209	83	84	24	11	3	1221	8	80	887	292	1	31	4186	311	587	0	23915	0	116
177167	192	356	210	84	81	28	9	4	1310	9	83	876	123	1	18	4447	308	652	0	22423	0	152
177028	203	380	210	93	80	29	8	4	1400	10	88	886	266	0	21	4011	308	695	0	23637	0	134
176939	174	382	226	92	87	28	12	4	1488	10	91	892	343	3	33	3781	296	705	0	44543	0	86
176826	151	389	246	105	92	25	11	5	1578	11	94	884	277	1	29	4375	325	694	0	45417	0	109
176689	175	377	245	104	96	27	11	4	1693	11	101	882	338	1	26	5512	337	698	0	22718	0	130
176543	192	362	245	109	106	31	10	4	1809	13	109	872	244	2	33	5164	344	711	0	23779	0	138
176394	218	372	238	115	107	32	10	3	1916	13	115	892	252	3	35	6351	367	725	0	23573	0	145
176240	238	379	239	127	114	31	10	3	2020	13	119	869	343	4	34	6563	375	763	0	24354	0	149
176094	238	407	242	120	117	30	10	3	2136	14	122	878	128	1	32	7093	383	781	0	25910	0	142
175964	220	413	255	127	120	35	11	2	2247	15	124	882	300	3	47	7000	402	779	0	47214	0	127
175817	214	431	243	125	127	32	10	3	2384	15	132	845	272	2	33	6957	411	771	0	47342	0	138
175651	216	450	261	126	133	35	12	3	2492	15	139	819	170	1	38	6654	417	816	0	25106	0	158
175458	262	462	266	116	139	34	12	3	2619	16	146	811	115	3	50	6392	447	844	0	24759	0	187
175295	262	486	276	113	132	37	9	3	2748	19	153	824	274	3	31	7448	436	879	0	25437	0	155
175098	280	510	292	120	133	37	9	3	2869	21	161	844	284	1	35	6450	430	951	0	25509	0	188
174870	299	558	287	123	146	38	11	2	3015	21	163	859	270	3	51	7008	437	1025	0	25374	0	225
174705	280	565	321	125	157	38	14	2	3134	23	169	844	199	4	58	6200	503	997	0	47211	0	160
174522	260	597	342	129	152	43	15	3	3272	23	175	851	355	1	44	7425	535	1003	0	47618	0	177
174300	293	589	347	154	168	41	18	3	3414	24	182	856	102	2	41	9145	571	1039	0	26562	0	216
174094	301	602	349	149	188	49	19	3	3571	24	184	847	121	2	49	9374	576	1081	0	27208	0	202
173863	310	627	361	151	200	51	21	3	3731	26	189	868	286	6	59	9837	606	1115	0	27768	0	227
173621	347	632	375	169	196	51	23	4	3897	26	192	866	334	2	48	10086	603	1190	0	27930	0	238
173355	380	654	378	173	197	54	25	2	4089	27	199	844	327	5	80	8766	640	1221	0	29384	0	258
