S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178878	98	136	45	45	57	5	4	0	264	1	0	239	0	0	0	76	76	314	0	179532	0	0
178796	92	189	53	48	54	6	4	0	289	1	1	392	373	0	91	510	82	364	0	17604	0	81
178710	125	198	63	51	49	7	4	0	320	1	5	460	257	1	22	723	101	396	0	18223	0	82
178624	134	222	75	48	52	9	2	1	356	2	8	554	122	2	11	802	111	431	0	18640	0	82
178520	126	272	85	50	58	13	2	1	392	2	12	627	315	0	17	957	126	480	0	18680	0	99
178416	144	284	92	58	68	14	3	1	435	2	16	662	107	0	25	1412	169	494	0	19820	0	100
178335	130	287	124	66	68	16	5	1	482	2	17	687	112	2	19	2186	198	498	0	42817	0	80
178247	135	278	153	72	67	20	5	1	531	2	22	750	254	0	30	2798	241	489	0	43422	0	81
178130	156	271	166	81	81	19	7	1	592	2	27	765	278	1	18	3478	262	519	0	21339	0	112
178011	155	299	166	83	86	23	6	1	665	3	35	821	306	1	28	4117	284	534	0	21404	0	111
177899	158	317	169	82	82	25	10	1	750	3	37	873	300	2	32	4633	283	560	0	22192	0	110
177806	145	331	156	91	87	27	10	1	834	3	42	833	305	1	24	4326	283	564	0	22841	0	88
177671	161	340	187	96	75	29	10	1	910	4	49	877	250	0	20	4362	272	626	0	23167	0	127
177568	163	338	192	108	73	27	11	1	993	5	54	880	267	3	24	4384	273	639	0	44720	0	97
177470	149	336	220	104	90	28	12	1	1062	5	56	894	271	0	37	4487	321	618	0	45235	0	96
177337	160	347	219	109	83	27	10	1	1171	7	62	889	252	0	34	4314	317	638	0	23374	0	125
177200	202	324	233	108	90	29	13	0	1260	7	67	879	167	2	24	4337	320	679	0	22741	0	131
177056	210	342	242	108	93	29	12	0	1359	8	74	865	291	2	33	4210	324	712	0	22837	0	137
176906	226	363	247	99	98	29	11	1	1467	8	78	872	119	1	27	4391	325	748	0	22474	0	145
176751	232	397	231	105	98	35	13	1	1576	9	85	861	260	0	26	3932	321	790	0	23375	0	147
176640	215	415	223	106	105	30	17	1	1682	9	90	873	283	3	38	3359	312	799	0	44254	0	106
176512	197	420	246	117	115	31	16	0	1775	10	94	878	298	3	46	3909	352	790	0	44532	0	124
176351	200	446	250	120	114	35	15	0	1892	11	99	885	334	4	40	4222	366	814	0	22107	0	156
176184	224	444	265	119	118	38	15	0	2004	13	109	874	243	2	38	4560	386	837	0	23021	0	158
175998	263	442	253	124	132	40	14	0	2140	14	113	894	248	1	40	4532	389	879	0	22662	0	181
175825	264	471	278	112	131	39	13	0	2268	15	117	869	316	4	37	4193	382	926	0	22660	0	168
175644	287	483	275	123	132	36	14	0	2404	16	119	899	276	3	43	3820	410	940	0	23226	0	178
175482	273	488	300	122	143	39	14	0	2534	17	121	898	309	4	38	3772	429	950	0	44605	0	159
175299	281	500	291	128	151	36	14	1	2685	17	130	885	344	6	46	5588	447	954	0	45735	0	174
