S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178903	129	103	54	41	43	6	0	0	253	1	0	239	0	0	0	51	51	325	0	179532	0	0
178834	105	171	50	42	38	6	0	0	284	1	2	390	369	2	63	687	56	356	0	17574	0	67
178749	115	201	57	48	47	6	0	0	304	1	5	455	317	1	18	1264	80	394	0	18768	0	82
178661	115	238	68	51	46	8	0	0	336	1	9	554	175	1	18	2329	101	425	0	19523	0	84
178550	129	259	85	53	57	12	4	0	370	1	13	627	111	0	17	2504	130	469	0	20272	0	107
178439	143	279	110	60	63	13	6	0	403	1	16	656	265	2	24	3561	160	514	0	21452	0	107
178349	142	289	131	67	71	12	10	0	444	1	17	677	158	1	22	3953	201	521	0	44200	0	88
178254	152	277	141	80	76	14	9	0	507	2	21	737	258	2	27	4087	236	513	0	44404	0	90
178144	154	289	149	89	81	15	9	0	576	2	25	760	278	1	25	4765	274	512	0	22636	0	105
178021	179	301	150	87	81	15	11	0	653	2	33	812	307	1	28	5237	299	525	0	22698	0	114
177911	183	289	180	95	90	16	12	0	718	2	37	859	127	1	20	5453	295	570	0	23451	0	106
177795	174	322	192	105	89	19	13	0	778	2	44	845	145	2	24	5065	321	593	0	23767	0	109
177670	180	345	197	99	79	18	15	0	877	2	51	871	101	2	20	5646	305	628	0	24425	0	118
177576	169	335	211	104	78	24	17	1	959	3	56	887	120	1	28	4639	312	626	0	45766	0	87
177489	152	319	211	99	99	26	18	2	1056	4	58	915	276	1	33	4742	313	611	0	45398	0	85
177356	155	345	209	101	103	30	21	2	1142	4	65	900	258	4	39	3702	342	622	0	23003	0	125
177233	179	339	229	97	96	31	21	2	1232	5	69	894	113	0	33	4394	357	635	0	21946	0	117
177087	201	351	238	97	95	28	21	3	1331	5	76	879	129	1	30	4438	368	663	0	22918	0	139
176953	212	380	224	89	93	27	19	4	1447	6	79	892	118	1	30	5046	356	688	0	22698	0	131
176805	210	416	213	85	95	33	18	4	1561	6	87	900	274	0	24	4939	337	733	0	23882	0	140
176686	191	426	233	92	101	29	21	5	1652	7	90	899	113	0	27	5034	330	763	0	45187	0	116
176549	194	426	253	109	98	30	20	4	1746	8	96	903	287	3	36	4495	344	786	0	45983	0	131
176386	215	426	277	108	97	35	20	3	1855	9	102	893	252	0	33	5998	360	818	0	23416	0	157
176224	219	430	284	115	102	37	20	2	1978	11	111	881	301	2	41	7000	379	828	0	24394	0	153
176036	250	460	278	125	110	39	18	2	2084	14	117	906	249	1	37	8829	408	872	0	25946	0	183
175851	274	469	290	130	126	38	19	3	2197	14	122	893	276	6	43	9087	435	911	0	26822	0	179
175668	282	499	289	140	122	35	19	4	2337	15	123	906	278	5	44	8695	441	945	0	28013	0	180
175519	263	504	312	153	134	36	19	4	2446	16	127	888	241	1	44	8213	463	958	0	48549	0	145
175346	246	545	298	154	135	36	18	5	2597	16	137	860	342	4	39	7842	479	953	0	47962	0	161
175138	261	572	313	160	127	38	23	6	2733	16	146	853	127	1	37	7769	480	1014	0	26105	0	199
174918	289	586	327	170	136	42	20	6	2869	19	151	833	268	2	38	7739	479	1091	0	26241	0	214
174701	322	572	363	186	143	43	20	5	3000	20	158	829	271	2	50	8380	509	1140	0	26380	0	209
174439	346	607	390	192	155	44	19	8	3144	21	168	855	277	3	55	7071	530	1223	0	26657	0	251
174184	351	648	375	197	159	46	18	9	3352	23	171	854	273	2	56	7193	554	1240	0	27272	0	252
173986	329	662	380	197	172	51	17	10	3526	26	177	842	145	2	61	6248	582	1226	0	47282	0	192
173742	333	691	395	196	187	54	16	10	3703	26	180	838	359	2	47	7958	600	1272	0	47887	0	239
173503	337	711	404	211	193	55	18	9	3879	26	187	841	295	0	63	9563	643	1286	0	26701	0	232
173240	364	718	422	208	198	57	17	9	4084	27	189	816	264	2	58	10395	653	1331	0	28342	0	260
172964	366	753	432	224	209	63	18	9	4274	27	194	829	286	4	74	10519	698	1367	0	28296	0	271
172634	402	819	431	223	211	69	24	8	4485	29	198	832	322	7	62	10726	719	1460	0	28560	0	326
172335	432	844	431	223	218	67	27	7	4713	29	207	841	270	7	83	10542	746	1496	0	29851	0	290
