S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178886	129	132	42	43	38	9	5	0	248	1	0	239	0	0	0	62	62	336	0	179532	0	0
178828	94	189	49	46	36	9	5	0	275	1	1	391	369	3	75	97	62	366	0	17606	0	57
178749	100	200	63	51	45	8	6	1	305	1	4	457	111	2	9	139	67	406	0	17754	0	75
178665	111	220	82	58	48	8	6	1	326	1	7	546	301	1	26	748	101	432	0	18039	0	81
178550	134	239	94	64	51	12	8	1	368	1	11	626	319	0	20	958	119	483	0	18661	0	111
178447	146	257	111	66	51	13	7	1	417	2	15	666	260	4	21	1284	140	511	0	19919	0	99
178385	136	256	121	65	59	13	6	1	472	3	16	679	312	1	27	1730	161	495	0	42440	0	61
178289	125	262	140	69	69	12	5	2	536	3	21	751	253	1	19	4015	182	500	0	44379	0	91
178188	131	266	145	80	78	14	7	2	593	3	26	771	284	1	23	4144	202	519	0	22014	0	95
178047	163	284	150	84	84	13	7	2	660	4	35	830	306	1	26	4762	221	564	0	22087	0	131
177932	167	300	157	79	90	19	11	2	733	4	39	880	257	0	27	4835	235	588	0	22822	0	111
177801	190	307	172	79	100	18	11	2	801	4	48	853	270	3	36	4929	276	601	0	22924	0	121
177678	179	352	181	72	90	19	13	3	887	4	55	888	250	3	31	5106	298	608	0	23738	0	116
177560	176	366	191	83	95	20	11	4	963	5	59	889	116	2	20	4482	299	643	0	45333	0	113
177460	165	363	201	105	100	20	11	3	1038	6	61	906	277	2	39	5444	342	623	0	46072	0	97
177318	182	376	199	109	101	23	9	3	1137	8	68	890	317	2	40	5520	357	642	0	23771	0	134
177171	203	374	217	104	111	25	6	3	1237	10	72	879	273	2	29	3891	350	690	0	23758	0	143
177025	209	394	218	107	101	25	7	3	1356	10	78	868	291	4	34	5546	354	707	0	22605	0	140
176874	216	424	215	108	98	27	10	3	1467	10	81	885	285	4	29	6536	356	742	0	24465	0	148
176719	218	447	220	114	99	35	10	3	1570	10	88	886	258	0	36	6493	370	773	0	25425	0	147
176581	213	461	244	108	101	32	18	3	1669	10	93	891	109	0	34	6553	346	831	0	46414	0	132
176446	206	449	282	124	105	31	17	2	1762	12	97	889	287	3	38	8010	391	823	0	47953	0	131
176278	221	457	269	121	124	34	18	2	1894	12	103	878	337	4	35	8541	398	846	0	26605	0	162
176113	231	436	282	124	134	36	18	2	2033	12	112	879	251	4	38	8071	404	857	0	26793	0	156
175908	266	470	276	118	146	39	17	3	2159	14	117	907	252	1	46	8262	419	913	0	26219	0	200
175736	281	460	305	124	152	37	17	2	2283	14	122	876	283	3	45	7792	430	946	0	26354	0	165
175546	286	501	310	139	149	38	19	2	2405	14	124	885	333	3	48	7036	455	987	0	26772	0	188
175375	275	526	307	145	153	43	21	2	2545	15	126	891	109	2	47	5205	470	1000	0	47115	0	169
175193	275	540	307	139	160	41	20	3	2705	16	134	857	336	4	49	5314	481	1001	0	45589	0	174
174974	294	561	325	153	157	41	21	3	2846	16	142	844	127	1	42	6777	507	1045	0	25315	0	211
174743	345	575	339	154	160	44	23	3	2982	16	149	821	272	4	41	5707	513	1127	0	24967	0	225
174518	347	601	366	165	167	45	22	2	3123	19	158	827	337	5	54	5826	544	1169	0	24167	0	213
