S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178892	112	122	51	40	35	10	2	0	268	1	0	239	0	0	0	52	52	320	0	179532	0	0
178834	84	182	53	43	29	8	2	0	296	1	1	392	323	2	67	145	58	343	0	17587	0	57
178761	95	186	60	51	37	6	2	0	330	1	4	457	255	2	9	252	62	375	0	17890	0	69
178685	111	211	62	45	40	7	2	0	361	1	8	549	175	1	21	440	78	400	0	18222	0	72
178578	117	256	71	49	44	9	3	0	393	1	12	620	267	2	16	1414	101	448	0	18390	0	102
178473	121	283	80	57	52	11	3	0	436	1	16	657	328	0	17	1710	121	486	0	20562	0	101
178401	116	280	98	70	55	10	3	0	482	1	17	682	257	2	22	1792	148	484	0	42450	0	71
178314	122	270	121	74	65	9	3	0	532	1	22	743	250	1	22	1892	175	489	0	42614	0	82
178212	135	265	127	85	76	9	3	0	593	1	27	752	271	0	28	4739	208	492	0	22651	0	97
178097	142	278	151	84	77	10	5	0	653	1	35	825	309	2	38	5993	255	492	0	22845	0	104
177994	153	279	153	79	76	9	8	1	740	1	40	872	253	1	26	6041	253	504	0	24099	0	98
177883	152	289	156	85	87	12	10	1	810	1	47	839	149	1	23	6062	264	527	0	24074	0	103
177778	157	293	174	79	79	14	12	1	891	1	54	879	93	0	31	6224	273	535	0	25030	0	98
177692	134	305	194	86	78	12	12	1	959	2	58	881	267	2	29	6084	288	533	0	46203	0	81
177601	123	304	204	90	79	13	13	1	1041	3	61	908	276	0	22	5821	279	547	0	47084	0	86
177476	140	322	196	90	80	12	12	1	1133	4	67	891	258	2	30	6311	282	570	0	24062	0	118
177370	143	336	201	83	80	14	15	1	1215	4	71	895	176	1	19	7340	278	594	0	25042	0	102
177242	164	344	214	86	75	17	17	1	1289	4	80	884	131	1	26	5265	283	634	0	25625	0	117
177105	186	350	200	99	78	18	15	1	1389	6	86	886	121	0	21	7115	277	669	0	23633	0	130
176971	193	374	200	95	71	23	11	1	1490	10	94	897	342	0	35	6131	283	684	0	26040	0	128
176873	181	377	209	97	82	20	13	1	1572	10	98	908	107	1	27	6169	287	692	0	46068	0	93
176768	168	366	238	110	84	23	12	1	1649	11	103	897	284	2	32	5972	306	695	0	46363	0	99
176625	194	365	233	112	97	27	10	2	1746	12	110	892	257	1	24	6439	317	721	0	24263	0	134
176472	211	370	245	99	107	30	10	0	1858	12	119	874	103	4	33	5828	335	737	0	24612	0	145
176314	230	397	238	97	107	34	10	0	1969	13	124	898	109	0	35	6802	328	785	0	23932	0	154
176156	242	414	257	101	112	37	13	0	2061	13	127	879	283	5	37	6126	350	826	0	25082	0	155
176004	253	412	263	114	112	35	12	0	2184	14	130	893	280	5	46	5634	361	840	0	25018	0	148
175871	237	432	265	110	130	35	10	0	2295	17	131	869	310	3	41	5013	390	829	0	46092	0	131
