S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178900	114	105	46	48	44	4	2	0	267	3	0	239	0	0	0	61	61	302	0	179530	0	0
178837	93	163	48	39	43	6	1	1	297	3	2	390	373	2	75	605	66	327	0	18056	0	61
178785	85	162	64	47	48	8	1	1	324	3	5	455	255	0	15	2336	79	336	0	18284	0	49
178716	99	164	56	52	61	7	1	1	362	3	11	547	304	2	17	3034	92	348	0	20231	0	61
178636	104	180	58	59	64	9	2	1	400	3	17	618	268	1	20	3259	102	374	0	20858	0	73
178556	116	189	73	58	53	10	6	1	448	3	20	649	177	0	27	4279	129	376	0	22411	0	77
178501	109	197	85	64	51	11	6	1	483	4	21	676	109	0	18	5007	151	372	0	45076	0	54
178433	94	225	85	61	52	12	4	0	535	6	26	742	250	1	21	5088	177	356	0	45170	0	63
178363	99	206	112	74	55	11	5	0	572	6	30	758	280	2	19	5260	199	363	0	23065	0	65
178268	122	217	108	70	54	11	8	0	631	6	38	821	133	1	21	5361	227	363	0	23155	0	86
178172	132	224	116	69	62	15	11	0	683	7	42	865	127	1	19	5388	240	389	0	23352	0	92
178083	135	233	130	68	64	15	10	0	738	8	49	832	265	1	16	4868	237	418	0	23409	0	82
178000	140	235	136	67	64	15	11	0	801	8	56	866	249	0	22	3210	238	430	0	23561	0	76
177934	111	254	133	71	63	17	11	1	870	8	60	872	119	2	16	2585	236	424	0	43811	0	62
177865	108	230	139	78	73	17	13	2	938	8	62	897	274	0	19	2929	224	434	0	44088	0	66
177772	112	242	131	78	72	19	13	1	1016	9	68	890	255	1	35	1965	219	448	0	21588	0	85
177654	138	240	147	82	82	22	13	1	1072	9	73	887	115	0	26	2125	238	486	0	20109	0	113
177550	149	252	147	93	79	24	14	2	1134	9	80	869	294	1	29	4032	267	491	0	20217	0	97
177430	149	297	151	80	82	26	15	3	1206	10	84	868	121	1	20	4899	273	527	0	22675	0	114
177325	150	311	160	83	71	30	15	2	1286	10	90	877	322	0	27	4965	270	550	0	23705	0	98
177232	142	318	180	75	76	27	22	2	1355	10	94	894	110	0	20	5011	272	568	0	45256	0	89
177136	140	304	194	86	76	32	20	2	1432	12	99	877	289	2	19	5045	265	587	0	45643	0	92
177014	164	289	192	96	84	36	19	3	1518	14	104	867	261	2	34	5160	280	600	0	23235	0	117
176884	174	298	182	101	92	37	21	3	1614	14	113	853	248	1	30	4774	303	602	0	23317	0	121
176742	181	343	176	104	91	41	19	3	1698	17	118	873	238	0	34	5366	327	628	0	22976	0	139
176608	205	330	209	100	96	41	19	2	1782	18	123	861	273	2	38	5708	344	656	0	23358	0	129
176479	212	339	214	113	94	42	18	2	1875	20	125	874	269	5	33	5719	332	700	0	24655	0	127
176348	206	369	220	118	97	41	20	2	1962	20	130	870	242	3	36	3566	358	713	0	46164	0	127
176220	191	375	224	123	107	38	20	2	2073	21	139	838	331	3	27	3192	353	725	0	44427	0	118
176059	191	409	227	127	108	37	23	2	2183	21	146	816	130	0	36	5615	364	758	0	23106	0	154
175896	227	420	227	120	108	39	22	4	2299	21	150	815	263	3	33	6692	374	789	0	24116	0	159
175741	242	411	240	122	122	32	19	3	2419	24	158	821	277	2	33	7112	379	809	0	24694	0	146
175577	235	457	237	123	125	33	19	3	2533	25	166	844	343	2	42	7351	378	851	0	25238	0	155
175394	236	494	245	123	123	35	19	3	2665	26	170	840	273	0	50	7904	400	875	0	26287	0	179
