S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178894	108	110	58	43	35	5	4	0	274	2	0	239	0	0	0	53	53	310	0	179531	0	0
178824	89	168	62	40	36	5	6	0	300	2	1	391	372	2	64	89	54	352	0	17582	0	69
178737	110	178	70	49	42	5	6	0	330	2	4	458	173	0	14	220	72	388	0	17801	0	84
178662	122	202	72	44	45	7	6	0	363	2	8	552	357	1	15	302	87	411	0	18161	0	70
178564	130	224	84	56	50	8	6	0	397	2	12	625	269	0	16	821	102	456	0	18137	0	94
178464	145	240	102	61	47	11	6	1	440	2	14	661	261	0	17	1806	110	502	0	20455	0	97
178382	146	247	110	73	56	13	5	2	482	2	15	686	258	0	27	2239	155	495	0	42837	0	81
178297	140	259	125	72	67	17	7	1	526	2	20	741	256	1	20	2356	175	512	0	43069	0	79
178204	146	264	119	80	81	19	7	1	584	2	26	760	279	1	38	3096	227	489	0	20870	0	87
178081	162	298	128	69	85	20	6	2	645	3	34	840	363	2	29	3786	259	509	0	21226	0	114
177973	157	316	145	67	86	24	7	2	714	3	39	868	254	1	20	3865	262	540	0	21848	0	103
177861	161	318	149	83	82	27	8	2	793	3	46	849	319	2	25	3877	272	556	0	21960	0	104
177741	196	316	154	85	76	27	7	2	873	3	53	885	253	3	22	4104	279	582	0	22855	0	113
177656	155	340	182	77	74	27	8	2	952	3	57	885	121	1	25	4118	277	586	0	44521	0	80
177555	147	340	203	85	71	27	9	2	1030	5	59	913	269	0	18	3672	282	600	0	45468	0	99
177427	162	331	216	89	77	27	10	2	1122	5	65	896	254	0	39	3375	310	602	0	21981	0	120
177301	183	329	221	92	82	27	11	2	1210	5	70	882	112	1	25	3989	307	638	0	21436	0	121
177177	191	344	223	91	79	24	12	2	1307	5	78	863	133	1	27	3942	303	661	0	22554	0	116
177027	201	370	224	103	84	22	12	2	1402	5	81	870	127	0	13	3890	280	736	0	22093	0	145
176874	213	401	216	106	81	27	14	2	1507	5	87	879	333	0	35	4096	303	755	0	23231	0	147
176760	207	399	234	102	94	26	18	3	1594	6	90	885	112	0	40	4442	318	762	0	44778	0	111
176656	188	398	249	109	91	29	18	3	1692	7	93	882	287	0	32	4908	326	756	0	45511	0	101
176515	201	405	251	114	91	28	17	3	1801	7	100	872	255	2	33	5798	338	769	0	23645	0	134
176344	233	397	264	121	105	26	18	2	1906	7	110	868	247	4	30	5264	345	819	0	24124	0	161
176177	249	427	245	121	102	27	17	2	2044	8	114	901	254	1	38	5838	353	835	0	23366	0	162
176014	248	428	274	120	127	27	16	3	2148	8	120	890	170	4	38	6522	368	872	0	24088	0	157
175850	252	452	282	119	116	32	15	2	2280	10	123	910	278	2	35	5677	348	920	0	25515	0	160
175704	241	468	275	121	129	34	16	2	2408	10	125	904	303	2	43	5594	368	916	0	46118	0	143
175542	251	475	271	125	133	34	16	3	2538	10	135	865	336	2	44	7079	405	900	0	46820	0	152
175336	260	517	295	133	144	30	17	3	2647	10	141	843	346	0	43	6292	438	958	0	25230	0	199
175111	309	538	312	124	147	31	16	5	2783	10	147	845	267	3	40	6063	455	1022	0	24356	0	219
