S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178505	198	186	78	66	72	7	2	0	418	1	0	222	0	0	0	92	92	517	
178441	134	269	82	61	68	8	2	0	464	1	3	368	704	5	115	158	98	526	
178349	122	294	98	67	61	7	3	0	521	1	10	513	514	3	14	208	90	562	
178241	146	293	124	70	57	6	3	0	580	1	12	551	219	2	24	297	98	601	
178144	137	312	130	79	66	8	4	0	633	1	19	624	677	3	29	415	125	611	
178059	128	307	143	86	76	7	5	0	699	1	22	664	589	3	36	564	173	579	
177950	146	297	170	86	75	8	5	0	768	1	27	683	345	2	33	713	179	608	
177847	151	294	181	98	86	10	9	0	825	1	31	713	649	1	31	869	212	617	
177723	165	301	181	109	91	15	8	1	906	1	32	757	564	4	30	1027	233	637	
177604	169	328	193	93	91	18	7	1	992	3	34	757	511	6	34	1196	262	637	
177509	149	323	209	97	91	19	7	2	1084	3	40	782	514	3	28	1241	254	641	
177399	149	333	214	87	88	18	8	3	1187	3	44	790	542	3	32	1321	271	626	
177293	143	328	210	94	93	17	8	3	1290	3	51	813	639	3	32	1413	285	608	
177174	178	288	224	103	92	14	9	3	1386	3	59	826	500	2	39	1487	294	614	
177060	188	295	220	110	98	15	9	3	1470	3	62	841	629	4	27	1481	295	640	
176926	202	320	208	107	99	16	13	3	1566	4	69	814	238	4	28	1461	295	670	
176795	210	334	202	123	99	15	12	4	1663	4	72	865	633	5	28	1448	292	703	
176664	199	368	194	122	97	20	12	4	1768	5	80	832	213	2	28	1413	268	744	
176574	167	366	196	120	108	24	12	4	1872	5	85	820	527	2	33	1494	284	709	
176459	172	348	192	118	123	25	12	3	1984	6	91	800	627	3	45	1519	301	689	
176321	179	369	207	112	126	22	11	3	2084	6	93	811	510	6	47	1602	313	713	
176154	206	403	190	120	119	26	10	4	2200	6	95	797	514	4	29	1597	297	777	
175994	238	393	199	122	122	27	13	4	2311	7	103	766	517	6	26	1609	290	824	
175840	247	418	204	124	126	32	12	4	2411	8	107	786	499	5	45	1648	316	847	
175672	269	424	220	126	133	31	11	4	2522	10	111	830	516	6	51	1757	334	880	
175556	246	418	245	125	141	30	14	3	2628	10	117	874	519	3	40	1814	344	875	
175433	209	441	246	137	137	26	14	3	2756	12	119	878	242	5	44	1875	352	858	
175272	216	434	260	146	145	31	14	3	2875	12	125	866	631	7	50	2014	389	857	
175120	241	418	259	144	148	31	15	2	3015	12	128	871	603	7	50	2039	390	866	
174957	253	438	249	142	152	35	16	1	3137	13	140	894	506	6	51	2072	399	886	
174777	253	481	238	155	150	36	16	2	3268	13	144	865	646	6	38	2062	392	937	
174582	262	518	251	162	150	38	17	2	3388	14	149	863	619	5	41	2107	411	987	
174436	252	509	243	168	155	39	19	3	3543	15	151	880	628	11	39	2156	395	990	
174299	224	523	246	176	153	40	21	3	3680	15	153	875	641	7	55	2213	409	974	
174095	251	526	272	177	154	42	20	4	3815	19	158	882	293	4	56	2270	436	1006	
173901	289	524	284	169	157	40	20	6	3962	19	162	915	568	5	53	2322	445	1038	
173703	299	546	303	153	168	40	20	6	4107	20	168	854	616	10	48	2331	454	1075	
173494	318	580	301	166	161	38	21	6	4254	21	173	872	545	11	53	2355	455	1130	
173278	325	620	300	164	164	35	22	6	4417	22	180	853	664	15	53	2361	443	1187	
173079	333	607	317	175	174	35	21	9	4572	22	189	845	516	7	59	2440	463	1199	
172884	326	616	329	189	187	35	24	8	4719	22	194	837	516	3	59	2521	489	1217	
172670	334	636	336	207	182	32	22	10	4886	23	195	801	538	11	67	2624	516	1233	
172433	361	636	354	212	187	33	23	8	5063	23	200	812	528	6	51	2681	507	1299	
172201	357	665	361	212	190	36	22	8	5248	25	208	807	599	8	70	2652	504	1339	
171918	365	730	367	213	195	36	21	10	5439	26	213	813	512	8	63	2653	513	1414	
171632	410	750	362	229	209	37	20	10	5630	28	216	837	661	11	64	2667	506	1511	
171430	397	741	384	230	202	35	19	13	5831	30	221	870	540	9	79	2844	535	1473	
171211	374	753	402	231	211	41	19	9	6028	32	222	823	504	11	60	2883	551	1480	
170900	410	782	426	237	222	38	17	11	6228	33	229	825	656	9	73	2985	584	1548	
170608	436	788	453	239	237	37	18	13	6437	33	234	818	582	16	72	3015	603	1605	
170287	470	840	453	248	233	42	18	14	6655	33	240	804	681	15	85	3178	649	1655	
169941	505	897	473	254	233	38	23	13	6874	33	249	798	522	12	68	3159	652	1771	
169586	545	928	505	256	257	36	24	13	7098	34	251	846	649	14	66	3274	642	1909	
169323	499	963	509	275	259	35	21	12	7345	37	255	823	569	15	83	3354	678	1883	
169057	472	948	537	295	274	33	18	13	7587	40	259	816	645	14	100	3557	704	1873	
168720	451	1003	536	319	270	36	20	10	7864	42	262	806	518	13	100	3772	752	1883	
168368	503	1001	547	317	285	43	23	8	8131	42	265	839	632	14	75	3756	735	1984	
167997	519	1039	558	334	283	47	20	11	8416	43	266	817	695	14	91	3847	745	2055	
167629	536	1063	557	351	298	50	23	11	8703	43	269	839	614	11	106	4021	808	2070	
167267	562	1048	566	365	333	52	23	12	8987	44	274	842	588	12	99	4135	867	2082	
167004	511	1044	594	338	340	58	26	12	9280	45	281	848	547	14	109	4228	885	2026	
166706	457	1059	635	323	349	63	28	11	9570	46	286	859	560	7	97	4414	929	1985	
166345	495	1035	644	323	356	64	29	10	9896	48	288	853	704	9	114	4613	939	2007	
165952	527	1068	653	334	359	61	32	10	10199	49	289	882	688	14	100	4672	950	2084	
165575	556	1061	656	339	360	59	32	6	10539	50	300	867	518	13	99	4668	955	2108	
165179	581	1110	642	334	355	63	32	8	10870	52	307	882	544	7	128	4697	962	2155	
164762	589	1183	659	346	345	72	33	6	11174	52	312	898	620	9	94	4845	979	2248	
164479	548	1132	673	349	349	70	34	7	11518	52	322	869	662	17	95	4975	984	2171	
