S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
157860	717	1373	860	457	412	95	45	20	17264	76	354	923	551	17	128	6139	1185	2774	
157384	720	1380	883	460	419	95	44	22	17690	77	359	920	656	16	126	6247	1188	2813	
157044	646	1344	889	440	442	95	42	20	18122	84	365	930	669	15	137	6308	1156	2742	
156709	574	1325	909	437	451	94	41	19	18518	86	370	866	577	9	144	6264	1161	2670	
156286	605	1289	869	436	432	97	41	23	18992	87	376	858	669	18	144	6440	1151	2618	
155856	607	1284	858	445	426	94	46	18	19427	87	385	881	669	18	133	6466	1144	2616	
155444	592	1327	841	455	404	99	45	16	19828	90	392	848	554	17	126	6452	1152	2611	
155046	574	1340	856	441	409	108	46	17	20205	95	396	847	581	9	140	6321	1193	2581	
154583	626	1320	848	441	419	101	45	16	20634	96	404	868	519	9	113	6307	1170	2630	
154230	634	1260	812	463	418	104	51	16	21039	98	408	892	671	17	121	6341	1206	2536	
153934	560	1235	804	459	419	109	56	15	21429	99	414	889	530	20	128	6372	1227	2415	
153539	573	1216	807	459	417	108	59	12	21823	100	420	888	544	13	155	6370	1282	2357	
153141	594	1202	815	432	429	106	59	12	22217	103	423	853	528	11	119	6401	1289	2348	
152711	627	1192	799	432	419	105	57	13	22643	106	429	869	673	15	120	6294	1272	2359	
152307	632	1239	768	413	389	97	55	16	23067	112	438	871	686	19	126	6285	1242	2351	
151924	622	1223	787	389	391	99	57	17	23467	113	444	854	496	7	93	6195	1186	2382	
151631	547	1218	767	385	375	99	59	14	23874	118	446	869	671	19	95	6157	1137	2313	
151368	492	1150	757	383	376	94	59	15	24268	120	451	839	525	14	103	5998	1098	2213	
151030	470	1155	759	367	377	94	59	17	24630	122	453	842	613	7	133	6122	1146	2135	
150662	482	1142	767	356	372	101	61	14	24995	122	459	828	645	9	123	6080	1155	2126	
150380	475	1058	753	362	385	98	59	14	25358	125	466	823	624	8	104	5905	1090	2100	
150102	446	1014	738	353	382	98	57	17	25726	130	470	826	632	16	109	5667	1044	2044	
149846	434	980	695	326	365	97	59	16	26108	133	474	866	625	14	110	5598	1037	1919	
149609	392	928	678	322	377	93	53	19	26443	139	480	871	534	10	109	5553	1008	1835	
149377	379	879	642	313	370	91	48	21	26786	145	482	890	598	11	104	5366	973	1749	
149139	372	855	615	318	324	93	50	21	27110	148	488	884	682	17	85	5296	929	1698	
148907	376	825	591	305	312	94	52	20	27411	149	491	871	632	16	84	5213	885	1670	
148703	345	794	568	303	305	96	53	21	27702	151	492	908	582	8	81	5154	876	1588	
148459	366	722	571	300	326	99	54	20	27968	151	497	875	527	7	97	4932	861	1577	
148242	365	714	524	286	312	101	52	16	28264	154	503	842	685	11	98	4789	841	1513	
148074	324	678	511	274	275	103	46	18	28557	158	515	831	647	8	78	4657	794	1417	
147876	323	668	506	264	259	102	42	21	28789	163	520	839	631	14	63	4455	769	1395	
147667	324	668	459	269	242	101	43	19	29054	164	523	837	512	8	69	4267	718	1388	
147489	308	640	466	258	246	95	39	22	29278	166	526	834	540	5	75	4084	703	1349	
147321	286	629	441	240	230	93	43	19	29527	170	534	851	573	10	82	4023	720	1242	
147134	282	642	406	227	216	87	43	16	29769	171	540	837	525	4	63	3926	657	1246	
146934	288	628	388	209	234	84	41	16	29990	175	546	844	645	6	68	3843	637	1235	
146764	264	585	409	213	228	80	38	18	30203	178	553	819	524	4	70	3778	636	1181	
146636	225	571	377	196	223	75	36	20	30433	182	559	829	575	6	60	3598	588	1115	
146481	216	549	368	199	204	66	33	21	30647	184	565	842	587	11	61	3386	552	1083	
146323	218	531	365	195	200	67	32	19	30830	186	567	839	510	6	69	3304	557	1051	
146180	217	513	340	196	191	67	34	17	31019	186	573	836	634	6	54	3271	533	1025	
146008	227	519	322	202	178	64	32	14	31202	189	576	825	644	9	50	3112	521	1023	
145866	225	499	319	194	178	58	31	15	31373	190	585	819	335	5	55	3023	512	992	
145741	208	499	324	182	163	53	28	18	31535	191	591	817	524	5	44	2859	473	984	
145616	205	457	326	175	164	58	27	18	31697	193	597	853	548	4	52	2788	472	940	
145442	220	472	293	167	177	53	27	13	31871	194	604	855	521	9	64	2754	504	905	
145289	218	465	283	178	168	52	26	9	32037	196	612	901	226	4	44	2615	483	907	
145156	209	448	285	173	164	49	25	8	32201	197	618	882	681	2	47	2571	465	888	
145004	216	464	272	163	154	51	20	6	32355	201	627	882	478	4	38	2476	428	912	
144871	203	463	264	162	159	48	18	7	32502	203	633	914	532	3	53	2415	424	893	
144780	196	390	295	171	160	47	16	10	32627	203	638	901	486	6	37	2356	420	855	
144679	175	390	275	159	151	45	15	11	32786	205	642	914	618	6	51	2380	415	795	
144558	188	353	276	157	159	47	18	10	32916	205	646	905	554	7	50	2317	419	779	
144432	182	374	264	154	145	48	15	9	33054	207	649	875	508	4	54	2345	404	778	
144320	174	374	271	136	137	47	14	10	33188	207	655	877	243	1	33	2286	386	767	
144201	170	363	271	146	139	49	19	9	33294	207	665	874	625	3	33	2138	382	775	
144083	171	352	258	140	134	47	18	7	33440	209	674	837	541	8	36	2081	363	757	
143988	172	326	245	132	141	42	20	7	33568	210	682	857	221	3	33	2061	362	716	
143898	149	334	239	125	122	40	22	5	33696	211	692	849	226	3	41	2068	366	665	
143786	157	313	238	118	127	36	19	5	33824	214	696	834	228	0	32	1985	347	661	
143671	167	340	215	97	123	31	20	4	33950	214	701	838	562	2	32	1940	335	658	
143576	164	342	200	96	117	29	20	3	34066	215	705	835	574	2	26	1854	300	668	
143481	159	336	184	100	117	29	21	2	34178	216	710	838	232	2	25	1752	284	662	
143372	147	348	192	96	111	27	20	3	34285	217	715	868	508	3	43	1704	283	658	
143300	117	336	200	101	113	26	18	5	34375	218	724	847	537	4	33	1722	295	616	
143237	111	288	208	112	115	25	19	4	34470	218	726	855	512	2	36	1757	296	582	
143165	106	277	192	111	105	29	20	3	34579	219	727	848	545	5	39	1761	309	531	
