S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178612	158	155	66	59	62	12	6	0	402	1	0	247	0	0	0	84	84	434	
178548	113	222	72	49	55	15	4	2	447	1	5	349	707	7	112	184	91	439	
178461	113	249	92	47	63	13	4	2	482	1	6	437	680	2	22	268	107	474	
178371	116	261	103	61	69	13	5	1	523	1	9	545	696	2	23	345	122	506	
178268	128	290	107	67	68	13	4	3	573	1	11	622	539	2	26	448	134	543	
178176	136	287	107	82	79	14	5	3	629	1	14	678	541	4	23	545	153	557	
178098	135	272	128	85	78	13	8	3	695	1	17	725	522	3	32	683	177	542	
178016	137	268	137	93	90	14	9	3	748	1	17	749	231	2	30	824	205	543	
177900	153	271	150	104	90	17	10	3	812	1	22	764	587	3	35	976	236	559	
177797	154	285	153	108	85	18	10	3	893	2	25	788	623	1	22	1090	245	568	
177677	158	321	165	108	81	18	12	1	958	5	29	830	503	3	21	1131	241	622	
177555	169	330	174	106	87	17	12	1	1044	5	33	846	639	4	30	1096	242	653	
177428	172	343	185	111	91	15	12	2	1130	5	39	845	593	6	31	1173	260	669	
177328	167	348	184	106	95	18	12	1	1223	6	45	865	488	1	28	1244	268	662	
177218	166	355	193	100	93	17	13	1	1323	6	48	843	636	6	39	1308	281	656	
177094	174	358	194	107	98	17	11	2	1416	7	55	877	585	7	35	1355	290	669	
176956	192	344	209	113	105	14	12	2	1516	7	63	848	512	6	38	1391	309	680	
176826	190	378	203	116	103	13	13	2	1615	7	67	835	630	3	35	1416	318	698	
176689	187	388	215	124	105	12	13	3	1716	7	74	838	248	4	24	1396	303	741	
176537	184	420	217	124	111	11	15	4	1824	7	79	847	555	8	36	1487	321	761	
176391	204	414	224	127	119	11	18	4	1927	7	87	860	643	5	39	1549	332	785	
176267	205	404	239	128	115	9	17	4	2046	9	90	873	521	3	34	1607	342	775	
176107	218	409	233	153	121	9	22	5	2151	10	95	863	656	2	46	1623	344	821	
175958	218	426	239	161	124	10	20	6	2262	11	98	881	328	5	46	1710	350	848	
175787	230	452	241	155	127	12	21	7	2387	12	102	866	521	11	37	1713	340	898	
175608	243	479	267	146	127	15	25	7	2498	12	106	819	510	8	43	1780	358	944	
175433	265	468	271	148	139	16	26	8	2635	13	111	837	533	4	47	1823	370	963	
175289	244	488	272	144	147	15	26	7	2769	13	119	815	537	5	42	1862	373	963	
175146	228	474	285	157	148	21	26	9	2902	15	122	824	315	6	46	1999	385	954	
174948	257	480	296	165	130	23	28	8	3054	16	128	819	636	8	55	2071	400	979	
174743	280	519	284	151	134	24	27	9	3215	16	131	880	338	6	35	2068	386	1033	
174510	310	577	279	157	129	26	28	9	3354	18	136	849	523	5	45	2122	393	1113	
174290	331	610	309	150	123	30	25	11	3495	19	140	822	650	11	46	2120	408	1170	
174079	326	644	327	166	128	32	24	10	3634	20	143	856	529	6	37	2058	394	1253	
173899	315	626	346	174	152	30	23	8	3790	22	148	849	537	5	47	2078	403	1263	
173701	317	625	346	183	187	30	22	8	3938	24	152	846	521	10	68	2105	434	1276	
173481	337	618	372	194	199	36	21	8	4087	26	154	869	528	9	68	2152	472	1305	
173198	373	656	375	196	214	31	21	9	4274	28	158	886	567	10	64	2228	487	1379	
