S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178599	173	153	87	65	73	13	4	0	365	1	0	258	0	0	0	100	100	468	
178517	132	245	79	59	67	14	4	0	414	1	1	380	680	6	126	195	120	480	
178439	126	268	88	66	65	15	6	0	457	1	2	499	248	3	18	276	124	510	
178332	125	294	107	82	70	15	6	1	494	1	6	566	550	3	20	358	139	560	
178220	138	305	120	96	73	13	7	1	550	1	9	611	572	0	28	456	158	594	
178117	133	322	127	99	79	14	9	1	620	1	11	651	667	1	38	606	176	607	
178023	135	313	130	103	89	16	9	2	686	1	26	709	512	2	33	753	207	588	
177934	123	316	138	100	102	22	9	1	754	1	33	752	487	3	40	913	249	561	
177825	122	329	147	103	99	25	9	1	835	1	37	790	549	8	40	1105	282	552	
177690	155	315	164	111	108	24	10	0	916	1	39	827	560	4	26	1281	311	576	
177568	168	317	180	106	102	30	10	0	1006	1	45	819	525	0	33	1360	299	614	
177451	160	328	184	109	105	27	10	0	1106	1	52	832	638	2	39	1442	316	607	
177300	189	344	191	107	109	28	9	2	1196	1	57	842	345	3	34	1530	341	636	
177214	184	320	195	112	112	24	8	3	1300	1	60	839	585	1	26	1596	327	628	
177122	162	337	187	117	105	31	10	3	1393	1	65	828	516	9	29	1642	341	608	
176988	174	352	188	121	103	32	11	3	1491	1	69	831	603	4	45	1642	352	629	
176840	201	348	214	123	107	30	12	3	1582	1	72	866	617	1	30	1638	357	678	
176704	211	370	219	111	109	27	12	3	1689	1	77	900	541	7	38	1633	349	710	
176557	209	397	212	111	114	28	10	4	1803	3	85	907	328	3	32	1602	321	760	
176406	215	411	223	128	111	29	10	6	1902	3	89	886	604	2	38	1644	333	794	
176306	197	413	223	123	127	28	13	6	2003	3	91	869	555	4	31	1608	321	803	
176192	186	398	236	123	131	28	13	7	2122	3	94	876	560	2	42	1589	318	797	
176034	221	398	244	115	128	30	11	9	2242	3	98	859	517	4	46	1647	324	823	
175877	255	403	238	116	125	29	11	8	2367	4	100	854	519	2	31	1717	315	862	
175697	281	429	225	122	137	29	11	7	2482	4	109	875	556	6	37	1691	311	923	
175519	277	472	239	140	134	28	12	7	2586	4	115	879	537	9	47	1743	340	962	
175328	279	502	253	141	130	30	12	8	2725	4	121	885	497	6	44	1837	349	998	
175163	249	534	287	144	136	31	13	8	2838	4	126	881	513	4	42	1878	352	1042	
175000	233	560	282	149	136	31	13	7	2987	6	129	870	573	5	46	1925	364	1040	
174758	269	592	280	164	163	30	14	6	3114	6	137	868	663	12	55	2009	417	1095	
174545	292	601	298	174	164	36	13	7	3251	6	146	870	550	9	66	2203	463	1115	
174314	312	625	303	183	165	37	17	7	3411	6	153	860	508	1	48	2242	474	1168	
174075	333	641	316	195	176	36	20	8	3572	6	155	881	624	6	53	2241	460	1257	
173832	359	649	355	209	178	36	20	7	3723	8	157	875	529	13	59	2334	478	1328	
173636	335	677	361	194	177	37	22	7	3913	9	165	837	534	8	51	2441	488	1315	
173431	304	715	365	207	177	34	24	6	4089	10	171	862	654	9	55	2520	515	1311	
173149	327	748	381	223	189	37	25	7	4258	11	178	844	370	9	69	2563	543	1387	
172841	379	779	426	226	197	39	22	7	4419	14	184	821	639	6	73	2735	585	1483	
172542	408	800	434	249	210	44	22	4	4617	14	189	835	568	12	63	2805	596	1571	
172220	434	841	459	244	220	41	22	4	4836	15	197	863	667	10	79	2848	603	1658	
171854	484	880	484	271	223	45	23	4	5048	15	202	839	505	13	87	2916	644	1766	
171612	462	885	502	252	224	43	23	4	5303	16	207	828	618	6	75	3083	648	1743	
171380	408	900	486	272	244	44	28	4	5541	16	210	822	649	6	72	3206	670	1712	
171027	435	963	499	269	249	45	28	3	5783	17	215	827	659	15	108	3406	713	1775	
170674	481	962	548	274	252	49	30	4	6023	18	218	811	507	16	79	3503	733	1863	
170298	489	1030	556	279	258	50	32	3	6294	21	223	833	555	11	91	3607	729	1965	
169889	544	1038	602	306	281	52	31	5	6534	23	228	827	567	22	102	3756	761	2093	
169477	604	1062	623	315	300	56	34	5	6799	25	233	859	573	12	81	3830	791	2203	
169167	565	1083	605	323	333	53	34	8	7097	28	237	830	533	14	100	3911	820	2176	
168834	506	1118	622	319	337	54	37	9	7427	30	240	858	679	7	125	4195	848	2145	
168412	542	1149	619	340	361	58	36	10	7724	35	247	849	529	11	133	4373	899	2206	
167903	648	1178	659	352	376	57	33	10	8028	37	252	810	636	20	116	4603	943	2360	
167428	697	1238	646	345	374	62	37	11	8398	39	258	830	673	13	113	4879	957	2442	
166948	706	1341	663	344	392	69	40	10	8717	40	263	800	656	16	121	4938	1008	2547	
166456	739	1382	671	393	407	74	42	12	9049	42	266	808	552	13	106	5083	1041	2667	
166091	676	1407	700	404	427	79	42	11	9384	44	268	821	680	20	130	5241	1079	2656	
165763	613	1369	740	413	432	80	43	12	9749	46	273	775	656	18	139	5439	1116	2574	
165283	647	1420	740	433	417	79	49	13	10129	47	276	809	651	17	159	5747	1182	2603	
164757	708	1422	798	437	430	82	48	14	10508	47	282	828	657	15	123	5870	1235	2690	
164302	700	1460	800	418	430	91	50	12	10931	51	288	851	573	17	139	5936	1258	2691	
163808	737	1451	816	430	435	94	50	13	11351	54	294	840	545	9	133	5917	1256	2757	
163302	744	1518	800	444	428	98	50	12	11780	58	299	826	573	21	118	5993	1223	2859	
162946	696	1441	849	455	448	101	51	14	12167	60	305	856	514	12	117	6085	1243	2798	
162579	646	1415	819	463	457	99	51	15	12620	61	308	843	618	19	141	6176	1240	2710	
162117	666	1436	847	461	444	98	57	16	13017	62	312	832	674	20	170	6490	1318	2691	
161656	689	1408	871	442	468	102	60	17	13435	67	318	840	526	15	143	6566	1334	2706	
161190	694	1430	874	427	477	92	60	18	13877	71	323	855	551	12	147	6644	1315	2739	
160685	725	1465	871	427	474	98	62	17	14305	74	330	852	530	8	148	6592	1347	2775	
160236	708	1461	861	443	491	99	66	18	14740	77	333	869	635	12	128	6664	1313	2816	
159901	672	1351	896	464	488	102	63	22	15156	80	338	883	645	18	139	6669	1312	2724	
159572	607	1321	898	457	463	95	63	22	15609	83	343	860	617	12	136	6713	1296	2608	
159125	642	1337	886	424	450	94	58	22	16056	91	348	849	692	16	152	6761	1308	2583	
158705	637	1323	898	437	447	86	51	26	16472	97	354	845	531	9	114	6702	1251	2628	
158256	668	1314	892	431	453	88	52	22	16899	101	357	852	531	13	113	6657	1233	2665	
157810	690	1312	912	434	441	89	56	18	17303	105	363	860	530	20	137	6426	1222	2712	
157372	690	1361	887	412	425	92	58	15	17742	108	371	857	639	16	122	6384	1185	2740	
157044	626	1333	846	424	434	96	58	14	18175	110	373	862	533	15	126	6300	1152	2665	
156714	581	1269	824	441	432	100	64	13	18602	112	381	847	673	15	132	6306	1168	2543	
156272	598	1298	812	434	418	103	62	13	19024	114	385	839	596	16	158	6410	1238	2487	
155829	632	1279	812	441	418	101	65	12	19435	116	393	863	543	18	120	6459	1241	2507	
155429	658	1256	831	421	416	106	67	12	19817	120	400	860	550	15	134	6430	1258	2497	
155012	663	1251	830	393	423	107	63	13	20250	124	404	858	684	11	110	6222	1202	2528	
154581	679	1256	807	418	409	108	62	12	20664	127	410	871	557	11	131	6310	1176	2563	
