S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178508	186	185	91	59	54	10	5	0	434	1	0	224	0	0	0	82	82	508	
178421	141	262	96	65	55	12	5	0	475	1	0	359	704	6	107	179	94	542	
178332	132	293	94	66	58	13	5	0	535	2	3	478	657	5	16	237	98	563	
178223	143	306	109	74	64	15	5	0	586	2	6	560	625	3	24	309	116	600	
178121	142	314	123	82	71	16	5	0	648	2	9	617	234	0	28	404	132	621	
178025	150	300	141	79	84	16	5	0	717	2	14	693	219	2	31	537	151	624	
177923	142	314	155	78	88	16	8	0	789	2	18	728	563	2	35	705	188	613	
177795	141	330	169	92	100	15	9	0	852	2	28	752	654	5	30	817	213	643	
177664	162	324	177	104	110	15	9	0	931	2	35	791	630	6	28	952	229	672	
177507	196	346	183	114	108	16	9	0	1012	2	40	800	591	3	30	1110	261	711	
177360	209	370	200	106	106	19	12	0	1102	2	47	768	598	6	26	1169	263	759	
177246	199	373	213	112	113	19	12	0	1194	2	50	794	523	3	25	1188	278	763	
177136	175	375	227	119	127	19	12	2	1281	2	58	814	490	2	33	1264	300	754	
177005	178	377	221	116	132	22	16	1	1399	2	64	851	567	1	39	1369	318	744	
176851	178	410	230	115	130	22	17	1	1504	2	73	845	647	8	51	1475	352	750	
176691	190	435	231	118	121	23	16	3	1625	2	78	851	613	2	32	1492	336	798	
176514	220	446	246	128	112	20	14	4	1740	2	87	849	598	5	39	1502	330	856	
176354	237	438	251	130	115	20	14	4	1875	2	93	849	467	3	27	1541	306	899	
176216	228	440	263	143	116	22	13	6	1985	2	99	871	616	5	42	1674	317	908	
176084	219	448	262	138	114	24	16	4	2120	2	102	910	523	5	43	1752	332	889	
175899	236	482	264	130	114	29	15	3	2248	4	109	891	538	8	51	1835	359	911	
175680	277	536	268	125	117	26	18	3	2363	4	116	879	546	3	39	1931	373	994	
175499	294	516	298	133	132	28	20	4	2486	5	118	883	547	6	32	1969	364	1057	
175298	292	565	298	136	136	28	20	5	2628	5	122	877	509	10	49	1988	378	1097	
175076	313	591	305	137	152	30	20	5	2771	5	128	879	521	6	35	1957	387	1161	
174905	291	590	335	151	158	31	19	5	2910	7	131	895	654	6	54	2078	415	1160	
174747	255	595	345	156	165	28	19	5	3073	8	137	858	538	8	46	2104	416	1147	
174515	273	626	324	182	176	29	17	5	3234	10	142	845	676	17	60	2242	440	1187	
174278	305	630	328	185	185	30	14	8	3411	10	149	859	490	10	49	2302	448	1229	
174025	331	650	340	192	188	32	14	8	3591	11	151	858	550	2	53	2330	446	1301	
173806	329	679	350	196	176	28	13	8	3781	12	155	848	625	7	62	2386	460	1311	
173535	371	699	363	191	196	28	13	6	3963	13	155	831	330	10	59	2497	466	1395	
173334	372	668	399	188	200	29	17	5	4144	13	164	820	660	10	59	2618	475	1398	
173128	337	721	375	183	196	34	18	4	4349	14	174	828	528	6	60	2702	489	1375	
172849	373	749	384	197	205	32	17	5	4533	14	175	816	646	9	62	2739	512	1445	
172549	410	759	423	202	233	31	19	4	4708	15	180	848	642	10	56	2747	526	1551	
172245	452	779	449	213	230	34	21	3	4905	17	185	843	551	6	79	2863	555	1623	
171916	475	823	459	219	252	36	22	2	5121	18	190	871	508	6	72	2862	604	1682	
171589	487	883	474	245	235	39	20	3	5340	19	199	854	622	12	83	2988	642	1741	
171347	459	879	474	269	238	39	21	4	5579	19	205	886	542	9	67	3052	627	1752	
171117	392	873	495	297	238	36	22	4	5828	20	211	891	543	9	83	3142	644	1709	
170775	437	891	488	290	252	38	21	4	6096	22	219	846	638	12	100	3272	675	1742	
170411	505	911	488	302	258	42	23	3	6342	22	226	830	644	18	89	3403	708	1821	
170027	536	985	501	298	259	44	24	4	6597	25	233	814	637	11	90	3544	755	1892	
169664	566	998	533	298	267	48	24	4	6860	28	243	843	672	14	82	3700	768	1966	
169269	585	1065	555	312	283	51	25	4	7107	28	249	841	645	18	79	3823	794	2082	
168957	543	1067	611	336	298	56	27	4	7350	29	255	800	549	14	86	3945	823	2115	
168639	533	1048	640	326	334	57	26	4	7637	30	259	801	505	13	99	4148	883	2081	
168211	576	1103	664	328	359	56	26	4	7911	31	264	814	641	11	131	4329	980	2132	
167800	620	1117	669	337	375	60	25	6	8222	32	270	821	665	15	97	4520	1016	2187	
167373	642	1188	662	366	360	61	24	8	8543	33	273	834	644	13	109	4663	1041	2262	
166922	651	1261	678	347	371	63	26	8	8892	33	281	869	644	10	103	4625	1027	2370	
166441	688	1325	704	339	400	60	26	8	9223	33	286	862	612	20	108	4635	1020	2522	
166114	634	1285	736	354	411	68	25	10	9571	33	292	828	697	15	115	4828	1027	2486	
165777	575	1284	736	358	437	72	27	12	9924	34	297	843	693	16	126	5031	1068	2421	
165304	633	1314	718	364	421	76	30	12	10321	34	306	823	608	16	155	5354	1139	2417	
164840	690	1305	753	382	408	77	34	10	10688	34	312	816	562	25	124	5586	1167	2482	
164346	735	1330	789	393	409	76	36	10	11051	37	321	845	547	15	132	5676	1148	2620	
163877	737	1402	747	409	415	81	35	8	11453	41	328	820	528	10	122	5746	1140	2686	
163369	741	1489	780	393	397	78	44	8	11857	43	334	855	645	15	125	5800	1136	2786	
163001	690	1477	778	400	418	74	49	5	12260	44	337	823	657	19	115	5940	1138	2748	
162610	638	1430	852	412	432	75	49	6	12639	47	343	860	546	11	140	6211	1196	2692	
162067	677	1480	878	412	437	74	48	6	13056	51	347	845	685	19	162	6360	1221	2785	
161537	704	1538	866	444	439	77	49	6	13466	53	354	820	508	14	136	6443	1243	2874	
161007	760	1513	905	467	465	81	48	8	13865	56	358	844	532	17	142	6583	1263	2976	
160440	824	1526	920	480	455	88	51	8	14319	58	364	828	548	16	143	6463	1293	3051	
159851	849	1620	940	468	449	92	55	7	14774	61	367	814	638	20	156	6476	1304	3169	
159442	790	1601	956	476	472	93	56	8	15207	64	368	818	692	25	138	6555	1313	3131	
159036	705	1582	991	482	478	98	56	6	15656	68	375	805	569	14	142	6699	1319	3073	
158420	770	1650	1000	495	488	94	56	9	16104	70	377	856	689	23	187	6865	1421	3132	
157815	837	1626	1033	503	532	98	53	11	16571	72	382	801	629	20	142	6992	1405	3277	
157220	892	1640	1044	514	535	107	58	10	17049	77	387	833	625	25	163	7084	1429	3361	
156624	892	1717	1035	508	550	109	60	10	17554	81	393	859	632	20	170	7121	1468	3403	
155992	917	1778	1022	523	555	113	64	12	18076	83	398	832	636	26	158	7309	1478	3494	
155516	869	1727	1072	564	570	118	65	13	18526	86	407	844	693	27	166	7455	1514	3471	
155064	819	1701	1077	567	567	115	60	17	19044	90	412	869	638	21	179	7594	1544	3362	
154483	837	1724	1069	567	535	118	58	16	19611	93	422	878	613	21	188	7693	1560	3348	
153918	902	1696	1077	555	541	111	58	16	20130	98	431	879	687	21	151	7757	1533	3407	
153316	902	1753	1066	579	532	108	62	15	20666	99	435	890	651	21	173	7881	1563	3439	
152717	916	1792	1046	566	536	111	63	15	21231	102	438	877	566	21	152	7760	1512	3518	
152093	931	1866	1046	564	537	115	57	19	21756	107	442	885	666	23	164	7883	1518	3598	
151608	872	1823	1091	569	566	119	53	16	22258	110	448	879	664	33	150	7868	1513	3580	
151187	785	1762	1096	572	583	115	52	17	22795	116	453	863	660	24	186	7948	1546	3419	
150572	792	1832	1078	574	574	115	48	19	23353	120	456	860	549	25	193	7959	1579	3434	
149973	861	1841	1091	576	540	117	50	17	23885	123	459	847	634	21	159	7919	1546	3530	
149366	856	1848	1144	587	556	121	53	16	24395	124	467	857	686	27	162	7911	1561	3604	
148719	906	1849	1156	587	572	120	58	13	24952	126	475	883	674	35	187	7752	1562	3686	
148056	972	1835	1146	620	565	116	57	16	25537	130	483	876	642	25	181	7949	1578	3733	
147645	855	1797	1111	608	574	122	57	16	26130	131	487	847	625	23	175	8050	1548	3576	
147243	733	1746	1139	608	550	115	59	17	26698	133	492	833	699	23	197	8251	1537	3413	
146636	775	1767	1119	611	557	120	53	20	27240	137	498	862	697	23	185	8284	1563	3439	
146017	836	1773	1142	585	558	123	59	22	27776	139	503	833	538	18	171	8395	1507	3569	
145415	870	1785	1120	604	566	123	57	18	28322	142	511	836	691	16	162	8213	1504	3621	
144812	905	1787	1066	600	596	124	59	18	28905	146	515	857	640	14	167	8082	1488	3649	
144193	938	1824	1068	600	597	124	64	16	29442	147	520	862	663	20	189	8258	1510	3705	
143694	909	1791	1071	584	591	123	57	17	30018	156	522	860	675	16	182	8414	1519	3607	
143272	803	1723	1080	600	602	131	58	16	30560	160	528	896	678	25	196	8417	1540	3457	
142664	847	1746	1087	572	573	134	56	21	31135	162	536	858	665	28	220	8581	1631	3384	
142074	900	1749	1095	551	568	129	57	24	31683	165	538	864	659	20	154	8436	1596	3453	
141532	899	1735	1096	564	572	129	59	24	32212	166	545	858	646	23	158	8281	1592	3462	
140986	879	1732	1120	574	595	125	59	21	32720	171	551	885	572	16	149	8074	1562	3522	
140407	875	1794	1113	566	582	130	58	22	33250	177	559	835	642	26	170	7968	1549	3569	
139982	821	1691	1115	586	592	133	60	21	33786	181	565	858	660	26	181	8136	1577	3421	
139603	723	1647	1063	569	590	127	68	21	34365	186	571	818	652	27	188	8186	1590	3197	
139057	720	1673	1066	534	569	131	77	20	34923	189	574	821	638	22	191	8143	1576	3194	
138507	761	1684	1061	532	547	137	80	21	35433	192	578	853	680	19	163	8022	1549	3253	
137972	754	1689	1052	528	573	129	81	20	35954	197	584	840	646	16	154	7777	1523	3283	
137420	762	1700	1055	548	560	129	76	21	36472	203	587	833	546	14	166	7553	1511	3319	
136872	768	1667	1090	553	568	132	77	22	36985	205	594	848	607	18	142	7514	1469	3386	
136500	730	1542	1080	566	563	127	78	24	37521	207	595	833	572	23	165	7599	1452	3234	
136122	663	1518	1023	546	548	130	75	26	38068	210	604	796	648	25	169	7686	1452	3051	
135600	690	1499	1009	547	515	132	79	27	38614	213	608	830	702	29	197	7674	1488	2983	
135134	716	1467	1017	521	492	124	78	27	39124	217	616	855	685	14	166	7599	1455	2960	
134662	730	1466	1006	490	495	117	77	28	39623	219	620	869	694	26	136	7427	1395	2986	
134242	695	1436	979	501	487	104	82	27	40132	220	628	861	660	12	151	7160	1330	2954	
133790	670	1478	939	470	508	106	76	27	40612	226	631	873	660	17	130	7121	1310	2937	
133451	620	1374	938	494	504	109	77	26	41078	228	634	857	639	25	134	7110	1281	2835	
133091	578	1318	924	494	496	120	76	27	41535	232	642	837	675	18	157	7067	1310	2696	
132654	587	1310	892	473	482	115	75	29	42034	236	646	818	680	21	178	7107	1313	2621	
132246	598	1294	889	469	463	115	74	31	42462	240	652	818	523	15	104	6930	1252	2650	
131861	595	1296	831	462	431	110	69	33	42945	245	655	829	597	14	135	6847	1209	2585	
131477	590	1260	834	448	450	109	64	30	43363	250	658	818	545	12	121	6454	1173	2582	
131065	605	1237	831	436	448	107	67	32	43789	253	663	810	531	19	154	6443	1184	2547	
130787	552	1168	811	446	452	105	65	34	44191	257	665	839	575	12	104	6345	1156	2443	
130503	484	1150	788	439	426	105	59	35	44607	262	675	835	666	17	123	6308	1164	2287	
130129	493	1118	761	445	400	104	62	33	45040	264	684	847	675	11	121	6171	1103	2280	
129776	493	1138	735	416	392	112	61	36	45417	265	692	840	687	16	134	6099	1112	2235	
129444	509	1120	718	409	378	109	57	33	45793	267	696	839	656	17	117	5954	1092	2208	
129102	538	1085	718	400	383	109	55	29	46138	270	706	854	591	7	108	5692	1082	2206	
128758	551	1055	679	411	383	110	48	28	46520	279	711	869	636	12	105	5693	1079	2158	
128497	482	1043	657	389	381	111	51	26	46897	284	715	874	632	6	106	5594	1040	2074	
128275	399	1008	645	375	372	101	52	24	47279	285	718	900	585	11	119	5569	1007	1945	
127985	386	1000	668	370	346	97	51	26	47597	286	721	896	649	6	133	5342	1007	1911	
127717	402	948	653	355	341	93	53	24	47929	289	729	887	644	11	87	5284	962	1883	
127441	413	910	651	342	312	90	52	25	48274	291	732	839	637	16	102	5167	939	1831	
127152	419	894	612	340	311	91	53	25	48605	293	738	811	665	9	87	4986	904	1816	
126860	431	895	605	322	302	82	53	23	48922	294	744	818	638	7	95	4794	874	1816	
126675	390	829	624	323	295	78	55	24	49194	296	750	815	546	9	92	4693	850	1744	
126486	319	843	590	299	292	72	51	21	49507	299	754	836	623	10	88	4593	832	1634	
126247	347	756	610	284	284	76	45	23	49800	301	760	864	632	10	85	4474	795	1607	
126026	369	724	590	253	280	71	48	19	50085	304	764	898	593	10	84	4381	780	1555	
125831	340	692	554	257	285	65	53	18	50363	307	768	873	593	7	70	4207	741	1505	
125622	330	699	511	251	254	66	47	16	50647	315	775	866	521	4	86	3993	708	1450	
125416	333	678	475	250	243	65	41	18	50913	318	783	858	541	8	61	3881	668	1417	
125267	279	675	481	235	224	60	41	16	51148	320	787	847	523	8	67	3713	617	1378	
125101	266	664	455	216	229	59	42	15	51377	322	787	855	596	10	89	3720	617	1314	
124917	263	639	448	221	214	52	38	18	51604	323	796	865	659	7	80	3630	617	1258	
124724	276	599	441	205	220	52	38	16	51837	323	802	868	514	4	63	3491	607	1224	
124559	272	571	424	214	208	53	43	15	52040	325	809	864	329	3	59	3412	596	1189	
124400	245	590	414	209	203	56	42	18	52219	326	811	901	537	5	66	3251	609	1150	
124222	255	580	385	206	215	55	41	17	52410	328	819	897	551	4	46	3127	572	1165	
124097	229	538	396	195	196	51	41	18	52615	329	828	884	648	7	54	3061	521	1125	
123983	208	511	366	202	197	48	39	20	52798	331	830	888	540	6	65	2958	529	1042	
123828	197	510	350	198	189	46	41	19	52981	331	843	895	597	7	72	2967	536	995	
123707	218	465	324	192	178	43	38	21	53166	331	850	866	631	5	41	2881	495	963	
123584	203	451	309	185	179	40	33	21	53338	335	855	868	617	4	40	2615	447	953	
123452	199	426	301	166	175	45	36	17	53520	337	859	848	493	2	59	2554	438	910	
123318	212	407	284	161	175	45	32	12	53682	340	865	842	611	3	62	2524	454	862	
123223	182	405	271	147	167	44	28	16	53834	342	874	837	515	3	38	2476	434	810	
123139	165	376	246	145	170	42	25	15	53983	345	882	846	501	9	40	2330	403	766	
123037	162	371	249	141	149	40	22	13	54113	347	889	827	536	4	41	2313	393	741	
122940	159	355	239	129	141	41	21	12	54258	347	891	797	503	4	29	2190	347	738	
122844	142	354	219	139	125	40	22	12	54394	347	895	806	610	3	38	2005	330	711	
