S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178621	147	188	82	56	65	10	8	0	353	3	0	240	0	0	0	88	88	468	
178543	116	246	82	61	60	9	6	3	402	3	2	383	673	4	117	166	95	485	
178446	138	250	98	61	62	11	6	5	447	3	6	477	532	4	25	256	111	515	
178346	147	267	103	69	66	11	5	6	501	3	9	541	541	1	24	353	119	549	
178247	146	279	125	72	72	13	6	6	551	3	13	599	237	5	16	433	133	580	
178150	152	292	126	67	75	14	8	6	619	3	21	679	662	1	30	527	149	585	
178062	143	296	135	75	81	15	8	7	679	3	29	699	518	3	27	651	171	582	
177979	141	288	139	81	81	14	8	6	758	3	35	729	491	6	26	781	178	574	
177864	146	300	142	76	96	15	9	6	835	3	41	753	643	4	30	921	199	585	
177743	150	307	169	78	97	13	9	7	910	3	47	790	630	5	38	1123	236	587	
177646	152	300	185	84	94	13	9	5	989	3	53	795	634	1	32	1207	248	589	
177522	169	305	178	96	101	13	9	3	1077	3	57	815	226	5	24	1221	255	616	
177404	174	316	175	95	104	13	10	3	1174	3	62	833	487	6	33	1255	262	625	
177294	172	332	167	88	105	14	10	3	1280	3	65	858	600	2	32	1327	272	616	
177201	161	343	169	86	106	16	12	3	1365	3	68	836	650	4	30	1406	284	609	
177067	169	367	179	88	110	20	10	5	1440	3	75	811	532	4	34	1475	300	643	
176933	180	366	194	95	122	21	10	5	1528	3	76	830	685	1	29	1516	297	691	
176789	173	381	206	114	135	22	8	6	1614	5	80	845	513	6	34	1562	307	732	
176638	203	391	211	102	135	25	10	7	1720	5	86	800	527	5	35	1540	286	791	
176469	230	402	237	116	128	27	11	7	1812	6	88	814	646	4	41	1570	300	851	
176347	216	419	218	115	130	27	9	8	1939	8	97	818	506	4	45	1628	310	824	
176232	205	414	222	127	132	26	10	9	2048	8	100	828	506	4	37	1718	310	826	
176057	216	439	231	129	128	29	9	9	2169	9	108	838	643	8	46	1741	326	855	
175881	231	468	249	136	137	31	10	7	2262	10	111	841	575	8	39	1752	348	914	
175684	246	489	249	150	158	30	11	5	2385	12	114	828	610	6	50	1820	367	966	
175496	270	511	271	143	151	31	11	5	2511	13	120	826	522	6	58	1891	379	1009	
175283	306	549	276	138	142	37	10	6	2649	14	123	880	353	5	42	2011	394	1064	
175149	267	550	286	147	146	36	12	6	2793	14	127	861	551	8	43	2027	386	1058	
174985	243	570	290	143	164	36	13	5	2934	14	136	856	530	7	46	2082	390	1069	
174771	259	595	307	160	162	39	14	4	3067	14	141	825	642	9	62	2130	406	1130	
174541	306	578	329	191	170	41	15	2	3198	14	148	835	618	8	60	2199	426	1204	
174299	320	632	330	187	166	42	17	1	3369	14	156	832	513	6	55	2274	441	1253	
174080	319	659	331	194	165	41	18	2	3549	14	161	817	507	9	60	2308	452	1275	
173812	348	688	339	191	192	43	20	1	3716	15	168	784	621	12	75	2426	503	1318	
173628	318	691	366	199	199	43	22	1	3880	16	170	758	495	12	59	2531	545	1293	
173438	300	682	388	197	207	40	21	2	4068	16	174	791	623	11	62	2508	551	1284	
173180	327	689	374	213	223	40	20	1	4271	18	177	813	690	7	79	2629	577	1309	
172933	338	697	388	193	239	43	22	3	4475	18	184	809	554	10	74	2798	587	1333	
172694	330	722	385	219	233	42	25	3	4674	19	187	834	521	4	73	2929	603	1353	
172385	378	745	416	226	239	44	25	3	4866	19	187	848	621	8	64	2932	608	1465	
172102	430	754	410	238	243	43	25	3	5069	23	193	856	656	10	69	2965	605	1538	
171887	400	762	414	239	241	44	28	5	5292	23	198	869	530	3	64	3014	601	1527	
171640	365	781	442	246	236	45	30	5	5514	23	206	868	503	14	67	3090	595	1550	
171346	406	805	441	252	236	41	28	6	5735	26	211	868	619	14	91	3205	627	1582	
171037	432	842	432	274	234	45	26	7	5961	28	215	844	596	8	70	3250	631	1654	
170712	449	903	437	272	251	48	25	9	6175	29	223	832	666	12	81	3344	662	1723	
170365	464	946	457	283	281	52	26	7	6390	32	230	844	538	9	86	3415	703	1806	
169972	496	1013	479	300	294	54	27	8	6621	34	235	888	558	18	96	3461	764	1899	
169690	470	976	506	329	308	55	30	10	6879	35	245	915	506	13	79	3504	768	1906	
169393	456	1000	495	331	318	59	28	12	7155	36	250	888	545	14	107	3721	808	1879	
169001	518	1003	538	343	324	60	25	12	7413	38	258	865	693	14	104	3943	852	1959	
168616	574	1020	528	325	322	58	26	12	7743	41	268	891	554	10	105	4118	840	2013	
168243	572	1065	565	320	328	62	25	11	8031	41	270	881	539	12	102	4284	856	2081	
167834	597	1136	574	320	308	65	24	10	8349	42	274	837	594	19	104	4331	857	2167	
167438	596	1181	593	313	329	71	29	11	8649	43	280	847	540	17	103	4524	895	2217	
167148	527	1171	631	318	341	71	34	11	8950	43	288	873	556	13	103	4706	913	2180	
166876	471	1139	671	333	355	70	39	12	9226	43	298	871	561	16	107	4820	945	2133	
166467	512	1149	685	338	338	74	40	15	9569	45	301	825	546	13	120	4897	955	2181	
166048	590	1118	692	370	340	80	40	14	9886	46	309	857	516	8	92	5033	985	2245	
165650	598	1152	664	378	349	75	40	15	10251	47	314	869	613	9	126	5044	981	2275	
165266	575	1215	670	372	335	77	42	14	10598	49	320	866	607	9	106	5016	986	2300	
164847	609	1212	679	392	358	72	44	16	10928	49	327	896	498	12	90	4942	983	2383	
164577	564	1118	730	415	368	77	49	12	11240	51	332	867	669	13	120	5040	1016	2305	
164316	478	1110	737	423	344	84	48	15	11587	54	337	868	534	13	137	5164	1042	2182	
163921	501	1141	719	394	336	89	50	13	11969	56	344	894	644	14	133	5322	1040	2190	
163490	568	1132	715	389	360	86	55	11	12318	58	351	861	646	13	93	5296	1014	2291	
163109	574	1135	727	389	366	82	59	13	12661	59	359	848	544	15	116	5300	1021	2311	
162662	607	1176	719	377	383	90	58	12	13024	62	363	837	598	14	136	5373	1054	2356	
162259	605	1216	695	382	400	95	57	14	13380	65	365	849	508	13	121	5503	1082	2368	
161981	541	1166	707	412	418	87	62	16	13704	67	372	866	640	12	131	5615	1113	2280	
161683	475	1175	702	396	405	86	63	18	14082	68	380	882	648	12	132	5784	1138	2164	
161260	529	1164	704	390	397	89	62	18	14461	73	386	912	583	12	134	5973	1148	2187	
160883	588	1137	711	384	381	93	63	19	14804	76	394	898	660	16	112	5965	1128	2229	
160460	615	1177	738	364	377	98	59	19	15145	81	400	878	566	14	114	5945	1144	2284	
160037	650	1190	736	364	380	99	51	21	15514	89	402	878	558	9	109	5765	1105	2365	
159629	652	1204	752	352	376	99	49	21	15899	94	406	858	617	12	112	5832	1108	2376	
159309	585	1185	768	377	381	99	55	20	16245	94	415	822	510	7	101	5830	1096	2354	
159031	510	1154	791	374	398	108	52	18	16577	99	421	825	545	16	123	5733	1121	2266	
158654	543	1126	786	370	405	114	53	15	16939	100	428	863	663	16	129	5754	1139	2258	
158263	561	1147	770	354	401	111	49	18	17321	104	434	834	561	19	122	5699	1111	2282	
157879	577	1168	755	325	404	113	49	16	17705	106	436	839	568	13	114	5586	1082	2309	
157506	584	1176	756	341	392	109	53	17	18049	107	443	861	562	16	128	5631	1124	2287	
157144	571	1158	750	374	389	108	51	21	18414	107	446	860	527	11	96	5626	1111	2290	
156899	488	1137	759	363	393	103	51	21	18760	109	450	882	542	14	114	5638	1100	2194	
156657	442	1055	742	365	396	101	48	20	19142	112	453	866	663	17	86	5598	1053	2096	
156347	450	1022	730	367	392	96	44	20	19489	118	458	865	562	9	137	5572	1068	2033	
155995	476	1034	725	345	364	97	40	22	19849	121	465	898	661	12	94	5571	1048	2033	
155662	496	1037	706	323	344	89	43	22	20219	123	469	856	657	11	95	5436	1011	2027	
155363	506	988	694	332	334	85	41	18	20568	128	476	832	544	11	106	5339	965	2015	
155011	513	1018	713	321	322	88	39	17	20880	131	480	838	518	19	92	5194	940	2074	
154750	484	975	684	340	339	81	36	19	21208	133	484	835	514	13	84	5079	900	2039	
154519	444	935	680	343	330	83	35	19	21520	135	490	815	548	9	111	4915	916	1934	
154177	466	955	654	330	345	86	34	18	21835	136	497	842	578	7	113	4940	957	1913	
153843	489	979	611	316	340	84	30	21	22183	138	499	865	574	15	92	4829	927	1922	
153508	505	1005	613	309	334	82	29	18	22489	139	502	844	533	11	87	4888	925	1952	
153171	484	1047	622	319	309	79	35	17	22801	140	509	890	499	8	100	4805	912	1983	
152836	517	1025	630	321	308	81	37	15	23109	141	513	883	682	9	81	4731	890	2029	
152604	439	1037	632	306	310	78	35	16	23412	146	518	871	516	11	74	4713	829	2008	
152357	399	998	644	317	298	79	36	17	23717	146	525	855	616	16	92	4649	833	1938	
152044	399	986	641	322	306	79	37	18	24023	147	531	861	727	9	123	4714	871	1899	
151706	468	915	641	347	298	73	41	17	24340	149	538	850	643	10	92	4790	873	1910	
151403	486	903	636	344	318	63	36	16	24636	151	541	839	691	11	95	4650	852	1934	
151086	468	947	623	336	317	64	33	15	24942	153	549	857	676	9	91	4550	854	1934	
150778	453	980	622	321	329	61	35	12	25235	154	553	851	596	8	98	4534	866	1935	
150542	415	951	623	318	313	68	32	13	25540	157	561	866	529	11	95	4607	872	1848	
150349	351	913	599	300	315	67	28	12	25868	161	570	882	601	5	96	4518	850	1723	
150042	364	898	574	313	319	69	30	9	26179	161	575	869	664	12	105	4652	886	1681	
149776	399	875	529	284	305	75	34	9	26507	161	579	856	656	10	92	4772	858	1643	
149500	389	877	546	273	299	75	36	10	26780	162	586	862	504	7	79	4743	834	1661	
149197	416	837	551	280	295	67	31	11	27092	168	588	864	554	12	92	4583	805	1672	
148915	411	872	526	284	294	63	30	10	27369	170	589	881	621	5	94	4567	810	1670	
148718	374	842	526	277	275	67	28	9	27652	172	593	870	549	5	78	4537	781	1608	
148552	317	798	510	285	286	70	29	10	27906	172	598	861	490	8	80	4532	795	1500	
148306	331	766	529	271	273	77	27	11	28166	175	601	852	531	5	96	4488	805	1469	
148032	364	768	533	261	267	77	24	11	28410	177	609	870	555	15	88	4392	807	1487	
147764	375	774	521	268	261	76	25	10	28662	178	619	881	645	8	78	4323	818	1482	
147527	390	775	503	255	245	71	25	12	28927	180	623	889	555	8	67	4089	785	1479	
147308	390	753	497	256	250	74	25	9	29158	181	632	845	624	6	68	4015	778	1467	
147129	342	719	502	237	252	68	26	9	29426	184	639	850	621	10	66	3953	729	1417	
146950	300	725	495	238	240	67	23	11	29653	186	645	835	546	6	74	3807	724	1364	
146748	292	699	480	244	244	69	23	12	29888	186	648	859	509	13	61	3676	665	1386	
146545	305	658	451	248	245	64	23	11	30143	188	652	843	528	6	82	3665	660	1334	
146340	316	642	453	235	246	64	26	8	30362	188	653	874	533	10	82	3609	659	1323	
146131	324	656	433	209	232	62	27	7	30604	188	660	868	582	4	69	3489	619	1324	
145923	325	662	421	206	229	62	30	6	30820	188	661	852	510	5	60	3363	597	1338	
145771	285	631	427	207	225	58	29	5	31040	191	664	852	541	7	56	3266	555	1307	
145639	245	587	437	202	212	62	27	5	31252	195	670	857	678	6	80	3372	560	1212	
145435	263	603	415	186	207	62	27	5	31460	196	674	925	642	11	58	3377	565	1198	
145247	293	565	389	182	207	53	28	6	31687	196	680	908	552	5	63	3416	568	1149	
145081	295	543	389	170	220	54	28	6	31867	197	683	897	496	5	46	3311	568	1131	
