S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178625	138	185	96	63	60	5	5	0	356	0	0	216	0	0	0	80	80	472	
178547	100	252	96	66	54	7	4	1	404	0	2	343	711	4	102	143	89	490	
178437	123	272	99	71	58	6	5	1	457	0	4	440	222	2	24	221	102	532	
178350	131	269	117	66	61	8	4	2	519	0	6	537	664	1	19	283	102	554	
178246	130	291	134	67	69	8	5	2	574	0	7	602	592	2	28	382	123	581	
178124	146	309	125	84	74	8	8	2	641	0	12	650	663	2	24	467	135	619	
178031	153	297	138	90	88	10	10	2	702	0	12	713	477	6	31	627	166	620	
177943	136	305	155	81	93	11	13	2	779	0	15	739	648	10	36	822	199	595	
177796	165	311	174	85	95	13	10	2	859	3	20	758	600	4	32	1000	219	634	
177685	168	331	164	98	100	14	12	1	933	3	24	812	480	2	31	1139	240	647	
177540	166	357	179	100	105	15	11	2	1024	3	31	807	516	4	34	1216	246	687	
177393	189	375	189	93	113	18	12	2	1113	3	33	813	628	3	45	1319	281	708	
177225	205	415	189	101	115	17	13	3	1210	4	36	819	589	3	40	1384	291	764	
177109	205	421	173	106	115	19	16	3	1322	4	40	853	576	5	37	1541	304	751	
176990	189	422	196	118	112	18	16	3	1417	4	48	852	610	5	38	1593	303	768	
176838	196	423	221	115	117	17	16	2	1532	4	52	859	505	4	39	1681	304	801	
176655	216	451	233	124	113	19	17	2	1644	4	55	836	652	4	40	1696	300	873	
176446	267	475	249	106	117	19	16	3	1771	6	58	859	630	6	31	1652	298	951	
176261	295	479	257	124	123	19	18	2	1886	6	63	845	613	8	42	1669	318	997	
176063	290	528	259	128	127	16	17	4	2025	7	69	882	669	7	39	1730	323	1042	
175914	265	533	287	138	130	16	17	4	2146	8	75	882	598	6	47	1804	351	1035	
175778	245	517	303	151	138	18	14	4	2274	12	79	896	540	6	47	1815	354	1032	
175540	283	555	301	149	153	18	15	4	2419	12	84	895	520	5	55	1900	390	1084	
175298	313	593	319	149	150	20	14	4	2570	13	90	876	499	2	67	1992	420	1138	
175089	331	599	324	152	168	22	18	4	2714	14	98	898	614	3	43	2052	423	1191	
174857	333	648	311	159	172	27	20	3	2887	14	102	888	532	9	60	2145	431	1239	
174598	341	690	327	189	185	25	17	6	3034	14	107	872	612	12	54	2211	444	1330	
174401	353	665	366	180	195	27	19	5	3191	14	117	904	621	8	65	2335	492	1313	
174207	323	660	404	193	206	28	17	4	3355	16	120	899	554	6	61	2452	507	1324	
173953	348	685	398	199	212	30	18	5	3543	16	126	871	668	16	85	2612	531	1359	
173681	387	684	409	213	214	35	20	5	3736	17	132	871	599	11	56	2728	538	1424	
173436	378	719	430	227	215	33	20	9	3914	17	135	873	552	7	70	2773	556	1466	
173107	414	782	437	238	209	34	19	9	4127	18	139	859	502	13	65	2851	568	1565	
172782	455	815	449	247	231	33	22	9	4326	20	144	889	536	10	69	2862	577	1675	
172541	440	810	473	254	235	35	23	8	4542	22	150	862	647	9	78	3059	594	1676	
172283	415	820	500	272	261	35	24	7	4734	24	158	876	510	10	91	3204	648	1679	
171938	434	882	525	278	265	36	24	7	4957	25	162	863	663	15	99	3408	697	1747	
171611	472	879	543	293	280	38	29	5	5192	26	165	842	613	12	85	3495	725	1809	
171272	502	918	530	312	287	39	28	6	5440	29	170	844	546	13	84	3598	754	1862	
170894	533	985	557	304	299	41	29	7	5680	30	174	845	709	12	87	3605	781	1967	
170485	597	1028	563	316	297	46	29	7	5952	32	181	856	554	15	79	3726	792	2084	
170188	557	1033	590	318	317	45	32	7	6224	33	189	829	561	9	85	3839	815	2077	
169901	487	1078	579	334	324	51	30	9	6512	35	193	838	686	14	103	3994	864	2019	
169487	525	1120	609	336	347	55	31	10	6780	35	198	861	613	17	109	4138	906	2117	
169044	611	1119	653	349	329	50	33	13	7098	35	199	888	647	11	95	4267	893	2251	
168594	655	1204	641	350	331	53	36	14	7412	37	206	877	530	9	98	4254	900	2370	
168178	630	1252	676	360	360	59	34	15	7719	38	212	890	648	15	101	4290	912	2459	
167712	653	1311	697	382	384	57	37	15	8032	39	214	886	666	14	126	4482	972	2549	
167351	619	1295	742	393	375	65	40	17	8371	42	223	875	612	14	105	4661	992	2537	
167008	559	1305	756	407	379	71	39	17	8718	45	229	861	543	20	126	4838	1025	2491	
