S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178564	167	186	84	58	70	13	5	0	386	0	0	210	0	0	0	95	95	488	
178485	131	244	90	51	65	13	6	0	445	0	3	360	646	10	128	201	99	501	
178371	147	274	100	56	65	14	6	0	492	0	8	475	543	3	25	288	113	549	
178272	159	287	102	64	68	17	5	1	548	0	10	564	557	4	19	370	129	573	
178136	168	312	128	70	74	18	6	1	604	0	16	613	529	2	21	466	144	632	
178015	179	328	154	77	86	18	5	3	650	0	18	675	626	3	33	596	170	677	
177915	166	354	164	72	89	21	7	3	719	0	23	710	523	5	35	760	199	674	
177817	152	366	180	80	94	20	6	4	789	0	25	750	539	2	28	900	225	673	
177684	167	381	181	86	99	22	6	5	874	0	28	794	225	1	30	1051	255	687	
177551	165	394	188	103	107	21	6	5	958	0	35	829	597	6	28	1214	274	710	
177392	189	410	207	98	107	24	8	6	1054	0	38	821	532	6	37	1305	286	757	
177227	209	434	224	95	105	24	9	6	1157	0	43	857	522	2	32	1312	307	793	
177080	224	400	236	124	117	25	8	6	1257	0	56	885	534	5	35	1347	320	814	
176954	221	401	242	124	124	26	10	5	1368	0	58	869	666	5	34	1417	320	828	
176854	188	395	258	129	126	27	12	5	1477	0	62	909	616	8	47	1562	359	776	
176703	186	427	255	126	130	27	13	5	1592	0	69	935	500	8	45	1634	384	780	
176552	199	421	262	135	138	28	13	6	1706	1	72	930	514	4	33	1654	379	817	
176390	216	438	251	138	138	30	14	6	1836	1	75	931	597	6	46	1710	391	834	
176208	243	441	269	134	143	28	12	5	1956	4	90	923	616	2	44	1762	406	864	
176034	258	471	255	146	138	30	11	6	2087	4	93	890	503	7	36	1798	394	915	
175909	233	462	255	146	144	27	14	6	2234	4	99	890	526	2	38	1822	387	894	
175775	217	473	253	151	148	26	16	7	2358	4	105	874	219	5	45	1927	414	870	
175592	235	488	271	149	155	25	18	7	2477	4	112	861	532	8	38	1990	420	921	
175407	247	484	289	157	159	27	18	8	2615	4	118	860	572	3	45	2068	436	945	
175209	262	487	299	172	152	23	18	8	2771	4	128	863	532	7	54	2108	424	989	
174978	279	541	304	176	145	23	17	8	2922	4	136	897	515	9	46	2127	405	1080	
174782	306	544	318	170	143	25	14	10	3078	5	138	906	652	6	49	2182	416	1104	
174602	287	573	337	167	156	25	17	11	3210	5	143	905	559	8	50	2245	440	1122	
174429	259	606	351	174	159	27	18	9	3347	5	149	878	682	10	53	2302	466	1128	
174190	290	629	360	157	165	26	19	10	3530	5	152	934	538	5	68	2420	485	1161	
173977	321	617	384	146	177	26	20	10	3692	7	156	899	532	7	51	2495	495	1196	
173751	332	640	384	162	170	24	21	9	3870	10	160	893	648	10	53	2481	506	1227	
173497	353	659	386	174	192	26	22	8	4041	10	165	869	654	6	52	2510	499	1313	
173242	372	702	372	184	204	27	23	9	4216	10	172	869	243	10	71	2632	530	1354	
173039	347	731	359	183	202	27	24	8	4426	12	175	880	683	4	66	2702	531	1342	
