S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178574	154	188	87	65	55	9	2	0	396	3	0	237	0	0	0	80	80	480	
178473	140	257	87	59	56	9	1	0	445	4	2	383	655	4	99	152	86	523	
178365	163	275	104	59	59	7	2	0	488	4	7	479	330	1	19	205	92	577	
178269	149	310	114	67	63	7	1	1	539	4	9	519	691	2	19	265	101	610	
178152	148	348	126	75	64	9	1	0	594	4	12	609	566	4	24	357	114	657	
178039	163	345	153	78	72	13	3	0	648	4	15	675	558	3	26	459	152	675	
177942	153	330	179	100	86	16	5	0	696	4	22	693	201	2	26	590	176	693	
177853	149	308	188	111	84	23	5	0	781	4	27	713	668	6	40	744	210	658	
177722	158	308	194	110	104	27	8	0	863	4	35	763	537	3	38	940	260	649	
177606	163	321	198	109	107	29	7	0	948	5	40	747	333	4	40	1176	311	623	
177471	181	325	215	105	97	30	8	0	1049	5	47	756	547	5	38	1290	313	648	
177328	188	365	198	103	91	27	10	0	1167	5	51	767	531	7	26	1308	303	679	
177180	203	381	205	101	87	28	11	0	1275	5	57	774	210	5	31	1409	315	701	
177086	181	367	222	110	96	29	13	0	1364	5	60	807	322	4	19	1501	313	705	
176990	164	368	225	107	107	30	16	0	1459	5	62	825	553	2	38	1583	340	677	
176840	170	407	212	113	106	27	17	0	1570	6	65	849	666	6	48	1678	349	703	
176719	185	384	210	120	104	28	16	1	1689	7	70	825	613	4	30	1710	328	719	
176557	204	404	217	109	117	32	13	3	1795	8	74	855	560	6	36	1721	342	754	
176382	223	423	226	114	124	36	12	3	1901	9	80	893	660	0	30	1664	314	844	
176191	257	444	223	120	130	33	13	4	2025	9	84	875	616	4	42	1609	315	905	
176070	236	438	244	131	132	29	12	4	2139	10	88	848	499	2	55	1652	326	896	
175923	232	442	261	139	135	28	14	3	2250	11	95	859	512	3	41	1726	355	896	
175736	241	477	258	144	143	30	16	3	2375	11	99	872	569	8	48	1809	367	942	
175538	262	507	253	150	150	33	16	4	2504	12	104	849	535	4	54	1978	401	970	
175344	283	519	263	145	156	31	18	4	2648	12	110	888	598	6	55	2007	395	1020	
175109	317	547	286	149	151	30	20	5	2794	12	113	854	370	5	48	1994	391	1109	
174905	326	557	295	177	171	28	19	7	2918	13	117	846	578	1	46	2070	402	1171	
174708	317	605	299	180	176	26	19	6	3059	15	123	842	566	5	52	2136	418	1204	
174512	306	619	316	194	182	27	19	5	3208	17	128	859	538	3	57	2269	442	1221	
174265	319	642	339	207	174	28	22	5	3381	17	134	854	692	13	73	2422	469	1262	
174020	363	661	356	193	174	29	28	5	3550	19	135	843	651	11	58	2452	473	1331	
