S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178539	168	204	94	61	64	10	9	0	382	2	0	232	0	0	0	93	93	517	
178444	122	289	91	63	69	11	10	0	430	2	2	380	633	6	121	175	106	549	
178326	157	264	115	72	89	13	10	0	480	2	5	480	531	6	28	288	131	589	
178199	172	308	125	66	81	15	10	0	548	2	7	558	540	4	36	412	148	629	
178116	164	319	130	76	86	15	13	1	603	2	8	608	670	5	25	525	166	637	
178040	150	306	158	78	84	16	13	1	674	3	10	648	557	5	37	674	201	604	
177922	168	311	165	87	86	19	14	1	741	3	16	726	608	3	26	801	213	637	
177792	183	313	170	93	97	21	14	0	823	4	23	732	651	6	29	960	240	651	
177686	181	310	180	103	107	22	13	1	895	4	31	748	540	5	42	1125	284	632	
177550	172	362	178	105	96	19	11	1	999	5	35	775	336	1	21	1257	281	662	
177395	200	378	187	99	106	19	10	2	1092	5	40	809	527	2	28	1322	277	722	
177292	190	383	202	101	96	20	8	3	1185	6	47	800	527	6	24	1332	277	723	
177173	168	390	228	104	100	17	8	3	1281	6	55	804	540	4	32	1349	272	743	
177041	175	404	226	111	112	17	9	3	1372	6	57	819	558	3	34	1353	284	770	
176878	199	406	235	120	110	17	10	3	1482	6	67	849	503	5	45	1469	313	784	
176695	234	417	243	122	111	18	14	4	1594	6	75	829	635	8	34	1497	331	828	
176520	256	428	271	124	116	16	15	4	1700	6	77	865	655	6	34	1557	337	889	
176336	262	480	267	118	120	16	14	5	1826	7	82	869	535	5	31	1574	335	942	
176190	257	497	284	115	125	16	14	5	1938	8	84	870	491	6	43	1597	361	947	
176048	248	473	322	120	143	18	13	6	2047	8	87	883	522	14	30	1681	365	972	
175825	276	510	323	123	144	14	12	5	2202	8	91	884	504	8	60	1761	394	1008	
175663	266	523	326	141	147	15	11	5	2331	9	96	846	625	6	37	1810	406	1023	
175456	291	546	320	139	166	15	11	3	2474	10	102	857	523	9	43	1889	426	1062	
175239	312	555	318	164	170	19	10	3	2621	11	111	849	602	7	46	1944	428	1120	
174994	360	564	330	153	177	23	12	2	2788	11	119	862	663	6	54	1936	428	1191	
174829	327	586	338	148	175	24	13	2	2954	11	126	832	569	7	64	2028	438	1173	
174656	309	571	365	154	185	26	14	3	3107	11	132	847	520	6	46	2125	436	1188	
174439	325	603	362	166	178	30	14	4	3268	11	133	858	636	9	68	2255	455	1223	
174199	350	605	380	168	189	35	12	4	3437	14	140	879	649	7	57	2321	479	1260	
173958	345	677	368	161	192	33	14	4	3621	14	146	878	548	8	71	2519	508	1282	
173685	339	743	382	168	216	35	14	4	3782	15	150	880	642	6	50	2496	508	1389	
173400	380	761	403	185	203	36	16	3	3978	15	153	917	495	11	66	2688	535	1449	
173204	340	772	435	217	192	37	19	3	4138	16	160	900	630	12	54	2807	558	1454	
172980	318	783	428	228	198	37	17	4	4352	18	170	872	551	13	72	2922	576	1433	
172669	365	785	452	236	207	38	17	4	4566	19	175	847	631	9	72	2961	590	1510	
172364	430	768	472	254	207	40	17	6	4775	19	181	851	580	8	65	2968	569	1619	
172042	444	828	465	260	213	42	18	4	5012	19	186	859	502	15	70	3131	592	1678	
171706	479	854	458	273	228	42	20	4	5258	20	191	843	475	8	76	3166	602	1752	
171383	481	887	500	266	245	44	23	4	5485	20	195	858	514	7	84	3255	627	1819	
171119	458	901	495	269	255	53	23	5	5736	22	197	893	548	8	95	3263	622	1832	
170840	425	924	496	285	278	50	22	4	5977	25	207	869	644	7	89	3505	670	1810	
170499	458	960	498	276	285	52	21	3	6242	28	211	869	575	10	104	3634	735	1815	
170144	487	985	510	288	284	57	26	3	6503	28	218	894	558	10	84	3789	774	1863	
169750	517	1036	552	297	280	58	24	4	6757	32	226	867	518	3	84	3818	800	1964	
169330	569	1086	586	301	301	61	25	7	7007	33	227	880	614	9	95	3990	805	2124	
168920	585	1157	599	305	311	61	26	8	7290	35	236	888	642	11	102	4132	842	2202	
168592	547	1153	611	332	324	61	29	9	7594	36	245	893	538	15	91	4269	872	2185	
168265	510	1153	624	353	349	61	28	8	7891	38	253	867	537	10	117	4376	911	2167	
167800	564	1203	659	370	357	64	28	7	8183	40	258	859	630	15	144	4624	996	2249	
167359	642	1195	671	378	369	66	25	9	8512	43	264	876	681	17	121	4692	1027	2319	
166896	662	1249	680	378	392	73	31	9	8850	43	270	837	653	16	107	4869	1052	2413	
166408	668	1333	699	379	409	72	29	8	9207	46	275	839	646	18	126	4970	1050	2539	
165911	709	1383	694	425	413	68	28	7	9565	50	280	851	621	22	126	5145	1042	2678	
165523	688	1405	729	396	431	69	29	10	9920	50	283	826	675	14	131	5418	1131	2616	
165129	659	1367	799	422	429	71	31	11	10279	50	286	830	667	19	124	5548	1140	2638	
164556	713	1472	785	432	443	68	31	12	10680	51	290	837	658	20	153	5692	1176	2768	
164006	784	1506	811	444	445	70	31	11	11076	53	296	801	660	22	138	5881	1215	2876	
163454	819	1568	837	458	469	70	30	13	11460	53	302	820	580	19	130	5929	1256	2995	
162909	832	1600	864	470	483	78	27	18	11887	57	308	839	664	21	159	5942	1266	3088	
162310	835	1671	931	492	476	82	32	17	12316	58	313	853	576	21	142	6096	1286	3233	
161855	802	1671	926	486	485	84	39	17	12794	58	316	845	644	13	137	6259	1300	3193	
161455	733	1596	976	505	492	89	40	15	13245	60	327	851	671	22	144	6446	1297	3134	
160810	814	1654	987	503	503	94	45	18	13715	61	329	864	643	27	189	6641	1342	3258	
160199	895	1689	1026	481	511	95	49	16	14175	63	334	856	611	28	159	6773	1387	3359	
159604	926	1726	1015	509	508	97	44	17	14685	67	335	869	595	18	147	6867	1368	3457	
158999	915	1777	1032	531	515	97	43	16	15196	71	341	862	701	13	171	6923	1352	3558	
158352	927	1858	1028	532	539	106	43	15	15716	73	344	851	679	30	176	7036	1385	3648	
157868	869	1807	1078	542	559	107	43	17	16216	75	352	881	680	27	176	7419	1462	3543	
157351	822	1798	1086	554	560	115	41	16	16753	79	358	859	644	22	166	7421	1479	3497	
156730	873	1830	1065	563	573	117	44	15	17283	80	360	899	672	25	184	7543	1500	3565	
156026	968	1865	1110	555	577	108	44	19	17813	81	367	890	673	24	179	7860	1533	3694	
155373	1006	1892	1134	541	602	97	41	20	18368	85	374	887	697	23	179	8026	1567	3746	
154694	1050	1914	1134	601	615	97	44	18	18894	88	384	861	638	21	196	7937	1618	3837	
154023	1051	1987	1133	619	630	100	49	20	19443	88	390	833	666	20	174	8038	1650	3919	
153541	960	1926	1202	600	629	102	50	23	20017	90	393	856	661	23	178	8382	1673	3796	
153063	832	1870	1252	625	636	115	52	23	20579	92	394	852	639	16	203	8640	1704	3678	
152403	860	1912	1229	651	617	118	56	15	21178	94	400	858	674	22	214	8691	1707	3736	
151701	948	1905	1228	632	606	126	52	16	21814	98	407	829	561	11	186	8693	1678	3819	
151023	971	1948	1228	627	595	124	57	15	22432	101	412	829	698	29	203	8806	1696	3854	
150384	962	1995	1242	626	590	120	53	16	23023	104	418	835	678	26	191	8784	1694	3894	
149673	1008	2058	1241	620	603	124	54	17	23608	105	422	827	649	20	176	8741	1683	4025	
149143	929	2007	1245	628	631	128	53	17	24216	107	429	800	656	21	193	8782	1702	3919	
148680	822	1954	1234	631	643	120	54	19	24831	109	436	815	567	16	197	8773	1694	3764	
148045	837	1974	1262	614	623	125	55	23	25427	110	438	829	737	31	223	8942	1745	3745	
147385	924	1919	1288	627	643	119	59	22	25993	110	444	854	677	21	177	8960	1747	3832	
146700	978	1958	1244	638	628	133	64	24	26605	111	450	855	630	26	189	8812	1699	3944	
146037	1005	1997	1232	646	630	134	63	20	27201	115	453	857	574	22	184	8688	1727	3980	
145368	1048	2010	1245	664	612	132	62	22	27796	119	455	867	654	20	197	8752	1742	4031	
144875	983	1968	1266	650	585	135	63	25	28402	122	459	874	687	24	168	8754	1743	3907	
144387	866	1944	1254	678	592	133	63	23	29001	127	465	870	643	16	179	8757	1738	3792	
143747	914	1919	1246	674	597	130	68	23	29614	129	472	844	606	24	216	8850	1721	3827	
143094	975	1902	1247	676	606	130	63	21	30210	135	474	860	638	21	179	8837	1753	3846	
142449	1001	1947	1238	653	624	129	60	21	30795	138	478	866	643	18	167	8776	1757	3895	
141811	986	1994	1248	668	614	124	59	23	31377	142	487	808	574	20	162	8409	1700	3993	
141170	1001	1993	1250	639	616	132	60	23	32007	145	497	808	700	32	188	8457	1666	4025	
140688	914	1952	1266	626	612	133	59	24	32613	148	498	806	638	22	160	8330	1616	3946	
140231	837	1860	1252	633	621	134	61	27	33225	151	501	805	555	16	186	8330	1619	3779	
139587	906	1823	1266	638	609	143	62	25	33812	154	508	776	653	20	230	8433	1677	3770	
139011	919	1818	1210	633	611	146	53	28	34430	161	513	799	686	24	181	8432	1639	3751	
138402	931	1819	1253	603	585	142	60	25	35035	161	517	803	663	21	193	8504	1625	3768	
137803	926	1849	1281	606	555	150	60	21	35596	162	524	813	672	18	183	8335	1645	3782	
137192	938	1882	1280	590	544	152	54	22	36180	169	530	837	614	21	165	8278	1621	3819	
136745	848	1800	1237	606	548	155	60	21	36806	172	535	860	675	25	166	8340	1584	3670	
136298	770	1736	1241	580	560	152	65	24	37390	175	542	856	678	19	182	8497	1618	3486	
135741	754	1761	1208	575	551	156	63	25	37977	177	545	841	624	21	201	8420	1638	3430	
135168	800	1745	1170	562	547	158	67	25	38562	180	549	866	614	28	149	8443	1580	3469	
134635	811	1734	1149	549	536	159	68	31	39128	181	552	880	642	26	155	8317	1526	3480	
134102	814	1733	1131	548	547	143	70	30	39667	186	562	842	639	18	160	7939	1501	3485	
133528	833	1736	1112	566	547	133	68	34	40220	190	566	849	668	28	184	7877	1517	3478	
133132	767	1626	1108	581	565	131	71	34	40756	191	571	838	584	21	156	7793	1475	3374	
132757	689	1569	1089	577	554	127	71	35	41296	193	576	851	657	21	186	7843	1491	3185	
132269	693	1540	1066	565	555	131	70	34	41829	196	585	851	664	28	177	7876	1509	3111	
131799	721	1497	1041	555	544	131	68	33	42355	202	587	849	629	22	175	7893	1519	3038	
131341	733	1454	1033	548	534	129	72	31	42860	205	593	859	525	15	154	7721	1487	3016	
130875	730	1469	997	515	515	135	76	32	43384	206	599	883	550	17	140	7424	1410	3027	
130423	709	1437	978	530	522	129	72	28	43893	211	601	889	558	14	133	7425	1353	3024	
130122	616	1362	1003	511	498	116	67	26	44385	215	612	877	531	16	164	7462	1331	2842	
129810	542	1310	978	485	495	119	64	21	44870	222	617	852	636	15	138	7435	1315	2678	
129430	564	1226	927	487	484	119	67	25	45361	225	618	845	675	21	165	7321	1288	2586	
129027	607	1183	889	465	473	121	66	25	45820	232	625	823	624	20	148	7290	1284	2520	
128675	596	1187	824	483	414	125	67	22	46277	234	629	820	650	16	147	7051	1258	2438	
128364	543	1176	774	471	416	123	62	19	46707	240	638	863	635	14	116	6711	1182	2383	
128037	495	1188	746	439	393	122	58	19	47147	246	643	862	624	14	125	6471	1124	2317	
127774	459	1082	736	430	399	117	57	18	47556	252	653	870	630	9	108	6400	1098	2182	
127555	400	1004	722	408	390	115	55	17	47955	255	657	886	702	10	124	6349	1074	2020	
127304	370	958	695	389	381	117	56	17	48325	259	662	864	718	18	137	6353	1073	1893	
127006	392	910	675	384	367	114	52	19	48685	262	667	891	675	14	119	6159	1046	1848	
126734	417	881	650	348	365	110	53	21	49018	262	674	892	698	11	106	5997	1015	1809	
126444	445	852	610	352	365	114	50	19	49340	264	678	908	526	12	90	5614	962	1826	
126175	440	861	587	319	362	110	43	18	49665	270	683	875	588	8	83	5345	899	1823	
125982	398	839	548	300	322	101	41	15	50029	272	686	871	545	9	94	5113	820	1729	
125797	326	822	522	286	326	98	40	17	50333	273	693	866	536	8	97	5004	784	1636	
