S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178614	174	173	70	63	64	17	6	0	350	2	0	228	0	0	0	97	97	470	
178528	136	240	80	66	71	16	5	0	387	3	1	370	694	5	129	198	113	501	
178433	145	253	89	69	81	15	8	0	434	3	3	488	531	0	22	276	124	536	
178330	153	272	103	71	87	14	8	0	486	3	6	570	223	4	21	363	125	583	
178219	166	293	103	84	84	16	8	0	546	3	11	642	664	4	38	505	157	597	
178122	165	311	106	86	81	18	9	0	617	4	14	729	691	6	25	619	175	601	
178035	144	318	135	87	79	17	9	1	683	4	21	788	565	7	24	745	192	597	
177956	135	300	141	93	85	19	10	1	765	4	24	826	514	2	27	882	211	572	
177854	124	313	158	105	90	18	10	1	829	5	26	823	548	3	26	1018	232	586	
177737	130	308	174	109	104	21	11	1	901	5	32	821	543	1	38	1199	263	594	
177610	168	292	190	105	106	19	10	1	988	6	38	812	477	4	37	1275	265	625	
177488	183	311	192	104	100	18	10	1	1078	6	42	808	505	2	27	1295	274	644	
177358	192	339	197	106	86	19	11	2	1171	6	46	852	518	3	21	1326	273	677	
177254	189	336	207	104	93	20	11	2	1258	7	52	870	517	5	26	1363	273	687	
177162	160	349	210	98	100	19	12	2	1357	8	56	865	513	3	31	1366	262	686	
177007	169	378	213	104	119	19	12	3	1441	8	60	850	609	1	38	1408	289	725	
176894	189	340	245	113	117	20	14	3	1525	8	65	829	628	6	43	1476	316	722	
176746	193	385	231	98	108	20	13	4	1655	8	72	861	522	2	32	1496	304	744	
176616	201	380	251	110	101	19	12	5	1751	9	78	894	570	5	23	1527	296	778	
176456	226	375	255	105	107	22	13	5	1874	10	85	849	499	2	25	1475	275	828	
176323	227	391	240	110	116	24	13	5	1986	11	87	858	511	7	41	1472	302	819	
176193	204	408	246	114	127	23	12	7	2089	11	99	861	530	2	41	1472	310	824	
176024	212	433	241	125	125	24	11	7	2219	11	101	914	636	9	44	1559	325	846	
175835	240	446	251	132	138	23	9	7	2333	13	106	905	640	2	39	1654	335	904	
175652	251	474	234	133	140	21	10	6	2486	14	112	879	632	6	47	1703	339	924	
175480	267	500	235	135	134	22	11	6	2608	15	120	862	545	9	56	1791	365	939	
175297	278	494	249	148	136	24	11	6	2750	16	124	856	661	7	40	1793	357	983	
175131	283	481	259	150	141	29	14	6	2890	16	133	872	498	6	45	1894	376	981	
174969	257	518	276	142	144	32	13	8	3017	16	141	843	582	6	44	1957	395	987	
174740	291	551	291	143	154	33	14	7	3149	17	143	847	505	7	47	2041	414	1063	
174565	304	533	301	159	161	36	11	4	3296	20	143	870	549	9	58	2104	429	1076	
174345	299	590	300	178	155	36	11	4	3450	20	145	829	597	5	44	2222	432	1137	
174126	313	603	327	170	168	36	12	4	3605	20	149	831	605	5	55	2272	455	1174	
173879	345	617	344	194	166	32	12	5	3763	20	156	837	653	4	56	2353	471	1239	
173668	335	675	353	180	154	29	15	5	3938	20	161	866	542	4	51	2395	457	1284	
173473	331	669	362	187	164	35	15	6	4101	22	168	836	216	3	46	2391	456	1307	
173190	361	709	359	201	176	36	14	5	4287	23	172	837	676	9	72	2551	497	1359	
172900	399	731	375	222	186	37	11	5	4463	25	179	862	542	11	51	2618	499	1462	
172600	435	758	414	216	187	41	12	5	4651	26	188	863	670	8	68	2677	524	1539	
172252	479	823	433	235	206	38	11	6	4831	27	192	830	643	13	77	2775	580	1645	
171936	511	847	473	246	217	35	11	6	5027	28	196	868	536	11	63	2778	612	1728	
171708	444	846	497	263	237	41	12	5	5251	29	200	866	530	12	64	2872	622	1718	
171489	372	854	521	266	253	44	13	5	5482	29	205	884	675	12	97	3037	668	1655	
171144	432	874	526	279	243	48	15	4	5727	31	210	915	653	10	101	3189	700	1717	
170830	472	895	528	288	246	45	17	4	5963	32	213	926	548	11	60	3296	691	1800	
170470	506	933	549	286	243	44	18	4	6229	32	219	924	666	10	93	3485	720	1859	
