S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178621	153	177	66	55	58	12	2	0	387	2	0	232	0	0	0	89	89	434	
178548	107	249	70	46	59	13	2	0	437	2	0	375	756	6	115	187	97	449	
178462	113	248	95	56	69	17	2	0	466	2	3	457	536	1	17	250	113	487	
178350	154	237	120	62	76	18	2	0	506	2	6	529	541	1	24	331	128	541	
178254	151	258	121	66	82	15	2	1	569	2	12	581	543	5	23	428	140	555	
178159	146	270	133	67	83	17	3	1	637	2	15	641	657	2	24	514	162	557	
178073	135	287	133	73	81	17	3	1	707	2	21	700	498	6	18	604	168	561	
177998	123	284	144	84	75	19	2	2	777	2	23	722	507	3	23	713	177	554	
177881	141	290	149	86	86	19	2	1	846	2	30	780	547	3	35	902	217	556	
177758	163	293	165	85	81	17	2	0	932	2	35	818	646	4	29	1033	224	582	
177640	175	306	171	84	89	17	2	0	1008	2	39	846	227	2	26	1095	229	615	
177541	164	313	182	88	96	15	5	1	1086	2	40	829	527	9	18	1097	242	621	
177415	176	323	184	86	95	19	5	1	1181	2	46	838	529	5	26	1171	252	636	
177330	159	322	195	89	95	18	3	2	1268	3	49	824	635	8	25	1197	255	626	
177237	130	330	198	93	86	16	4	1	1381	3	54	816	646	1	32	1250	242	615	
177100	167	325	206	92	93	17	5	1	1466	3	58	859	564	8	31	1299	255	650	
176960	184	341	219	99	88	17	5	0	1556	3	61	885	513	6	40	1389	292	661	
176822	207	335	230	98	101	17	7	0	1646	3	67	877	593	6	25	1390	284	711	
176678	210	371	214	96	94	17	6	0	1771	4	72	854	528	3	36	1371	260	748	
176534	229	366	215	100	115	17	6	0	1869	4	78	844	516	5	21	1383	256	792	
176434	201	356	217	104	132	18	7	0	1975	5	84	842	535	11	37	1435	261	774	
176284	202	386	217	101	120	15	7	0	2104	7	90	859	616	3	48	1558	288	760	
176129	198	401	228	119	125	14	7	0	2208	7	97	836	549	8	33	1600	292	800	
175949	224	411	241	105	143	13	7	0	2329	8	103	829	645	6	46	1692	320	824	
175779	240	441	236	104	147	14	7	0	2441	9	115	813	621	7	48	1757	352	837	
175617	235	467	252	102	146	15	7	0	2564	10	118	810	334	1	29	1775	343	881	
175434	251	468	275	125	152	17	7	1	2669	10	124	790	534	8	37	1785	345	950	
175272	248	477	284	127	161	16	9	1	2800	10	128	807	541	6	39	1905	361	961	
175137	233	465	291	142	167	20	8	1	2923	11	135	831	486	2	45	1948	378	948	
174946	233	517	283	145	159	20	10	3	3065	11	141	813	679	7	66	2100	416	951	
174737	255	536	296	154	168	23	12	3	3192	11	146	841	513	6	42	2070	433	1011	
174505	291	559	309	166	180	22	10	6	3324	11	150	832	681	10	51	2094	464	1073	
174257	339	606	312	160	182	25	9	7	3468	11	157	838	532	11	46	2141	484	1149	
174041	349	624	322	175	182	25	13	7	3622	11	162	830	551	11	44	2115	488	1202	
173855	336	632	331	182	189	25	13	8	3782	11	169	849	550	9	72	2171	492	1216	
173650	309	660	352	195	195	29	11	8	3938	13	173	861	534	6	60	2282	498	1253	
173407	324	698	352	206	197	30	13	5	4108	14	179	868	538	11	75	2393	522	1298	
173122	367	703	385	224	208	34	17	5	4267	14	187	864	515	5	56	2501	537	1401	
172853	412	683	390	236	228	37	19	5	4460	14	196	874	651	16	71	2578	543	1462	
172582	417	763	362	244	223	39	16	4	4662	18	203	865	623	9	84	2664	573	1491	
