S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178581	168	166	76	61	59	13	6	0	402	1	0	194	0	0	0	84	84	465	
178500	121	256	71	52	58	14	6	0	452	1	2	387	703	4	117	204	103	475	
178420	112	281	79	69	61	16	6	0	483	1	5	469	642	2	18	270	117	507	
178314	130	297	89	74	58	17	6	0	540	1	7	576	537	5	20	353	118	553	
178202	150	300	112	85	69	18	6	0	581	1	9	630	338	2	25	463	137	603	
178090	164	320	124	82	69	19	7	0	646	1	11	671	713	4	32	592	169	616	
177987	171	306	139	88	83	19	7	0	714	1	18	710	488	7	21	711	193	620	
177901	154	304	144	97	86	19	6	0	796	2	24	723	628	5	33	875	231	579	
177784	159	323	154	100	87	22	8	1	865	2	28	731	685	7	39	1036	267	586	
177688	152	318	173	100	98	23	9	1	938	2	31	763	594	6	27	1176	284	589	
177559	148	344	180	109	100	23	9	1	1018	3	39	774	508	4	31	1244	278	635	
177429	167	344	181	111	114	22	7	1	1112	5	40	824	516	3	23	1192	261	685	
177301	183	348	188	110	115	22	8	1	1202	6	49	835	537	2	40	1292	287	687	
177185	173	357	196	116	112	21	10	0	1298	7	58	858	494	6	29	1336	288	697	
177082	159	359	200	118	112	18	10	1	1404	7	63	873	641	3	31	1368	292	684	
176932	179	376	202	121	109	19	12	1	1507	8	67	878	655	8	42	1422	314	704	
176787	197	388	210	114	111	14	14	2	1619	8	69	877	565	7	33	1443	315	733	
176636	195	409	227	116	118	15	14	1	1716	9	77	872	626	3	32	1453	317	777	
176456	232	424	228	128	120	12	12	2	1830	10	79	871	500	5	25	1438	316	840	
176296	240	449	247	124	109	11	14	2	1944	10	87	874	215	6	37	1489	316	878	
176184	199	452	269	122	109	14	15	2	2066	10	91	898	349	4	30	1507	317	863	
176038	204	432	275	139	123	14	14	4	2179	11	100	867	702	3	44	1566	333	868	
