S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178597	154	178	74	64	68	7	4	0	384	3	0	236	0	0	0	87	87	462	
178514	135	231	79	65	64	7	4	0	430	3	1	378	657	5	112	178	101	484	
178423	130	264	87	66	65	9	5	0	478	3	3	492	566	2	18	242	102	524	
178339	127	273	105	64	71	11	5	0	529	3	6	547	647	3	20	315	114	542	
178240	134	283	119	74	75	13	5	0	579	3	8	576	717	5	31	444	145	558	
178168	139	251	134	81	90	14	5	0	637	3	11	636	582	1	28	591	183	531	
178038	152	306	133	84	84	15	7	0	697	3	14	708	606	4	28	719	205	576	
177929	153	312	139	89	93	16	8	0	770	3	21	724	482	4	26	818	228	582	
177817	163	314	154	91	100	19	8	0	840	3	24	740	626	2	31	982	254	595	
177705	168	324	156	96	93	20	7	0	933	4	27	736	506	3	24	1131	262	602	
177592	170	333	167	95	90	21	9	0	1020	5	31	788	551	5	29	1199	266	619	
177509	153	319	188	96	97	21	11	0	1103	5	31	785	648	3	30	1241	274	611	
177414	145	313	192	113	93	19	9	2	1188	5	40	805	631	6	35	1322	297	587	
177299	168	297	196	115	97	19	11	2	1281	5	43	836	519	6	24	1370	291	612	
177170	178	328	185	110	94	21	12	1	1379	6	49	837	241	2	28	1336	283	645	
177037	176	358	197	107	101	20	13	1	1462	7	54	795	490	6	43	1370	295	677	
176902	182	357	228	113	102	19	14	1	1547	7	61	809	220	2	35	1419	301	714	
176746	212	366	231	112	103	23	15	2	1650	7	66	837	549	4	24	1444	290	772	
176640	203	384	217	107	105	19	14	1	1766	9	68	848	209	1	31	1459	280	769	
176526	173	406	205	110	107	23	12	2	1889	10	70	852	665	7	29	1494	277	759	
176350	186	443	200	133	108	20	13	2	1992	10	76	852	227	2	42	1556	299	804	
176178	218	435	222	141	120	21	12	3	2092	11	80	816	674	6	36	1592	319	850	
175993	251	451	233	142	121	26	13	3	2204	12	84	825	595	5	42	1626	322	915	
175807	276	464	257	146	123	23	13	3	2321	13	87	855	651	2	53	1747	363	939	
175595	312	477	264	145	130	27	11	3	2459	15	95	826	343	6	44	1839	361	1005	
175425	298	497	284	151	130	31	12	3	2585	15	102	827	487	5	47	1840	366	1037	
175273	263	521	275	154	139	28	13	3	2741	17	106	825	365	5	55	1904	388	1005	
175062	296	533	294	163	134	28	14	4	2877	17	111	826	254	1	54	2052	414	1048	
174836	332	550	299	185	147	28	14	2	3006	19	115	867	702	12	38	2055	429	1126	
174614	331	591	309	187	153	27	15	2	3165	19	120	854	637	6	47	2153	443	1170	
174392	337	617	330	208	171	29	14	2	3287	20	126	885	541	6	60	2206	482	1224	
174161	343	662	335	194	169	29	12	3	3474	20	131	853	546	7	58	2283	481	1263	
173973	334	657	349	204	172	34	15	3	3634	20	138	855	535	3	49	2344	483	1282	
173764	322	645	385	222	193	34	17	2	3788	20	141	870	546	11	67	2408	506	1312	
173514	337	673	387	221	203	38	12	3	3973	24	148	907	538	10	85	2584	541	1330	
173227	392	676	397	219	217	40	14	3	4172	24	152	869	511	9	70	2665	563	1392	
172961	430	677	412	229	225	42	16	4	4356	24	157	850	562	7	63	2729	585	1446	
172691	421	725	434	228	228	46	16	4	4557	25	158	849	473	8	74	2834	603	1495	
172397	459	759	424	213	254	46	14	7	4769	27	164	843	605	8	73	3045	641	1528	
172171	419	788	452	196	252	49	14	6	4985	28	173	839	538	7	58	3139	621	1549	
171958	380	774	470	217	264	52	19	5	5189	28	177	832	577	10	66	3215	641	1535	
171658	417	790	482	225	247	54	16	6	5423	31	184	861	507	8	97	3351	658	1573	
171378	433	809	481	240	246	52	21	4	5649	31	189	837	618	5	66	3389	662	1620	
171053	459	852	472	258	253	50	24	5	5881	32	194	857	564	7	84	3465	664	1704	
170711	472	924	479	249	256	55	21	6	6121	36	203	880	608	9	102	3482	661	1795	
170339	507	984	507	238	255	57	22	7	6375	36	206	833	516	9	84	3559	678	1892	
170070	497	948	519	261	291	59	22	8	6607	39	212	858	546	14	74	3645	693	1904	
