S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178579	156	164	91	54	66	9	6	0	404	4	0	215	0	0	0	83	83	463	
178497	117	240	98	51	50	10	5	0	458	5	2	346	677	3	119	194	102	469	
178419	117	255	104	51	50	10	6	0	514	5	2	450	526	3	15	259	109	484	
178334	127	257	116	56	52	8	6	1	566	5	5	547	561	4	13	324	106	516	
178252	124	271	119	62	58	8	6	1	621	5	6	577	520	2	25	416	134	514	
178165	116	281	124	69	62	11	7	1	680	5	12	674	528	6	25	524	151	519	
178063	132	268	138	84	60	14	9	1	743	5	16	726	585	6	30	659	181	524	
177966	134	273	140	78	69	15	9	1	816	5	27	730	540	4	19	762	187	531	
177867	126	271	164	85	80	15	9	2	876	5	33	744	504	4	28	876	217	533	
177760	144	276	165	91	69	15	9	2	958	5	39	781	484	0	25	999	219	550	
177636	159	279	165	100	86	15	9	3	1032	5	44	793	544	4	22	1030	222	591	
177549	167	285	148	107	85	14	10	3	1113	5	47	800	326	6	26	1029	246	570	
177463	147	295	161	121	82	17	11	2	1179	5	50	833	535	4	35	1124	279	555	
177343	157	299	158	139	82	16	14	2	1261	5	57	833	521	6	32	1212	293	572	
177222	171	306	160	118	97	16	14	2	1360	6	61	843	500	3	29	1278	309	573	
177093	188	309	160	124	99	15	15	2	1456	7	65	855	557	1	35	1289	312	598	
176960	190	335	167	124	100	15	13	3	1548	8	70	881	606	3	33	1326	310	634	
176840	183	365	192	122	95	17	13	3	1623	8	72	868	536	4	27	1394	319	668	
176745	166	361	188	127	88	19	11	4	1735	10	79	855	561	7	25	1417	300	660	
176658	150	340	204	131	82	18	11	6	1840	10	83	896	541	4	30	1434	275	661	
176519	173	355	197	122	82	17	10	7	1950	13	88	895	676	5	41	1484	272	684	
176375	205	347	203	126	88	17	10	8	2048	13	93	882	544	0	31	1473	261	735	
176217	212	395	216	122	87	16	9	7	2139	15	98	896	540	5	32	1465	257	800	
176039	234	435	213	128	98	16	11	6	2238	15	100	888	198	2	22	1447	266	869	
175850	246	464	227	132	117	16	12	7	2341	15	106	908	537	5	53	1465	284	930	
175715	240	452	248	129	130	19	10	7	2453	17	113	883	657	8	56	1537	306	922	
175563	213	468	253	138	150	18	9	7	2575	18	121	886	635	6	44	1599	335	914	
175364	258	482	255	133	167	21	9	9	2692	19	124	896	634	9	57	1705	369	956	
175148	285	537	249	144	164	23	9	8	2816	19	131	902	589	8	55	1812	385	1026	
174943	297	553	260	143	172	23	12	8	2967	20	135	890	647	7	43	1872	384	1076	
174708	310	580	279	159	200	24	10	8	3090	22	143	888	517	11	53	1935	406	1156	
174465	301	650	301	175	207	26	13	6	3221	22	146	900	594	15	60	2098	456	1217	
174286	278	653	312	187	208	32	13	4	3390	23	147	908	638	7	49	2222	489	1194	
174082	287	665	325	200	198	32	16	4	3551	24	149	929	626	10	64	2390	511	1212	
173830	313	673	329	209	210	36	19	5	3726	24	159	907	536	5	66	2451	530	1259	
173593	344	652	343	233	228	35	21	3	3888	27	166	880	666	9	61	2460	554	1302	
173345	366	673	348	238	246	34	22	4	4062	27	168	890	584	8	86	2645	612	1315	
173084	359	724	357	237	236	38	24	3	4266	28	177	894	623	6	69	2635	588	1387	
172818	378	769	369	231	251	39	28	3	4440	28	179	914	645	5	77	2775	630	1435	
172605	354	781	383	243	258	39	31	4	4623	29	183	892	530	11	75	2958	667	1422	
172394	356	763	396	237	243	39	33	4	4853	30	185	901	271	8	72	3030	669	1398	
172103	400	765	400	240	254	41	31	6	5067	35	191	880	630	14	68	3071	652	1479	
171818	413	810	427	241	245	45	31	7	5266	36	194	871	517	5	81	3224	694	1518	
171510	438	848	437	247	264	46	30	8	5470	37	198	850	623	10	61	3271	707	1603	
171201	474	868	452	244	280	47	29	7	5689	38	204	812	682	6	76	3319	699	1695	
170830	501	921	465	263	288	53	29	8	5925	41	209	860	535	11	82	3430	686	1834	
170568	489	895	495	293	279	54	31	7	6163	43	216	826	533	16	95	3475	718	1818	
170303	434	930	508	301	272	57	32	6	6426	44	220	841	552	17	84	3579	729	1805	
169957	427	997	513	303	302	60	33	8	6662	44	227	815	682	16	116	3719	788	1847	
169570	477	1030	518	326	324	63	31	10	6906	46	232	824	637	17	102	3860	849	1920	
169165	546	1040	565	312	327	65	34	8	7185	47	239	805	580	18	93	4004	849	2040	
168762	572	1078	585	320	341	64	35	8	7476	50	242	802	635	15	101	4101	881	2114	
168332	624	1103	617	328	366	65	38	9	7753	52	246	818	659	15	97	4154	900	2241	
168008	610	1106	616	325	374	69	41	8	8071	53	252	847	670	13	90	4336	902	2239	
167713	538	1141	620	343	360	66	40	10	8385	55	262	839	619	15	123	4540	922	2186	
167264	608	1160	630	362	372	67	41	10	8695	57	267	858	662	12	126	4662	966	2274	
166837	626	1195	673	357	389	65	40	10	9008	60	273	872	637	23	106	4783	995	2350	
166356	680	1261	684	346	407	68	39	12	9342	61	277	837	635	17	112	4993	1030	2455	
165903	726	1296	704	360	403	65	37	11	9686	64	278	839	642	20	110	5025	1047	2544	
165412	730	1406	712	364	393	66	36	13	10053	67	281	852	640	13	111	5008	1042	2665	
165046	697	1340	765	379	436	71	33	15	10394	68	289	850	547	20	107	5160	1060	2661	
164681	634	1324	793	383	468	74	37	16	10762	68	293	872	584	15	149	5426	1130	2583	
164180	649	1420	785	416	446	76	36	20	11134	69	302	836	553	26	186	5767	1241	2587	
163658	726	1439	791	448	466	77	36	19	11498	71	304	881	684	14	112	5891	1256	2727	
163135	782	1439	830	464	471	75	36	17	11903	74	307	893	619	16	122	5913	1277	2820	
162604	794	1511	849	463	466	75	36	19	12329	76	311	886	649	13	123	5903	1261	2933	
162031	854	1564	866	463	457	75	39	21	12769	77	317	875	631	26	138	5926	1251	3067	
161620	773	1558	899	479	476	78	39	19	13190	80	322	857	688	24	133	6071	1246	3056	
161287	675	1512	937	476	470	81	41	19	13631	81	323	867	609	24	144	6231	1233	2959	
160737	679	1560	933	476	499	84	37	20	14090	86	332	863	562	23	166	6449	1274	2994	
160188	768	1503	937	473	508	85	41	16	14587	87	340	857	645	14	168	6667	1277	3038	
159588	837	1538	959	503	519	90	39	16	15009	90	345	885	568	15	147	6611	1299	3186	
158990	896	1565	1006	504	522	89	41	15	15464	91	350	846	670	24	160	6506	1303	3320	
158342	931	1695	958	500	530	93	46	12	15977	93	356	839	567	23	153	6753	1334	3419	
157896	868	1710	945	504	538	84	48	13	16468	95	364	842	541	17	160	7024	1379	3318	
157444	776	1711	990	512	556	87	47	15	16929	96	370	829	581	16	164	7301	1420	3259	
156859	787	1733	1034	536	561	95	49	13	17392	100	374	822	688	15	200	7528	1511	3284	
156235	840	1754	1035	540	572	97	52	15	17911	101	381	806	680	23	175	7674	1554	3336	
155558	947	1780	1070	544	561	102	55	14	18412	103	387	831	654	23	156	7790	1565	3494	
