S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178540	172	192	76	68	72	14	8	0	387	4	0	215	0	0	0	104	104	498	
178453	135	263	89	67	64	14	8	0	433	5	2	353	725	8	121	176	104	536	
178351	129	309	106	69	67	13	8	0	472	5	4	467	499	4	22	239	122	579	
178228	145	341	117	73	80	12	9	0	516	5	7	549	537	1	24	324	139	638	
178092	164	365	131	77	96	11	8	1	574	5	9	625	581	6	29	422	157	695	
177936	186	372	142	93	113	13	10	1	650	6	11	669	638	4	31	552	175	754	
177824	211	361	157	96	108	16	7	3	730	7	13	703	530	4	37	739	206	750	
177725	182	358	188	103	111	17	7	3	811	7	21	680	606	3	44	919	244	722	
177568	201	376	206	95	108	18	7	2	923	7	22	705	615	7	40	1119	273	738	
177451	203	365	219	97	119	20	8	2	1016	7	26	763	475	1	41	1319	316	715	
177310	203	386	220	106	112	19	10	2	1130	7	28	776	489	2	31	1379	309	747	
177173	205	389	233	118	107	21	10	2	1233	7	35	776	326	0	29	1446	308	775	
177028	211	410	219	132	114	21	10	2	1340	7	39	809	550	2	54	1609	344	773	
176925	192	399	226	131	126	23	10	3	1444	7	47	843	601	8	39	1717	363	744	
176809	182	385	240	121	127	26	12	3	1568	7	53	847	487	4	40	1782	367	726	
176653	205	397	253	126	128	25	10	4	1672	7	53	856	359	6	45	1858	394	750	
176499	218	425	255	115	118	29	10	3	1793	7	61	880	541	5	27	1813	363	807	
176335	238	436	255	120	132	26	9	2	1908	8	64	863	675	7	29	1778	368	848	
176160	243	450	252	142	128	28	9	3	2040	8	70	870	660	7	39	1776	366	886	
175978	259	467	266	145	127	36	7	4	2160	9	75	851	633	4	53	1815	370	937	
175843	252	463	271	148	134	34	5	5	2288	10	80	837	626	8	44	1881	374	933	
175701	224	490	286	135	132	36	6	5	2424	10	84	831	627	8	38	1925	355	954	
175498	234	513	312	150	139	38	7	4	2535	11	92	827	629	12	52	1914	369	1024	
175288	253	551	307	150	138	41	7	3	2686	12	97	856	531	3	43	1930	376	1071	
175084	260	582	320	148	157	42	9	2	2813	12	104	844	645	11	38	1917	392	1126	
174854	284	597	330	160	175	46	6	3	2955	14	109	859	639	7	45	1892	387	1211	
174611	322	613	336	160	193	46	8	3	3114	14	113	877	509	9	63	2047	418	1260	
174417	311	620	361	166	195	48	10	3	3264	14	124	871	608	7	57	2175	439	1272	
174196	295	664	366	185	205	44	11	3	3418	14	132	877	515	11	48	2181	452	1318	
173926	352	672	385	186	222	41	13	3	3581	14	138	890	538	6	75	2234	494	1377	
173621	404	707	394	196	232	40	14	3	3760	15	147	870	623	10	73	2308	518	1469	
173334	438	745	387	204	224	44	13	1	3971	17	155	880	562	17	62	2418	530	1525	
173005	454	832	389	207	222	45	11	3	4188	17	160	880	561	10	68	2551	540	1620	
172671	464	893	404	222	234	46	15	3	4399	18	164	866	649	8	83	2709	588	1690	
172421	435	918	435	239	248	47	17	4	4581	18	170	874	532	7	74	2895	612	1727	
172165	414	894	475	262	276	47	18	4	4782	19	177	855	631	10	93	3116	679	1707	
171776	461	923	495	272	285	53	21	4	5038	19	186	811	669	13	92	3269	719	1791	
171430	512	932	521	284	285	55	24	5	5273	20	192	817	640	6	91	3422	747	1866	
171080	503	1015	522	262	302	63	25	5	5539	20	197	809	548	9	82	3651	771	1921	
170682	548	1054	526	283	313	59	28	4	5816	20	200	809	619	14	101	3773	811	2000	
170262	592	1118	555	284	314	61	29	3	6090	21	204	818	688	19	85	3866	813	2140	
169951	565	1110	579	305	332	62	31	6	6361	22	209	817	677	24	81	4000	819	2165	
169640	509	1140	604	332	336	66	31	5	6632	24	214	815	536	16	121	4196	866	2152	
169183	574	1175	651	330	337	67	31	6	6932	26	221	825	649	12	115	4359	921	2244	
168699	651	1209	684	336	333	68	31	5	7261	28	228	814	666	15	118	4525	953	2359	
168249	666	1246	690	375	362	71	33	6	7575	28	232	763	564	21	92	4492	957	2486	
167773	691	1317	714	375	367	73	32	6	7919	32	234	803	614	20	135	4639	1011	2558	
167235	754	1373	731	398	405	74	32	6	8251	34	240	806	533	20	115	4753	1056	2711	
166886	694	1368	763	403	429	67	32	5	8607	35	244	849	686	12	122	4948	1076	2680	
166529	634	1362	770	411	410	69	32	8	9018	37	253	832	560	12	130	5198	1079	2609	
166041	658	1393	792	419	423	66	34	8	9404	37	258	845	679	18	144	5392	1114	2671	
165519	737	1387	791	441	437	63	35	8	9814	40	261	855	622	15	127	5628	1133	2758	
164990	756	1454	795	436	454	72	42	8	10214	41	271	904	579	17	138	5728	1179	2830	
164419	799	1544	842	454	479	77	48	8	10544	42	277	894	608	25	146	5805	1239	3004	
163853	836	1601	872	463	488	78	48	8	10958	46	282	882	520	25	143	5918	1236	3150	
163480	760	1546	925	470	497	80	50	8	11383	47	287	878	637	23	135	6173	1278	3050	
163106	651	1544	935	473	503	86	48	12	11832	49	294	883	674	15	147	6306	1325	2915	
162563	692	1584	902	480	490	97	51	13	12317	49	295	870	633	26	178	6583	1352	2944	
162034	741	1560	951	500	502	99	53	14	12729	52	298	862	635	19	148	6763	1423	2983	
161505	768	1578	976	484	524	98	50	16	13177	54	303	874	650	22	144	6833	1408	3070	
160954	771	1618	987	485	523	98	54	14	13658	57	314	873	674	19	161	6940	1413	3123	
160370	826	1636	995	489	535	106	50	15	14135	60	316	842	687	23	160	7069	1446	3191	
159932	768	1607	998	500	553	117	45	17	14609	64	323	828	549	16	132	7110	1445	3143	
159525	719	1561	1005	492	534	120	47	17	15114	65	334	851	522	16	152	7249	1476	3002	
159010	706	1598	1016	470	515	122	46	17	15623	69	341	857	683	22	164	7327	1494	2979	
158476	742	1618	999	448	515	123	48	19	16133	69	343	854	544	13	137	7380	1478	3015	
157923	779	1660	973	441	520	117	47	24	16632	72	345	866	599	18	140	7333	1432	3105	
157371	826	1668	971	454	526	119	50	22	17102	75	349	868	628	20	140	7224	1427	3187	
156833	832	1646	1028	474	535	115	54	21	17564	76	355	846	558	18	147	7198	1409	3275	
156431	761	1617	1043	487	505	106	53	24	18065	80	361	838	689	22	151	7246	1410	3162	
156090	673	1521	1034	510	518	103	54	20	18560	85	365	805	559	19	154	7225	1399	3014	
155580	699	1511	1063	518	504	96	53	17	19029	89	374	827	635	16	179	7292	1447	2997	
155071	739	1505	1055	517	495	100	50	20	19511	92	378	825	700	20	128	7236	1402	3059	
154544	756	1557	1007	514	497	110	46	21	20002	95	384	865	649	22	140	7263	1426	3061	
154014	798	1554	1004	521	472	112	44	18	20504	101	391	867	597	19	165	7240	1428	3077	
153493	793	1601	1004	540	470	101	46	17	20967	103	398	858	523	17	111	7139	1376	3179	
153067	753	1567	1016	537	494	104	52	14	21421	104	404	851	560	15	143	7210	1422	3101	
152684	677	1505	1002	553	514	97	56	12	21920	107	406	844	564	20	154	7242	1452	2952	
152165	718	1543	977	523	497	107	56	12	22419	109	407	838	681	21	188	7449	1515	2906	
151655	780	1529	946	505	498	110	69	10	22906	112	413	834	540	17	147	7505	1516	2921	
151182	758	1518	972	519	508	116	71	8	23347	115	419	854	532	18	147	7486	1556	2906	
