S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178507	180	178	79	63	64	11	4	0	447	0	0	202	0	0	0	91	91	488	
178413	145	253	92	60	59	9	6	0	495	0	1	341	668	2	121	193	103	521	
178321	160	249	101	68	68	9	7	0	545	0	5	442	669	4	12	242	104	558	
178219	161	285	103	66	78	10	7	1	596	0	7	576	565	0	36	366	126	584	
178138	145	304	107	83	78	10	7	1	652	0	8	662	225	1	27	495	156	578	
178053	144	271	123	101	86	14	9	1	715	0	16	681	537	6	26	632	180	568	
177955	146	274	133	103	91	14	9	2	784	0	22	743	537	5	37	776	209	561	
177852	153	290	129	88	89	15	10	4	877	0	26	716	502	2	25	885	218	556	
177749	146	315	138	89	87	15	10	6	947	0	31	733	499	4	34	1049	239	561	
177639	151	320	168	98	77	14	12	6	1016	0	32	772	522	4	25	1171	251	589	
177525	159	325	170	99	88	14	11	6	1100	1	35	787	227	3	19	1185	236	630	
177426	155	303	179	119	94	16	12	7	1180	1	41	827	514	5	38	1238	268	610	
177328	150	296	191	117	101	17	13	7	1260	2	51	798	616	2	38	1382	284	601	
177189	174	329	203	109	98	19	12	8	1336	3	53	806	530	2	38	1381	299	645	
177075	191	322	195	109	105	21	13	7	1432	4	59	809	494	2	25	1343	278	678	
176946	203	343	194	121	88	23	13	6	1529	5	62	835	526	7	35	1381	303	682	
176791	223	365	195	122	95	28	12	7	1622	5	68	858	235	6	30	1403	311	729	
176644	212	420	170	121	99	30	13	8	1735	5	76	861	542	5	38	1458	313	752	
176532	183	421	201	114	112	34	13	6	1830	5	82	860	525	6	29	1439	306	772	
176419	190	404	210	117	114	32	12	8	1937	6	84	896	509	2	36	1522	311	768	
176257	212	424	222	123	106	30	13	9	2045	7	85	924	587	4	45	1607	321	809	
176086	237	429	213	138	114	29	15	9	2163	8	92	886	594	3	33	1563	320	855	
175940	247	433	229	136	113	30	13	9	2275	10	98	910	651	6	41	1566	322	879	
175761	240	475	225	142	130	30	13	10	2392	11	104	890	253	3	41	1594	336	919	
175579	247	511	237	142	137	32	14	9	2505	11	109	886	539	6	47	1746	365	955	
175430	245	484	259	161	146	34	17	9	2624	11	113	890	510	4	48	1850	372	974	
175277	239	487	256	155	168	30	16	6	2765	12	122	867	661	7	59	1961	391	960	
175097	248	508	265	158	163	32	17	7	2903	12	123	887	670	10	67	2122	440	951	
174918	254	525	258	168	169	30	20	6	3040	13	132	863	531	6	35	2231	448	976	
174715	276	556	264	154	171	30	21	8	3185	15	138	825	489	7	48	2298	463	1009	
174512	298	569	278	162	164	31	19	8	3331	16	145	841	543	13	57	2338	479	1042	
174279	317	613	282	169	170	37	17	8	3471	17	153	846	553	8	42	2399	474	1131	
174132	283	595	315	165	181	34	18	9	3629	17	155	827	494	7	48	2500	473	1118	
173944	272	626	302	171	180	34	20	8	3801	18	157	860	675	8	52	2504	472	1133	
173696	318	622	326	176	184	36	19	8	3968	18	162	819	690	9	72	2612	498	1183	
173449	364	624	343	174	181	39	20	8	4144	19	168	825	521	4	58	2590	482	1263	
173207	362	663	365	178	201	41	21	9	4293	21	172	831	542	13	68	2576	503	1328	
172919	381	724	369	194	218	43	22	8	4454	22	179	841	534	11	60	2529	539	1412	
172652	396	753	360	212	225	44	26	8	4652	22	183	851	638	14	75	2714	560	1456	
172430	378	759	356	238	239	47	26	8	4839	23	190	839	543	10	78	2860	601	1442	
172213	363	752	395	232	253	49	23	10	5025	26	192	843	526	11	70	2944	604	1463	
171942	365	801	397	238	247	48	25	10	5235	27	198	840	539	10	93	3125	637	1484	
171681	375	811	423	246	258	51	24	9	5424	30	201	853	527	6	62	3218	654	1534	
171408	393	814	447	237	270	55	26	11	5634	32	206	852	608	11	74	3284	665	1577	
171079	414	867	448	269	261	53	27	12	5857	33	213	852	544	12	76	3258	691	1648	
170759	453	906	453	266	263	54	27	10	6087	34	221	840	644	11	83	3389	706	1716	
170528	450	849	485	282	278	53	25	9	6315	35	224	838	529	10	62	3391	710	1712	
170288	414	832	496	286	283	60	26	9	6574	38	227	847	531	15	89	3544	731	1666	
169950	441	879	497	297	299	63	26	9	6803	39	230	846	643	22	106	3652	789	1713	
169611	471	923	483	284	309	65	27	7	7077	42	234	855	707	21	83	3720	806	1756	
169281	473	955	521	271	317	64	30	7	7335	43	236	861	554	14	95	3870	819	1812	
168933	502	971	567	288	312	61	31	8	7574	44	242	853	620	10	92	3905	844	1888	
168574	527	1006	561	290	331	67	34	8	7844	44	247	888	529	9	76	3972	837	1979	
168305	510	1002	563	295	324	68	36	8	8125	44	253	880	556	12	104	4127	814	1984	
168021	488	980	575	309	340	66	36	10	8402	47	259	849	331	12	100	4317	861	1933	
167689	500	983	574	300	354	67	39	11	8706	48	262	879	640	22	135	4455	924	1893	
167332	537	1001	606	288	348	64	40	10	8989	50	268	852	663	14	96	4676	952	1932	
166983	541	996	631	308	344	64	42	12	9286	52	274	854	659	21	88	4652	920	2006	
166603	580	1002	654	312	334	69	42	13	9590	55	279	884	529	14	109	4636	951	2042	
166215	604	1044	659	309	341	68	41	11	9898	57	286	874	548	12	97	4655	943	2123	
165950	542	1017	673	323	355	68	38	10	10206	60	291	874	538	12	95	4699	945	2071	
165708	446	1033	667	333	343	72	33	14	10523	62	299	873	539	15	111	4795	969	1958	
165377	453	1042	671	319	322	69	34	17	10857	64	308	873	664	13	116	4948	976	1934	
164989	524	1036	649	338	330	69	33	15	11171	66	313	878	634	14	87	4842	956	2023	
164660	528	1023	652	344	336	66	38	14	11483	69	320	882	635	11	112	4852	978	2009	
164296	527	1049	647	361	333	66	41	12	11805	69	327	877	646	3	89	4737	929	2095	
163939	518	1095	633	345	333	68	47	14	12141	69	331	912	661	14	99	4749	901	2138	
163666	465	1071	633	369	358	74	47	15	12430	71	334	930	659	17	105	4911	936	2081	
163412	421	1022	643	365	361	70	46	16	12765	74	338	868	635	15	102	4858	936	1992	
163069	456	997	671	345	360	64	48	15	13090	77	341	885	547	12	128	4954	964	1977	
