S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178521	195	192	71	58	53	12	6	0	425	0	0	232	0	0	0	80	80	507	
178453	124	281	68	58	53	12	7	0	474	0	3	378	687	6	101	154	87	516	
178357	126	285	88	74	64	10	6	1	514	1	7	453	645	3	21	230	98	555	
178263	133	299	102	71	74	10	6	1	562	1	11	595	707	5	30	340	118	577	
178182	125	303	113	74	82	11	7	1	618	1	16	599	558	4	24	452	134	581	
178097	136	285	130	65	89	13	6	1	689	2	20	641	558	3	34	578	164	560	
178011	135	301	138	64	85	11	5	2	754	2	25	694	232	3	35	707	180	559	
177914	136	296	148	73	87	13	5	1	830	2	28	744	512	1	26	823	198	560	
177828	134	292	164	84	89	12	6	2	886	2	34	761	517	2	26	943	216	565	
177721	144	284	176	100	84	12	8	3	963	2	36	807	506	3	25	1066	224	584	
177610	150	298	168	107	86	12	8	3	1048	2	41	810	544	7	28	1122	224	605	
177529	152	285	171	105	95	13	7	4	1124	2	46	819	528	5	32	1166	257	571	
177451	134	304	157	97	82	17	8	2	1228	3	50	843	541	2	30	1232	250	549	
177311	161	322	174	97	78	15	7	2	1306	4	56	867	213	2	37	1278	271	583	
177191	185	317	169	97	81	13	7	3	1405	4	61	839	573	2	22	1298	258	611	
177068	193	335	174	90	89	14	8	3	1492	4	63	803	652	4	28	1273	267	636	
176934	182	362	187	102	100	17	9	2	1561	4	73	804	206	2	31	1261	278	681	
176814	184	358	196	104	115	21	7	2	1651	6	75	833	193	4	36	1327	279	706	
176707	169	350	205	108	131	18	7	2	1747	6	83	825	531	3	35	1388	280	708	
176604	158	355	206	107	128	21	6	3	1853	6	86	852	522	6	33	1440	287	694	
176449	172	372	209	127	120	22	6	3	1957	6	90	830	516	9	44	1534	311	717	
176304	186	378	209	133	120	19	6	4	2072	6	96	845	212	4	34	1520	309	742	
176144	189	402	223	138	124	23	9	4	2170	6	101	833	557	8	36	1553	311	797	
175979	215	437	228	127	108	24	12	4	2286	6	107	840	342	3	46	1592	320	831	
175826	214	431	238	125	135	21	12	5	2405	6	115	817	267	2	26	1648	316	860	
175706	197	438	247	130	142	24	11	4	2508	7	119	851	562	8	44	1744	358	831	
175583	189	429	261	131	145	26	10	5	2626	7	121	868	651	3	52	1850	384	807	
175390	232	447	263	143	153	29	10	5	2727	7	127	847	493	5	44	1846	406	871	
175233	258	441	268	151	149	34	10	5	2843	8	133	847	513	8	42	1900	430	881	
175065	254	473	270	151	148	36	10	4	2977	9	136	904	639	12	40	1926	441	901	
174883	279	474	283	151	150	43	8	3	3104	12	143	871	631	9	39	1901	426	962	
174700	272	506	288	154	150	44	10	3	3246	12	148	874	521	8	50	1912	425	999	
174564	229	532	294	138	147	48	14	3	3399	12	153	850	607	8	53	2006	434	968	
174413	224	530	287	137	161	48	15	2	3540	14	162	841	684	7	47	2010	443	959	
174236	229	542	286	150	169	48	16	2	3675	14	166	844	535	5	54	2122	476	964	
174039	263	512	310	162	171	47	14	4	3827	14	170	829	528	5	47	2130	451	1028	
173867	260	534	301	144	171	47	16	3	3997	15	178	815	606	11	51	2117	444	1029	
173661	273	575	310	151	169	45	17	4	4129	16	183	860	551	7	52	2168	454	1086	
173457	312	559	332	167	176	41	16	5	4262	17	189	857	557	9	53	2225	469	1134	
173295	274	572	324	173	170	40	18	7	4449	17	194	858	513	2	42	2283	439	1132	
173142	245	571	328	186	158	45	21	6	4611	18	202	860	593	12	58	2340	429	1125	
172919	266	591	319	195	160	45	21	6	4785	18	208	857	505	9	62	2407	456	1141	
172677	306	602	338	207	182	45	23	6	4918	19	210	855	534	10	59	2409	475	1228	
172404	351	631	343	211	188	47	22	4	5099	20	213	855	496	9	75	2511	500	1293	
172123	373	697	350	202	192	50	22	3	5285	20	216	869	577	9	70	2549	508	1378	
