S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
161543	575	1146	668	352	368	77	37	14	14327	68	358	879	675	21	124	5250	980	2243	
161238	541	1114	705	344	380	70	36	12	14660	69	364	885	653	18	112	5383	996	2194	
160981	495	1077	698	333	382	68	37	14	15008	71	369	852	541	19	110	5483	1016	2074	
160640	503	1076	676	331	377	72	36	15	15355	74	378	855	544	12	123	5608	1059	2012	
160262	537	1081	706	322	375	76	33	17	15664	79	381	847	527	17	101	5637	1085	2045	
159857	579	1103	699	319	368	71	32	15	16022	81	387	831	656	6	103	5614	1052	2119	
159481	579	1141	694	319	380	72	34	18	16342	84	389	828	573	18	122	5289	1042	2177	
159099	594	1135	723	322	380	74	36	18	16671	86	395	852	651	11	97	5301	1044	2220	
158846	565	1073	750	310	362	72	40	16	17011	88	400	864	332	13	81	5283	1025	2147	
158600	483	1090	707	319	343	74	42	15	17366	90	404	864	667	14	106	5388	1030	2028	
158272	445	1124	704	312	340	74	44	15	17698	93	412	858	649	16	119	5347	1031	2012	
157914	486	1077	727	323	341	71	45	14	18027	95	413	882	555	13	100	5288	1019	2051	
157562	491	1101	688	344	351	70	45	15	18353	96	417	944	535	16	99	5263	993	2097	
157159	536	1124	688	343	338	71	42	17	18689	97	429	913	590	18	109	5069	975	2167	
156796	548	1097	703	370	322	69	47	16	19033	97	435	902	537	14	84	4996	927	2229	
156550	504	1016	733	380	333	66	50	15	19349	97	440	877	576	6	111	5120	961	2121	
156322	429	994	696	370	345	69	53	14	19697	97	447	890	615	15	105	5099	939	2017	
155974	476	996	691	350	332	71	50	19	20023	100	451	881	630	11	125	5186	974	1992	
155612	529	985	679	343	327	72	47	22	20359	101	457	834	222	6	86	5183	966	2016	
155318	496	987	672	335	340	71	43	22	20684	104	461	864	550	8	93	5067	956	1988	
155060	447	976	660	324	340	74	47	21	21016	104	464	895	505	13	98	4990	932	1936	
154797	401	1005	617	323	321	79	50	19	21342	106	473	885	686	9	103	5002	938	1858	
154550	378	942	637	312	330	83	45	19	21648	109	480	809	577	9	84	4890	927	1800	
154315	347	906	613	297	339	81	43	20	21981	109	482	849	580	8	74	4713	853	1773	
154079	356	828	604	306	343	81	42	22	22271	111	490	828	641	10	90	4713	847	1713	
153864	323	811	571	301	326	79	39	22	22587	116	494	861	650	5	106	4684	860	1590	
153638	336	755	532	290	336	75	36	21	22892	122	500	863	570	6	87	4619	855	1505	
153415	337	723	536	265	324	73	33	21	23171	126	509	837	547	17	93	4412	814	1477	
153206	318	710	516	256	306	71	36	19	23452	128	515	829	640	14	81	4392	789	1424	
153017	314	664	480	258	288	71	36	17	23736	133	519	851	639	13	80	4338	786	1325	
152851	302	621	446	259	279	70	33	15	23997	137	523	865	662	8	91	4340	774	1236	
152673	294	597	405	258	265	68	35	14	24260	137	527	875	521	9	83	4242	753	1169	
152498	289	581	393	245	250	70	39	11	24488	137	532	906	673	6	70	4213	739	1128	
152319	284	596	372	228	220	71	37	11	24716	141	538	859	672	12	54	4114	696	1112	
152156	274	582	373	213	210	72	42	12	24912	142	545	812	663	9	49	3928	636	1130	
151996	251	578	391	206	202	70	42	12	25094	144	547	812	507	4	59	3644	601	1139	
151857	240	544	372	210	199	70	39	16	25293	145	548	832	529	5	61	3524	583	1091	
151718	236	501	379	196	190	66	41	14	25493	146	553	839	668	8	56	3397	565	1044	
151555	231	497	350	191	191	62	42	14	25695	147	558	841	516	2	70	3297	556	1008	
151380	251	497	325	196	182	55	43	13	25881	147	563	833	540	7	50	3083	541	1008	
151217	242	481	343	179	179	62	45	14	26055	147	569	831	513	5	55	2933	509	1022	
151063	239	489	327	179	158	65	45	10	26234	150	574	848	571	10	58	2833	502	1000	
150878	265	509	330	160	149	59	46	11	26399	150	577	830	635	8	42	2688	473	1045	
150773	230	491	332	158	156	55	43	12	26548	152	583	846	504	6	39	2676	458	1007	
150660	190	478	321	162	163	63	42	13	26695	153	593	829	666	7	61	2728	476	943	
150515	195	464	315	156	155	61	37	14	26869	155	597	831	530	3	52	2683	444	939	
150368	207	444	303	150	172	56	34	12	27026	159	602	846	219	3	36	2571	443	923	
150213	225	442	277	159	165	61	31	12	27182	162	604	843	205	1	46	2509	433	927	
150093	212	425	281	172	159	62	27	14	27316	165	607	842	537	1	55	2421	428	910	
149943	215	427	267	176	160	60	29	17	27463	165	611	824	638	7	51	2377	443	891	
149855	178	419	285	167	140	59	26	16	27604	166	618	846	616	2	43	2324	443	831	
149734	164	420	292	156	134	56	26	12	27746	168	625	872	626	4	35	2234	427	821	
149595	198	389	278	163	133	56	21	14	27887	172	627	850	345	5	45	2279	426	812	
149470	199	371	270	166	124	51	21	13	28039	173	636	843	318	3	42	2279	403	799	
149347	209	360	267	148	127	49	20	13	28179	173	641	863	523	5	42	2180	382	798	
149236	184	381	254	137	131	48	20	13	28310	174	645	879	601	4	38	2134	381	774	
149115	171	405	253	123	124	46	19	13	28437	175	652	869	624	4	48	2188	381	760	
149028	163	378	253	121	125	47	19	14	28553	175	657	872	534	1	36	2115	366	740	
148954	141	354	245	117	134	47	23	14	28668	176	660	899	318	2	31	2038	356	705	
148844	142	347	242	112	140	39	22	12	28786	180	667	887	501	0	52	2004	371	673	
148732	154	315	241	120	136	38	23	10	28912	181	671	877	532	4	39	1966	337	690	
148635	155	308	212	121	130	38	24	7	29046	182	675	899	512	3	38	1950	339	649	
148549	139	314	203	114	126	39	23	8	29156	183	679	862	224	2	34	1892	338	620	
148445	132	313	218	106	115	35	22	10	29267	183	687	889	215	0	33	1834	335	606	
148366	128	299	213	91	110	33	23	9	29385	184	692	851	562	2	27	1798	309	588	
148299	107	291	205	95	109	33	23	10	29479	184	698	852	528	2	24	1766	301	562	
148194	123	300	192	88	95	29	21	6	29596	186	703	837	530	3	33	1692	287	561	
