S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
162128	563	1082	646	355	339	74	49	11	13837	77	372	860	670	16	99	5060	950	2158	
161894	487	1045	661	365	339	68	45	11	14161	80	377	851	635	20	102	5081	951	2059	
161613	453	1037	673	345	324	70	44	12	14499	81	382	863	692	20	111	5206	1002	1944	
161264	498	1000	691	336	326	77	38	13	14822	84	384	876	632	15	113	5241	989	1977	
160949	499	974	673	348	329	74	37	11	15159	88	392	890	502	10	103	5297	1003	1931	
160597	522	1013	649	343	319	75	36	13	15477	90	399	910	578	14	90	5246	968	1989	
160253	515	1038	647	323	336	76	38	13	15797	94	403	935	623	14	80	5090	929	2044	
159907	508	1053	634	335	319	75	41	12	16140	95	414	915	550	8	106	4986	902	2063	
159651	444	1042	656	324	324	72	42	14	16442	97	425	879	499	5	94	4985	896	2008	
159396	399	1010	655	321	309	71	43	15	16784	99	431	859	605	11	103	4901	873	1935	
159023	477	1007	651	324	301	72	40	18	17086	101	433	878	667	9	108	4876	879	1993	
158670	502	1004	667	345	311	70	37	19	17366	105	437	882	532	6	84	4773	863	2073	
158306	545	995	672	334	308	71	37	18	17697	107	443	869	514	11	100	4694	878	2084	
157938	565	1015	670	325	330	74	39	17	18002	108	450	897	512	12	103	4584	886	2132	
157604	526	1082	655	308	329	76	37	18	18332	110	456	858	574	13	91	4522	853	2160	
157340	472	1058	663	329	317	78	34	18	18653	112	459	868	548	7	101	4660	881	2070	
157084	439	1017	663	318	320	79	35	21	18983	114	460	861	543	19	108	4756	890	1981	
156730	460	1042	651	314	344	74	36	19	19280	116	467	856	657	16	116	4763	944	1977	
156389	487	1019	630	325	330	71	37	18	19638	118	471	861	528	10	94	4842	938	1961	
156156	434	963	646	351	334	69	39	17	19928	120	476	853	708	12	106	4920	950	1886	
155930	391	955	660	320	308	64	41	17	20247	121	479	838	531	8	88	4888	926	1813	
155708	361	899	648	316	301	63	42	19	20570	121	485	874	511	10	94	4920	947	1683	
155500	354	827	618	313	291	62	45	20	20893	123	487	878	496	12	80	4813	921	1589	
155299	340	772	588	301	297	63	44	20	21197	123	489	875	533	5	78	4782	914	1491	
155105	312	736	577	297	288	58	42	22	21471	126	499	871	529	8	79	4748	897	1413	
154935	284	711	525	275	280	55	48	23	21764	128	505	871	659	8	71	4602	841	1337	
154780	265	631	521	281	262	61	45	23	22022	130	512	883	528	8	69	4447	805	1261	
154606	265	622	485	255	252	65	47	23	22265	130	518	885	548	7	81	4244	789	1202	
