S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178555	163	186	91	60	49	11	8	0	407	3	0	244	0	0	0	88	88	480	
178476	124	252	96	57	58	12	8	0	446	3	1	361	706	1	118	163	100	507	
178369	138	277	109	61	67	14	8	0	486	3	1	485	652	4	28	260	125	549	
178265	150	287	129	62	67	15	13	0	540	3	2	575	335	0	23	331	141	582	
178181	128	306	146	61	74	16	16	0	595	3	7	615	220	1	18	414	148	599	
178088	137	296	159	72	77	15	16	0	661	3	9	657	546	3	23	512	159	613	
177986	144	302	166	74	83	17	15	0	731	4	11	691	529	5	34	663	190	611	
177865	158	323	162	72	90	16	16	1	812	5	13	749	522	1	27	783	205	632	
177743	176	317	183	91	95	16	17	1	871	5	18	750	512	2	31	916	228	667	
177622	194	314	177	99	109	18	19	1	952	5	23	797	216	2	33	1097	276	654	
177474	194	357	186	102	100	20	16	4	1046	6	28	798	540	5	32	1154	264	711	
177367	185	351	200	105	100	20	15	5	1140	6	39	806	574	3	37	1239	283	693	
177250	197	346	206	101	95	23	14	6	1247	7	41	848	595	3	36	1262	280	702	
177136	186	352	212	106	103	23	13	7	1342	7	46	872	646	7	31	1342	281	714	
176967	208	379	213	116	109	23	13	7	1441	8	49	859	507	4	33	1428	287	774	
176808	223	402	229	106	117	24	14	6	1539	8	57	865	623	2	35	1487	303	812	
176644	228	441	220	105	122	26	17	7	1650	9	64	871	532	6	39	1480	298	861	
176480	245	464	234	118	114	27	14	8	1752	9	68	856	611	7	45	1570	315	901	
176360	222	473	241	118	116	28	14	8	1869	10	74	843	220	3	32	1583	302	910	
176227	209	466	248	129	129	24	15	8	1990	10	78	858	496	4	44	1616	308	912	
176053	233	455	271	128	152	23	16	7	2100	10	85	879	634	3	53	1699	337	941	
175870	268	456	274	136	150	26	18	7	2226	11	91	894	644	10	57	1713	349	979	
175661	293	496	271	136	149	29	19	7	2362	11	99	850	638	7	52	1792	364	1029	
175490	260	550	276	149	160	29	22	8	2476	11	102	894	632	5	52	1888	396	1050	
175260	276	588	284	153	164	35	22	7	2624	12	108	862	539	12	56	1940	406	1116	
175125	260	553	303	164	166	39	20	7	2772	14	110	865	505	7	46	2037	392	1113	
174946	263	563	304	181	157	35	20	7	2930	14	113	860	527	11	48	2090	394	1129	
174719	304	587	293	196	159	33	23	7	3081	15	116	828	675	8	69	2197	436	1159	
174516	307	616	310	182	170	35	24	4	3232	15	122	862	539	16	49	2303	447	1197	
174284	324	615	349	186	186	37	23	5	3382	16	126	858	565	11	50	2358	453	1267	
174014	355	659	360	181	175	40	25	6	3568	17	133	845	533	12	67	2442	474	1321	
173755	362	704	362	188	180	41	25	5	3756	19	136	873	615	8	65	2465	475	1387	
173555	339	724	363	197	177	38	24	4	3950	22	140	849	515	5	62	2549	471	1391	
